address	real_len	shape	module	name	trimmed_bytes
00bfd390	18	other	CEngineWaterBackgroundSubPatch	CEngineWaterBackgroundSubPatch::CanRelocateData	8b41048a505c33c984d20f94c18ac1c20400
00bfddb0	18	other	CLandscapeLayerMesh	CLandscapeLayerMesh::CanRelocateData	8b41408a505c33c984d20f94c18ac1c20400
00c2a620	18	other	CTCPhysicsNavigator	EnableNavigator	8bc18a4c2404c70078412b01884804c20400
00c9cb40	18	other	CTopologySizeGrid	Hora	8b48100faf4c240403ca8b108b048ac20400
00922fa0	19	other	CAIStateGroup_ServeFood	CAIStateGroup_ServeFood::InitStateGroup	83c8ffc741140000000089411c894144c20800
009a0ea0	19	other	CStreamingFontBank	CStreamingFontBank::GetFontMaxHeight	518b4104db410485c07d06d805b4dc220159c3
00c3b690	19	other	CWADFile	Close	8bc18b0d00c93901890833c9894804894808c3
00abc370	20	other	C3DMeshFileGroupChunk	GetList	8b51348d41308b082bd1c1fa0385d276028bc1c3
00688a60	13	tail-jmp	CInputProcessTargetLockRightStickTargetSelect	CInputProcessTargetLockRightStickTargetSelect::AddToInterface	32c0884128884129e903f0ffff
0096a250	13	tail-jmp	CAIStateGroup_WhisperRetreat	CAIStateGroup_WhisperRetreat::Initialise	33c089412889412ce9c335fbff
009fc540	13	tail-jmp	CResourceList	CResourceList::HandleFailedAllocation	c744240400000000e923fcffff
008b06e0	17	tail-jmp	CCombatSequenceGeneric	CCombatSequenceGeneric::GetFramesToPredictTargetPosition	db05505537018b4128d84860e97fe33400
00caf070	19	tail-jmp	CRenderManager2D	AddLineToDrawBuffer	85c9740883c104e934ffffff33c9e92dffffff
009fc520	20	tail-jmp	CInputProcessGameBase	AddToInterface	8b442404894128c744240400000000e9dcfcffff
00c10140	13	vtable-call	CDataOutputStream	WriteCBYTE	8b018d54240452ff5044c20400
004853e9	17	vtable-call	CEngineInternalPrimitiveBase	AddChildPrimitive	558bec515733c08d7dffaa8a45ff5fc9c3
00c10120	17	vtable-call	CIsThingAlive	operator()	8b411083c1108d54240452ff5044c20400
009e9f90	18	vtable-call	_global	SetToDisplayText	a138aa3c0185c074088b10518bc8ff5214c3
00c10100	18	vtable-call	CScriptBase	Activate	568bf18b06ff50188b56108d4e105eff6218
006cdae0	19	vtable-call	CGroundNavigatorExternalInterface	CGroundNavigatorExternalInterface::PeekNavigatorMaxSpeed	8b49048b5424048b0152ff903c010000c20400
00e1cac0	19	vtable-call	CSpawnedFunc1<NScript::CQ_WizardBattleScript	SuspendableProcess	568bf18b463c8b4e3850ff5634c64605015ec3
004aaa40	20	vtable-call	CScriptThing	?GetAngleXY@CScriptThing@@UBEMXZ	8b490485c97507d905dcde2201c38b01ff5028c3
