address	class	file	action	baseline	new_status	behaviour	reason
008995d0	CGameScriptInterface	CGameScriptInterface_SetHeroAsTeenager_008995d0.cpp	skip				NOT_GENUINE
00899680	CGameScriptInterface	CGameScriptInterface_SetHeroAsApprentice_00899680.cpp	skip				NOT_GENUINE
00899700	CGameScriptInterface	CGameScriptInterface_GetDistanceHeroCanBeHeardFrom_00899700.cpp	skip				NOT_GENUINE
00899770	CGameScriptInterface	CGameScriptInterface_GetHeroRoughExperienceLevel_00899770.cpp	skip				NOT_GENUINE
008997e0	CGameScriptInterface	CGameScriptInterface_GetHeroExperienceAvailableToSpend_008997e0.cpp	skip				NOT_GENUINE
00899850	CGameScriptInterface	CGameScriptInterface_GetHeroFatness_00899850.cpp	skip				NOT_GENUINE
008998c0	CGameScriptInterface	CGameScriptInterface_GetHeroScariness_008998c0.cpp	skip				NOT_GENUINE
00899930	CGameScriptInterface	CGameScriptInterface_GetHeroAttractiveness_00899930.cpp	skip				NOT_GENUINE
008999a0	CGameScriptInterface	CGameScriptInterface_GetHeroWillEnergyLevel_008999a0.cpp	skip				NOT_GENUINE
00899a10	CGameScriptInterface	CGameScriptInterface_SetHeroWillEnergyLevel_00899a10.cpp	skip				NOT_GENUINE
00899a90	CGameScriptInterface	CGameScriptInterface_SetHeroWillEnergyAsAbleToRefill_00899a90.cpp	skip				NOT_GENUINE
00899b10	CGameScriptInterface	CGameScriptInterface_IsPlayerZTargetingThing_00899b10.cpp	skip				NOT_GENUINE
00899ba0	CGameScriptInterface	CGameScriptInterface_IsPlayerCreatureBlocking_00899ba0.cpp	skip				NO_THIS_STRUCT
00899c10	CGameScriptInterface	CGameScriptInterface_IsPlayerCreatureReadyToFireProjectileWeapon_00899c10.cpp	skip				NO_THIS_STRUCT
00899c90	CGameScriptInterface	CGameScriptInterface_GetPlayerCreatureCombatMultiplier_00899c90.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
00899cf0	CGameScriptInterface	CGameScriptInterface_GetPlayerCreatureCombatMultiplierRunningNumHits_00899cf0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
00899d50	CGameScriptInterface	CGameScriptInterface_ResetPlayerCreatureCombatMultiplier_00899d50.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
00899db0	CGameScriptInterface	CGameScriptInterface_IsPlayerCreatureFlourishEnabled_00899db0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
00899e10	CGameScriptInterface	CGameScriptInterface_SetPlayerCreatureOnlyTarget_00899e10.cpp	skip				NOT_GENUINE
00899e90	CGameScriptInterface	CGameScriptInterface_ResetPlayerCreatureOnlyTarget_00899e90.cpp	skip				NOT_GENUINE
00899ef0	CGameScriptInterface	CGameScriptInterface_GiveHeroMorality_00899ef0.cpp	skip				NOT_GENUINE
00899f90	CGameScriptInterface	CGameScriptInterface_GetHeroMorality_00899f90.cpp	skip				NOT_GENUINE
0089a000	CGameScriptInterface	CGameScriptInterface_GetHeroMoralityCategory_0089a000.cpp	skip				NOT_GENUINE
0089a070	CGameScriptInterface	CGameScriptInterface_ChangeHeroMoralityDueToTheft_0089a070.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089a0e0	CGameScriptInterface	CGameScriptInterface_ChangeHeroMoralityDueToPicklock_0089a0e0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089a150	CGameScriptInterface	CGameScriptInterface_GetHeroWillEnergy_0089a150.cpp	skip				NOT_GENUINE
0089a1b0	CGameScriptInterface	CGameScriptInterface_GetHeroWillEnergyMax_0089a1b0.cpp	skip				NOT_GENUINE
0089a210	CGameScriptInterface	CGameScriptInterface_GetHeroWillEnergyPercentage_0089a210.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED(test kept)
0089a270	CGameScriptInterface	CGameScriptInterface_SetThingAsKilled_0089a270.cpp	skip				VTABLE_TYPED(vt)
0089a2d0	CGameScriptInterface	CGameScriptInterface_IsEntityPickLockable_0089a2d0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED
0089a330	CGameScriptInterface	CGameScriptInterface_IsEntityStealable_0089a330.cpp	skip				NOT_GENUINE
0089a390	CGameScriptInterface	CGameScriptInterface_EntitySetAsPickLocked_0089a390.cpp	skip				NOT_GENUINE
0089a490	CGameScriptInterface	CGameScriptInterface_GetHeroTargetedThing_0089a490.cpp	skip				NOT_GENUINE
0089a510	CGameScriptInterface	CGameScriptInterface_GetNearestWithScriptName_0089a510.cpp	skip				NOT_GENUINE
0089a6e0	CGameScriptInterface	CGameScriptInterface_GetFurthestWithScriptName_0089a6e0.cpp	skip				NOT_GENUINE
0089ac10	CGameScriptInterface	CGameScriptInterface_MsgOnLevelLoaded_0089ac10.cpp	skip				NOT_GENUINE
