rank	address	api_names	qualified_name	module	match_status	owner_relevance	prototype_complete	calling_convention	return_type	parameter_types	score	verification_stage	engine_implementation_verified	hook_approved	bridge_kind	arity_compatible	evidence
336	0x00891C60	Quest.DisplayMiniGameInfo	CGameScriptInterface::DisplayMiniGameInfo	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,bool,EMiniGameType	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
337	0x00896270	Quest.EnableGuards	CGameScriptInterface::EnableGuards	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
338	0x008962D0	Quest.EnableVillagerDefTypes	CGameScriptInterface::EnableVillagerDefTypes	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
339	0x0088E080	Quest.GetConstantFPS	CGameScriptInterface::GetConstantFPS	CGameScriptInterface	ambiguous	strong	1	__thiscall	long	CGameScriptInterface *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
340	0x00897190	Quest.GetNumberOfItemsOfTypeInInventory	CGameScriptInterface::GetNumberOfItemsOfTypeInInventory	CGameScriptInterface	ambiguous	strong	1	__thiscall	long	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
341	0x0088E340	Quest.GetRegionName	CGameScriptInterface::GetRegionName	CGameScriptInterface	ambiguous	strong	1	__thiscall	CCharString const &	CGameScriptInterface const *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
342	0x00891550	Quest.IsBoastTaken	CGameScriptInterface::IsBoastTaken	CGameScriptInterface	ambiguous	strong	1	__thiscall	bool	CGameScriptInterface *,long,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
343	0x0089C8A0	Quest.IsDeedWitnessed	CGameScriptInterface::IsDeedWitnessed	CGameScriptInterface	ambiguous	strong	1	__thiscall	bool	CGameScriptInterface *,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
344	0x00892F60	Quest.IsQuestCompleted	CGameScriptInterface::IsQuestCompleted	CGameScriptInterface	ambiguous	strong	1	__thiscall	bool	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
345	0x00892F50	Quest.IsQuestRegistered	CGameScriptInterface::IsQuestRegistered	CGameScriptInterface	ambiguous	strong	1	__thiscall	bool	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
346	0x008901A0	Quest.RadialBlurSetCenterWorldPos	CGameScriptInterface::RadialBlurSetCenterWorldPos	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,void *,C3DVector const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
347	0x00891580	Quest.RemoveBoast	CGameScriptInterface::RemoveBoast	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,long,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
348	0x008915E0	Quest.SetBoastAsCompleted	CGameScriptInterface::SetBoastAsCompleted	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,long,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
349	0x00892F80	Quest.SetQuestAsCompleted	CGameScriptInterface::SetQuestAsCompleted	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool,bool,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
350	0x00892FD0	Quest.SetQuestAsFailed	CGameScriptInterface::SetQuestAsFailed	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool,CWideString const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
351	0x00893020	Quest.SetQuestAsPersistent	CGameScriptInterface::SetQuestAsPersistent	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
352	0x00896A30	Quest.SetQuestCardObjective	CGameScriptInterface::SetQuestCardObjective	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,CCharString const &,CCharString const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
353	0x0088F960	Quest.SetSaveGameMarkerPos	CGameScriptInterface::SetSaveGameMarkerPos	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,C3DVector const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
354	0x00896060	Quest.SetVillageLimbo	CGameScriptInterface::SetVillageLimbo	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
355	0x0088FEE0	Quest.TransitionToTheme	CGameScriptInterface::TransitionToTheme	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
356	0x00896120	Quest.TryToRespawnDefNamed	CGameScriptInterface::TryToRespawnDefNamed	CGameScriptInterface	ambiguous	strong	1	__thiscall	CScriptThing	CGameScriptInterface *,CScriptThing const &,CCharString const &,C3DVector const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
357	0x004AABF0	Entity.MsgExpressionPerformedTo	CScriptThing::MsgExpressionPerformedTo	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *,CCharString &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;entity-owner
358	0x004AAC60	Entity.MsgIsPresentedWithItem	CScriptThing::MsgIsPresentedWithItem	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *,CCharString &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;entity-owner
359	0x004AAC40	Entity.MsgReceivedMoney	CScriptThing::MsgReceivedMoney	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *,long &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;entity-owner
360	0x008A9100	Quest.CreateCreature	CGameScriptInterface::CreateCreature	CGameScriptInterface	unique	strong	1	__thiscall	CScriptThing	CGameScriptInterface *,CCharString const &,C3DVector const &,CCharString const &,bool	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
361	0x0089F300	Quest.CreateCreatureNearby	CGameScriptInterface::CreateCreatureNearby	CGameScriptInterface	unique	strong	1	__thiscall	CScriptThing	CGameScriptInterface *,CCharString const &,C3DVector const &,float,CCharString const &,bool	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
362	0x008A0CB0	Quest.DebugGetAllTextEntriesForTargetedThing	CGameScriptInterface::DebugGetAllTextEntriesForTargetedThing	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,std::set<ulong,std::less<ulong>,std::allocator<ulong> > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
363	0x008A0C10	Quest.EntityGetAppearanceSeed	CGameScriptInterface::EntityGetAppearanceSeed	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,ulong &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
364	0x0089DF70	Quest.EntityGetShotStrikePos	CGameScriptInterface::EntityGetShotStrikePos	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,CScriptThing const &,C3DVector &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
365	0x00890820	Quest.FadeScreenOut	CGameScriptInterface::FadeScreenOut	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,float,float,CRGBColour	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
366	0x008A89D0	Quest.GetAllCreaturesExcludingHero	CGameScriptInterface::GetAllCreaturesExcludingHero	CGameScriptInterface	unique	strong	1	__thiscall	long	CGameScriptInterface *,std::vector<CScriptThing,std::allocator<CScriptThing> > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
367	0x008A86C0	Quest.GetAllCreaturesInAreaWithScriptName	CGameScriptInterface::GetAllCreaturesInAreaWithScriptName	CGameScriptInterface	unique	strong	1	__thiscall	long	CGameScriptInterface *,CCharString const &,C3DVector const &,float,std::vector<CScriptThing,std::allocator<CScriptThing> > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
368	0x008A9C40	Quest.GetAllThingsWithDefNameByDistanceFrom	CGameScriptInterface::GetAllThingsWithDefNameByDistanceFrom	CGameScriptInterface	unique	strong	1	__thiscall	long	CGameScriptInterface *,CScriptThing const &,CCharString const &,std::vector<CScriptThing,std::allocator<CScriptThing> > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
369	0x008A8F20	Quest.GetItemDefNamesFromContainer	CGameScriptInterface::GetItemDefNamesFromContainer	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,std::vector<CCharString,std::allocator<CCharString> > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
370	0x00890970	Quest.GetOpinionAttitudeAsString	CGameScriptInterface::GetOpinionAttitudeAsString	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,EOpinionAttitudeType,CCharString &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
371	0x008A1B10	Quest.GetSleepingPositionAndOrientationFromBed	CGameScriptInterface::GetSleepingPositionAndOrientationFromBed	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,CScriptThing const &,CScriptThing const &,C3DVector &,C3DVector &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
372	0x008902E0	Quest.GiveHeroObject	CGameScriptInterface::GiveHeroObject	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,long,bool	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
373	0x00899C10	Quest.IsPlayerCreatureReadyToFireProjectileWeapon	CGameScriptInterface::IsPlayerCreatureReadyToFireProjectileWeapon	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,float &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
374	0x0089AD90	Quest.IsQuestStartScreenActive	CGameScriptInterface::IsQuestStartScreenActive	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,CCharString &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
375	0x008A9AE0	Quest.MsgOnBoastsMade	CGameScriptInterface::MsgOnBoastsMade	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,std::vector<std::pair<long,CCharString>,std::allocator<std::pair<long,CCharString> > > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
376	0x00893B00	Quest.MsgOnExpressionPerformed	CGameScriptInterface::MsgOnExpressionPerformed	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,CCharString &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
377	0x00893F80	Quest.MsgOnHeroCastSpell	CGameScriptInterface::MsgOnHeroCastSpell	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,EHeroAbility &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
378	0x00893EC0	Quest.MsgOnHeroSlept	CGameScriptInterface::MsgOnHeroSlept	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,bool &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
379	0x0089B110	Quest.StartMovieSequence	CGameScriptInterface::StartMovieSequence	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,CScriptGameResourceObjectMovieBase &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
380	0x00891530	Quest.GetAllActiveQuestInfo	CGameScriptInterface::GetAllActiveQuestInfo	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,std::vector<CCharString,std::allocator<CCharString> > &,std::vector<CCharString,std::allocator<CCharString> > &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
381	0x00891860	Quest.SetQuestWorldMapOffset	CGameScriptInterface::SetQuestWorldMapOffset	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,C2DCoordI const &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
382	0x0088FE80	Quest.SetTimeAsStopped	CGameScriptInterface::SetTimeAsStopped	CGameScriptInterface	ambiguous	strong	1	__thiscall	void	CGameScriptInterface *,bool,long &	100	needs-reversal	0	0	signature-review	0	exact-leaf-name;complete-prototype;quest-interface-owner
383	0x004AAF80	Entity.MsgIsKicked	CScriptThing::MsgIsKicked	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;entity-owner
384	0x004AADA0	Entity.MsgOpenedChest	CScriptThing::MsgOpenedChest	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;entity-owner
385	0x004AACE0	Entity.MsgPerformedAnyAggressiveSpecialAbility	CScriptThing::MsgPerformedAnyAggressiveSpecialAbility	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;entity-owner
386	0x004AAD00	Entity.MsgPerformedAnyNonAggressiveSpecialAbility	CScriptThing::MsgPerformedAnyNonAggressiveSpecialAbility	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;entity-owner
387	0x004AACC0	Entity.MsgPerformedAnySpecialAbility	CScriptThing::MsgPerformedAnySpecialAbility	CScriptThing	unique	strong	1	__thiscall	bool	CScriptThing *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;entity-owner
388	0x004AB040	Entity.SetAsUsable	CScriptThing::SetAsUsable	CScriptThing	unique	strong	1	__thiscall	void	CScriptThing *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;entity-owner
389	0x008977F0	Quest.ApplyHeroPenaltyForDeath	CGameScriptInterface::ApplyHeroPenaltyForDeath	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
390	0x00890FF0	Quest.CameraDefault	CGameScriptInterface::CameraDefault	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
391	0x00890FC0	Quest.CameraResetToViewBehindHero	CGameScriptInterface::CameraResetToViewBehindHero	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,float	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
392	0x0088EC90	Quest.CameraSetCameraPreloadFlag	CGameScriptInterface::CameraSetCameraPreloadFlag	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
393	0x0088ECE0	Quest.CameraShake	CGameScriptInterface::CameraShake	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,float,float	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
394	0x008A0820	Quest.CancelHeroTeleportEffects	CGameScriptInterface::CancelHeroTeleportEffects	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
395	0x00890180	Quest.CancelRadialBlurFade	CGameScriptInterface::CancelRadialBlurFade	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
396	0x00891720	Quest.ChangeHeroHealthBy	CGameScriptInterface::ChangeHeroHealthBy	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,float,bool,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
397	0x0089A0E0	Quest.ChangeHeroMoralityDueToPicklock	CGameScriptInterface::ChangeHeroMoralityDueToPicklock	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
398	0x0089A070	Quest.ChangeHeroMoralityDueToTheft	CGameScriptInterface::ChangeHeroMoralityDueToTheft	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
399	0x008A78E0	Quest.ClearActiveGossipCategories	CGameScriptInterface::ClearActiveGossipCategories	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
400	0x008A7930	Quest.ClearIsGossipForPlayer	CGameScriptInterface::ClearIsGossipForPlayer	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
401	0x008986D0	Quest.ConfiscateAllHeroItems	CGameScriptInterface::ConfiscateAllHeroItems	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
402	0x008987E0	Quest.ConfiscateAllHeroWeapons	CGameScriptInterface::ConfiscateAllHeroWeapons	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
403	0x008901E0	Quest.DisplacementMonochromeEffectColourFadeOut	CGameScriptInterface::DisplacementMonochromeEffectColourFadeOut	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,float,void *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
404	0x00891C40	Quest.DisplayMoneyBag	CGameScriptInterface::DisplayMoneyBag	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
405	0x0088E210	Quest.DisplayTime	CGameScriptInterface::DisplayTime	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
406	0x00891320	Quest.EnableDangerMusic	CGameScriptInterface::EnableDangerMusic	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
407	0x0088F4A0	Quest.EnableDecals	CGameScriptInterface::EnableDecals	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
408	0x0088F620	Quest.EnableSounds	CGameScriptInterface::EnableSounds	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
409	0x006E7290	Quest.EndLetterBox	CGameScriptInterface::EndLetterBox	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
410	0x0088E4C0	Quest.FadeScreenIn	CGameScriptInterface::FadeScreenIn	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
411	0x008907E0	Quest.FadeScreenOutUntilNextCallToFadeScreenIn	CGameScriptInterface::FadeScreenOutUntilNextCallToFadeScreenIn	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,float,float	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
412	0x00891520	Quest.FailAllActiveQuests	CGameScriptInterface::FailAllActiveQuests	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
413	0x0088E500	Quest.FixMovieSequenceCamera	CGameScriptInterface::FixMovieSequenceCamera	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
414	0x00893040	Quest.GetActiveGossipCategoriesSize	CGameScriptInterface::GetActiveGossipCategoriesSize	CGameScriptInterface	unique	strong	1	__thiscall	int	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
415	0x008A17D0	Quest.GetBestTimeGuessTheAddition	CGameScriptInterface::GetBestTimeGuessTheAddition	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
416	0x008A1590	Quest.GetBestTimePairs	CGameScriptInterface::GetBestTimePairs	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
417	0x008A15F0	Quest.GetBestTimeSorting	CGameScriptInterface::GetBestTimeSorting	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
418	0x0088FB70	Quest.GetBettingAccept	CGameScriptInterface::GetBettingAccept	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
419	0x0088FB50	Quest.GetBettingActive	CGameScriptInterface::GetBettingActive	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
420	0x0088FC30	Quest.GetBoastingEnabled	CGameScriptInterface::GetBoastingEnabled	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
421	0x0088FAF0	Quest.GetCheapHeadLooking	CGameScriptInterface::GetCheapHeadLooking	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
422	0x0088FBB0	Quest.GetCountBetMoneyDown	CGameScriptInterface::GetCountBetMoneyDown	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
423	0x0088F900	Quest.GetCountdownTimer	CGameScriptInterface::GetCountdownTimer	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
424	0x00899700	Quest.GetDistanceHeroCanBeHeardFrom	CGameScriptInterface::GetDistanceHeroCanBeHeardFrom	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
425	0x006E7340	Quest.GetGameAngleXY	CGameScriptInterface::GetGameAngleXY	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
426	0x0088FBF0	Quest.GetGlobalTargetingDistanceOffset	CGameScriptInterface::GetGlobalTargetingDistanceOffset	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
427	0x0088F9E0	Quest.GetGuildSealRecallAngleXY	CGameScriptInterface::GetGuildSealRecallAngleXY	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
428	0x00899560	Quest.GetHeroAge	CGameScriptInterface::GetHeroAge	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
429	0x00899930	Quest.GetHeroAttractiveness	CGameScriptInterface::GetHeroAttractiveness	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
430	0x00899850	Quest.GetHeroFatness	CGameScriptInterface::GetHeroFatness	CGameScriptInterface	unique	strong	1	__thiscall	float	CGameScriptInterface *	125	agent-reviewed	0	0	direct-signature	1	exact-leaf-name;complete-prototype;agent-structural-pass;quest-interface-owner
