rank	address	api_names	qualified_name	module	match_status	owner_relevance	prototype_complete	calling_convention	return_type	parameter_types	score	verification_stage	engine_implementation_verified	hook_approved	bridge_kind	arity_compatible	evidence
265	0x00894300	Quest.MsgIsQuestionAnsweredYesOrNo	CGameScriptInterface::MsgIsQuestionAnsweredYesOrNo	CGameScriptInterface	unique	strong	1	__thiscall	long	CGameScriptInterface *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
266	0x006E7410	Quest.NewScriptFrame	CGameScriptInterface::NewScriptFrame	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
267	0x00896390	Quest.OpenChest	CGameScriptInterface::OpenChest	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *,CScriptThing const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
268	0x0089C510	Quest.OpinionSourceSetAsAttentionGrabbing	CGameScriptInterface::OpinionSourceSetAsAttentionGrabbing	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
269	0x00891220	Quest.OverrideMusic	CGameScriptInterface::OverrideMusic	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,EMusicSetType,bool,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
270	0x0088F570	Quest.Play2DSound	CGameScriptInterface::Play2DSound	CGameScriptInterface	unique	strong	1	__thiscall	ulong	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
271	0x0088F890	Quest.PlayAVIMovie	CGameScriptInterface::PlayAVIMovie	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
272	0x00891170	Quest.PlaySoundAtPos	CGameScriptInterface::PlaySoundAtPos	CGameScriptInterface	unique	strong	1	__thiscall	ulong	CGameScriptInterface *,C3DVector const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
273	0x006E79E0	Quest.RegisterTimer	CGameScriptInterface::RegisterTimer	CGameScriptInterface	unique	strong	1	__thiscall	long	CGameScriptInterface *	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
274	0x008907C0	Quest.RemoveConversation	CGameScriptInterface::RemoveConversation	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
275	0x00894490	Quest.RemoveDeadCreature	CGameScriptInterface::RemoveDeadCreature	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
276	0x008AA050	Quest.RemoveGossip	CGameScriptInterface::RemoveGossip	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
277	0x008AA510	Quest.RemoveGossipFactions	CGameScriptInterface::RemoveGossipFactions	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
278	0x008AA2B0	Quest.RemoveGossipVillages	CGameScriptInterface::RemoveGossipVillages	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
279	0x0089C850	Quest.RemoveOpinionDeedStillSearchingForWitnesses	CGameScriptInterface::RemoveOpinionDeedStillSearchingForWitnesses	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
280	0x00891490	Quest.RemoveQuestCardFromGuild	CGameScriptInterface::RemoveQuestCardFromGuild	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
281	0x008914E0	Quest.RemoveQuestCardFromHero	CGameScriptInterface::RemoveQuestCardFromHero	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
282	0x00891C10	Quest.RemoveQuestInfoElement	CGameScriptInterface::RemoveQuestInfoElement	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
283	0x008A9E00	Quest.RemoveRumourCategory	CGameScriptInterface::RemoveRumourCategory	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
284	0x008A1C50	Quest.RepopulateVillage	CGameScriptInterface::RepopulateVillage	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
285	0x0089D7C0	Quest.SetAbilityAvailability	CGameScriptInterface::SetAbilityAvailability	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,EHeroAbility,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
286	0x008A9720	Quest.SetActiveGossipCategories	CGameScriptInterface::SetActiveGossipCategories	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
287	0x0088FB80	Quest.SetBettingAmount	CGameScriptInterface::SetBettingAmount	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
288	0x008915B0	Quest.SetBoastAsFailed	CGameScriptInterface::SetBoastAsFailed	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
289	0x008A96C0	Quest.SetCategoryActivity	CGameScriptInterface::SetCategoryActivity	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
290	0x006E7D30	Quest.SetCreatureCreationDelayFrames	CGameScriptInterface::SetCreatureCreationDelayFrames	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
291	0x0088F400	Quest.SetCreatureGeneratorsCreatureGroupAsEnabled	CGameScriptInterface::SetCreatureGeneratorsCreatureGroupAsEnabled	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,ECreatureGroup,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
292	0x00892CF0	Quest.SetCreatureGeneratorsEnabled	CGameScriptInterface::SetCreatureGeneratorsEnabled	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
293	0x00892D70	Quest.SetCreatureGeneratorsEnabledDuringScript	CGameScriptInterface::SetCreatureGeneratorsEnabledDuringScript	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
294	0x00896F60	Quest.SetDeathRecoveryMarkerName	CGameScriptInterface::SetDeathRecoveryMarkerName	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
295	0x00890010	Quest.SetEnvironmentThemeWeightAllChannels	CGameScriptInterface::SetEnvironmentThemeWeightAllChannels	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
296	0x00890040	Quest.SetEnvironmentThemeWeightAllInternals	CGameScriptInterface::SetEnvironmentThemeWeightAllInternals	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
297	0x00890090	Quest.SetEnvironmentThemeWeightExternals	CGameScriptInterface::SetEnvironmentThemeWeightExternals	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
298	0x00890870	Quest.SetFactionAsAlliedToFaction	CGameScriptInterface::SetFactionAsAlliedToFaction	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
299	0x00890910	Quest.SetFactionAsEnemyToFaction	CGameScriptInterface::SetFactionAsEnemyToFaction	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
300	0x008908C0	Quest.SetFactionAsNeutralToFaction	CGameScriptInterface::SetFactionAsNeutralToFaction	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
301	0x0088F980	Quest.SetGuildSealRecallLocation	CGameScriptInterface::SetGuildSealRecallLocation	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,C3DVector const &,float	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
302	0x0089B3F0	Quest.SetHeroAsWearing	CGameScriptInterface::SetHeroAsWearing	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
303	0x00897CF0	Quest.SetNumberOfTimesHeroHasHadSex	CGameScriptInterface::SetNumberOfTimesHeroHasHadSex	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
304	0x00899E10	Quest.SetPlayerCreatureOnlyTarget	CGameScriptInterface::SetPlayerCreatureOnlyTarget	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CScriptThing const &	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
305	0x00896E60	Quest.SetPreferredQuickAccessItem	CGameScriptInterface::SetPreferredQuickAccessItem	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,CCharString const &,long,long	100	needs-reversal	0	0	wrapper-adapter	1	exact-leaf-name;complete-prototype;quest-interface-owner
