rank	track	module	score	catalog_functions	prototype_complete	prototype_gaps	calling_convention_unknown	naming_review	agent_candidates	verified_lifts
783	candidate-cluster	NCameraModes::CScriptModuleFullTransition	401999	1	0	1	1	0	1	0
784	candidate-cluster	NCameraModes::CScriptModuleOpenChest	401999	1	0	1	1	0	1	0
785	candidate-cluster	NCameraModes::CScriptModuleOpenGate	401999	1	0	1	1	0	1	0
786	candidate-cluster	NCameraModes::CScriptModuleTavernGame	401999	1	0	1	1	0	1	0
787	candidate-cluster	NCameraModes::CScriptModuleUseLamp	401999	1	0	1	1	0	1	0
788	candidate-cluster	NCameraModes::CStringAndCage::CStringAndCageInit	401999	1	0	1	1	0	1	0
789	candidate-cluster	NCameraModes::CZTargetNew::CZTargetNewInit	401999	1	0	1	1	0	1	0
790	candidate-cluster	NCreatureAction::CActionEventAddObject	401999	1	0	1	1	0	1	0
791	candidate-cluster	NCreatureAction::CActionEventExplosion	401999	1	0	1	1	0	1	0
792	candidate-cluster	NCreatureAction::CActionEventTriggerParticle	401999	1	0	1	1	0	1	0
793	candidate-cluster	NCreatureAI::CIsRunnableModuleBase	401999	1	0	1	1	0	1	0
794	candidate-cluster	NCreatureMode::CModeBasic	401999	1	0	1	1	0	1	0
795	candidate-cluster	NCreatureMode::CModeDragonBase	401999	1	0	1	1	0	1	0
796	candidate-cluster	NCreatureMode::CModeNull	401999	1	0	1	1	0	1	0
797	candidate-cluster	NDisplayView::CView3DThirdPerson	401999	1	0	1	1	0	1	0
798	candidate-cluster	NEntityEvents::CEventCutSceneAnimEvent	401999	1	0	1	1	0	1	0
799	candidate-cluster	NEntityEvents::CEventDied	401999	1	0	1	1	0	1	0
800	candidate-cluster	NEntityEvents::CEventHitBy	401999	1	0	1	1	0	1	0
801	candidate-cluster	NEntityEvents::CEventHitThing	401999	1	0	1	1	0	1	0
802	candidate-cluster	NEntityEvents::CEventItemUsed	401999	1	0	1	1	0	1	0
803	candidate-cluster	NEntityEvents::CEventOpenedChest	401999	1	0	1	1	0	1	0
804	candidate-cluster	NEntityEvents::CEventReceivedItem	401999	1	0	1	1	0	1	0
805	candidate-cluster	NEntityEvents::CEventReceivedMoney	401999	1	0	1	1	0	1	0
806	candidate-cluster	NEntityEvents::CEventShownItem	401999	1	0	1	1	0	1	0
807	candidate-cluster	NEntityEvents::CEventSoldItem	401999	1	0	1	1	0	1	0
808	candidate-cluster	NEntityEvents::CEventTalkedTo	401999	1	0	1	1	0	1	0
809	candidate-cluster	NEntityEvents::CEventTalkedToAnyone	401999	1	0	1	1	0	1	0
810	candidate-cluster	NEntityEvents::CEventTriggered	401999	1	0	1	1	0	1	0
811	candidate-cluster	NHitLocations::CPhysicalPrimitiveBase	401999	1	0	1	1	0	1	0
812	candidate-cluster	NInventory::CTCInventoryBase	401999	3	2	1	1	0	1	0
813	candidate-cluster	NParticleEngine::CParticle	401999	1	0	1	1	0	1	0
814	candidate-cluster	NParticleEngine::CRandomAcceleration	401999	1	0	1	1	0	1	0
815	candidate-cluster	NPlayerGui::CDrawAutoPickups	401999	1	0	1	1	0	1	0
816	candidate-cluster	NPlayerGui::CDrawCrime	401999	1	0	1	1	0	1	0
817	candidate-cluster	NPlayerGui::CDrawMiniMap	401999	1	0	1	1	0	1	0
818	candidate-cluster	NPlayerGui::CDrawMoney	401999	1	0	1	1	0	1	0
819	candidate-cluster	NPlayerGui::CDrawNPCName	401999	1	0	1	1	0	1	0
820	candidate-cluster	NPlayerGui::CDrawQuestInfo	401999	1	0	1	1	0	1	0
821	candidate-cluster	NPlayerGui::CDrawQuestInfo::CQuestInfoElementCounter	401999	1	0	1	1	0	1	0
822	candidate-cluster	NPlayerGui::CDrawQuestInfo::CQuestInfoElementCounterList	401999	1	0	1	1	0	1	0
823	candidate-cluster	NPlayerGui::CDrawQuestInfo::CQuestInfoElementTimer	401999	1	0	1	1	0	1	0
824	candidate-cluster	NPlayerGui::CDrawStatUpdates	401999	1	0	1	1	0	1	0
825	candidate-cluster	NScreenEffect::CScreenEffectPriorityStack::CDisplacementMonochromeEffectColourEntry	401999	1	0	1	1	0	1	0
826	candidate-cluster	NScreenEffect::CScreenEffectPriorityStack::CRadialBlurEntry	401999	1	0	1	1	0	1	0
827	candidate-cluster	NScreenEffect::CScreenEffectPriorityStack::CStackEntry	401999	1	0	1	1	0	1	0
828	candidate-cluster	NScreenEffect::CScreenEffectPriorityStack::ICustomProcessInterface	401999	1	0	1	1	0	1	0
829	candidate-cluster	NShape::CClosedShapeBase	401999	1	0	1	1	0	1	0
830	candidate-cluster	NShape::CShape	401999	1	0	1	1	0	1	0
831	candidate-cluster	NTCMessages::CMessageBase	401999	1	0	1	1	0	1	0
832	candidate-cluster	NTCMessages::CMessageClearPrimitives	401999	1	0	1	1	0	1	0
833	candidate-cluster	NTCMessages::CMessageOnMeshReplaced	401999	1	0	1	1	0	1	0
834	candidate-cluster	NTCMessages::CMessageOnMorphChanged	401999	1	0	1	1	0	1	0
835	candidate-cluster	NTCMessages::CMessageOnPickup	401999	1	0	1	1	0	1	0
836	candidate-cluster	NTCMessages::CMessageOnSetThingOwner	401999	1	0	1	1	0	1	0
837	candidate-cluster	NTCScriptedControl::CActionDropGenericBox	401999	1	0	1	1	0	1	0
838	candidate-cluster	NTCScriptedControl::CActionFireProjectileWeapon	401999	1	0	1	1	0	1	0
839	candidate-cluster	NTCScriptedControl::CActionMoveTo	401999	1	0	1	1	0	1	0
840	candidate-cluster	NTCScriptedControl::CActionOverheadTalkToThing	401999	1	0	1	1	0	1	0
841	candidate-cluster	NTCScriptedControl::CActionPerformExpression	401999	1	0	1	1	0	1	0
842	candidate-cluster	NTCScriptedControl::CActionPickUpGenericBox	401999	1	0	1	1	0	1	0
843	candidate-cluster	NTCScriptedControl::CActionPlayCombatAnimation	401999	1	0	1	1	0	1	0
844	candidate-cluster	NTCScriptedControl::CActionStopScripting	401999	1	0	1	1	0	1	0
845	candidate-cluster	NTCScriptedControl::CActionTurnToFacePosition	401999	1	0	1	1	0	1	0
846	candidate-cluster	NTCScriptedControl::CActionWait	401999	1	0	1	1	0	1	0
847	candidate-cluster	NTCScriptedControl::CActionWaitForThingToFinishPerformingTasks	401999	1	0	1	1	0	1	0
848	candidate-cluster	NThingShot::CTCShotDefinitionForcePushBall	401999	1	0	1	1	0	1	0
849	candidate-cluster	NThingShot::CTCShotDefinitionProjectile	401999	1	0	1	1	0	1	0
850	candidate-cluster	NThingShot::CTCShotDefinitionProjectilePredictive	401999	1	0	1	1	0	1	0
851	candidate-cluster	NThingShot::CTCShotDefinitionSpreadShotProjectile	401999	1	0	1	1	0	1	0
852	candidate-cluster	NThingShot::CTCShotDefinitionThrowPredictive	401999	1	0	1	1	0	1	0
853	candidate-cluster	NUISystem::CActionParam	401999	1	0	1	1	0	1	0
854	candidate-cluster	NUISystem::CActionParamEBOOL	401999	1	0	1	1	0	1	0
855	candidate-cluster	NUISystem::CActionParamFloat	401999	1	0	1	1	0	1	0
856	candidate-cluster	NUISystem::CActionParamSLONG	401999	1	0	1	1	0	1	0
857	candidate-cluster	NUISystem::CActionParamState	401999	1	0	1	1	0	1	0
858	candidate-cluster	NUISystem::CActionParamULONG	401999	1	0	1	1	0	1	0
859	candidate-cluster	NUISystem::CFrontEndManager	401999	1	0	1	1	0	1	0
860	candidate-cluster	NUISystem::CNavButton	401999	1	0	1	1	0	1	0
861	candidate-cluster	NUISystem::CUIInterface	401999	1	0	1	1	0	1	0
862	candidate-cluster	CAnimComponentCombatFlourishTargetOffset	401998	8	6	2	1	0	1	0
863	candidate-cluster	CChunkedFileLoader	401998	3	1	2	1	0	1	0
864	candidate-cluster	CCombatAbilityData	401998	7	5	2	1	0	1	0
865	candidate-cluster	CConsoleClasslessCommand	401998	2	0	2	1	0	1	0
866	candidate-cluster	CEngineParticleSimulationRenderData	401998	3	1	2	1	0	1	0
867	candidate-cluster	CEngineSurfaceCompositionManager	401998	19	17	2	1	0	1	0
868	candidate-cluster	CMovableResource	401998	4	2	2	2	0	1	0
869	candidate-cluster	CNavQuadTreeNode	401998	26	24	2	0	0	1	0
870	candidate-cluster	CReactionMatch_AsymmetricPyramid	401998	6	4	2	1	0	1	0
871	candidate-cluster	CReactionMatch_SecondaryAxisMRShifted	401998	6	4	2	1	0	1	0
872	candidate-cluster	NThingShot::CTCShotDefinitionBase	401998	2	0	2	2	0	1	0
873	candidate-cluster	NThingShot::CTCShotDefinitionMultiArrow	401998	2	0	2	2	0	1	0
874	candidate-cluster	CBankFileAsyncData	401997	37	34	3	1	0	1	0
875	candidate-cluster	CEngineBillboardGenerator	401997	6	3	3	1	0	1	0
876	candidate-cluster	CEngineInternalPrimitiveBase	401997	101	98	3	2	0	1	0
877	candidate-cluster	CGraphicDataBank	401997	36	33	3	2	0	1	0
878	candidate-cluster	CReactionMatch_SecondaryAxisCentredMRShifted	401997	7	4	3	1	0	1	0
879	candidate-cluster	CTCActionUseBuyHouse	401997	23	20	3	2	0	1	0
880	candidate-cluster	CTCDiscovery	401997	4	1	3	2	0	1	0
881	candidate-cluster	CTCFish	401997	3	0	3	2	0	1	0
882	candidate-cluster	CTCMapwho	401997	61	58	3	2	0	1	0
883	candidate-cluster	CTCTavernTable	401997	12	9	3	2	0	1	0
884	candidate-cluster	CTCWillResponse	401997	3	0	3	2	0	1	0
885	candidate-cluster	CEnginePrimitiveRenderer	401996	35	31	4	3	0	1	0
886	candidate-cluster	CTCFishingRod	401996	4	0	4	2	0	1	0
887	candidate-cluster	CCombatAbilityProjectileAttackData	401995	6	1	5	2	0	1	0
888	candidate-cluster	CEngineLandscapeMemoryManager	401995	17	12	5	5	0	1	0
889	candidate-cluster	CEnginePrimitiveTypeInfo	401995	7	2	5	2	0	1	0
890	candidate-cluster	CTCTavernBar	401995	11	6	5	3	0	1	0
891	candidate-cluster	NHeroInformationScreens::CBase	401994	6	0	6	6	0	1	0
892	candidate-cluster	CSBAgents	401970	32	2	30	2	0	1	0
893	quick-closure	C3DMeshFileSubMeshChunk	199990	99	98	1	0	0	0	0
894	quick-closure	CPatchTesselationEdgeStrip	199980	98	97	1	0	0	0	0
895	quick-closure	CRegion	199720	72	71	1	0	0	0	0
896	quick-closure	CDefClassBase	199680	168	166	2	1	0	0	0
897	quick-closure	CVillageTaskCarryCrate	199660	66	65	1	0	0	0	0
898	quick-closure	CLandscapeBackgroundSubNodeSplitBranch	199540	54	53	1	0	0	0	0
899	quick-closure	CObservable	199460	46	45	1	0	0	0	0
900	quick-closure	CDrawQuestInfo	199430	43	42	1	0	0	0	0
901	quick-closure	CPlayerGui	199420	42	41	1	0	0	0	0
902	quick-closure	CPersistTraits<float>	199400	40	39	1	1	0	0	0
903	quick-closure	CUserProfileManager	199400	140	138	2	2	0	0	0
904	quick-closure	CEngineScreenEffectDisplacementRenderer	199320	32	31	1	1	0	0	0
905	quick-closure	CNavigatorAStar	199320	32	31	1	1	0	0	0
906	quick-closure	CAIStateGroup_CreatureUseCoverBase	199300	30	29	1	0	0	0	0
907	quick-closure	CInputManager	199300	30	29	1	0	0	0	0
908	quick-closure	CPixelShader	199300	30	29	1	0	0	0	0
909	quick-closure	CAIStateGroup_JackDragon	199290	29	28	1	0	0	0	0
910	quick-closure	CEngineResourceManager	199290	29	28	1	0	0	0	0
911	quick-closure	CAIStateGroup_GoToPub	199280	28	27	1	0	0	0	0
912	quick-closure	CDataOutputStream	199280	28	27	1	0	0	0	0
913	quick-closure	CEngineWeatherRenderer	199280	28	27	1	1	0	0	0
914	quick-closure	CQR_EscortTraderScript	199270	27	26	1	0	0	0	0
915	quick-closure	C3DMesh2	199260	26	25	1	0	0	0	0
916	quick-closure	CMeshDataBank	199250	25	24	1	0	0	0	0
917	quick-closure	CParticleProgram	199250	25	24	1	0	0	0	0
918	quick-closure	CGamePlayerInterface	199240	24	23	1	0	0	0	0
919	quick-closure	CPhysicsMesh	199240	24	23	1	0	0	0	0
920	quick-closure	CAIBrain	199230	23	22	1	0	0	0	0
921	quick-closure	CAInputProcess	199230	23	22	1	0	0	0	0
922	quick-closure	CNewFrontendGameComponent	199230	23	22	1	0	0	0	0
923	quick-closure	CVolume	199230	23	22	1	1	0	0	0
924	quick-closure	C3DMeshInfo	199220	22	21	1	0	0	0	0
925	quick-closure	CSimpleMemoryPool	199220	22	21	1	0	0	0	0
926	quick-closure	CFrontendGameComponent	199210	21	20	1	0	0	0	0
927	quick-closure	CQuadTreeElement	199210	21	20	1	0	0	0	0
928	quick-closure	CEngineMap	199200	20	19	1	0	0	0	0
929	quick-closure	CEnginePrimitiveManagerStaticMeshesBase	199200	20	19	1	0	0	0	0
930	quick-closure	CChunkedFileSuperChunk	199190	19	18	1	0	0	0	0
931	quick-closure	CNavigatorManager	199190	19	18	1	0	0	0	0
932	quick-closure	CPhysicsMeshObject	199190	19	18	1	0	0	0	0
933	quick-closure	CTools	199180	18	17	1	1	0	0	0
934	quick-closure	CChangingStateComponent	199170	17	16	1	1	0	0	0
935	quick-closure	CCreatureAction_PerformExpressionExtended	199170	17	16	1	0	0	0	0
936	quick-closure	CMemoryAllocator	199170	17	16	1	0	0	0	0
937	quick-closure	CThingMapManager	199170	17	16	1	1	0	0	0
938	quick-closure	C3DAnimationManager	199160	16	15	1	0	0	0	0
939	quick-closure	C3DMeshLODInfo	199160	16	15	1	0	0	0	0
940	quick-closure	CAIStateGroup_BuyFromSeller	199160	16	15	1	0	0	0	0
941	quick-closure	CANavQuadTreeNode	199160	16	15	1	0	0	0	0
942	quick-closure	CEngineInternalPrimitiveChanger	199160	16	15	1	0	0	0	0
943	quick-closure	CFrameData	199160	16	15	1	0	0	0	0
944	quick-closure	C2DLineF	199150	15	14	1	1	0	0	0
945	quick-closure	CAIStateGroup_CarryCrateAndFollow	199150	15	14	1	0	0	0	0
946	quick-closure	CPSCDecalRenderer	199150	15	14	1	0	0	0	0
947	quick-closure	CQ_HangingTreeEvilScript	199150	15	14	1	0	0	0	0
948	quick-closure	CV_ExposeMayorScript	199150	15	14	1	0	0	0	0
949	quick-closure	CWideString	199150	15	14	1	1	0	0	0
950	quick-closure	C3DAnimationInfo	199140	14	13	1	0	0	0	0
951	quick-closure	CEngineInternalPrimitive2DViewport	199140	14	13	1	0	0	0	0
952	quick-closure	CInputProcessGameBase	199140	14	13	1	0	0	0	0
953	quick-closure	CStreamingFontDataBank	199140	14	13	1	0	0	0	0
954	quick-closure	CWaterPatchMesh	199140	14	13	1	0	0	0	0
955	quick-closure	CDrawQuickAccessIcons	199130	13	12	1	0	0	0	0
956	quick-closure	CEnginePrimitiveManagerAnimatedMeshesBase	199130	13	12	1	0	0	0	0
957	quick-closure	CPixelFormat	199130	13	12	1	1	0	0	0
958	quick-closure	LSocket	199130	13	12	1	1	0	0	0
959	quick-closure	CEnginePrimitiveManagerRepeatedZSprites	199120	12	11	1	1	0	0	0
960	quick-closure	CParticleSimulation	199120	12	11	1	1	0	0	0
961	quick-closure	CVertexGroupBlock	199120	12	11	1	1	0	0	0
962	quick-closure	C3DMeshFileGroupChunk	199110	11	10	1	0	0	0	0
963	quick-closure	CDrawMiniMap	199110	11	10	1	0	0	0	0
964	quick-closure	CEnginePrimitiveManagerOcclusionBase	199110	11	10	1	0	0	0	0
965	quick-closure	CEngineScreenEffectGlowRenderer	199110	11	10	1	1	0	0	0
966	quick-closure	CHoverable	199110	11	10	1	0	0	0	0
967	quick-closure	CPackedUIntArray	199110	11	10	1	0	0	0	0
968	quick-closure	CTCTargetingBase	199110	11	10	1	0	0	0	0
969	quick-closure	CV_BeardyBaldyScript	199110	11	10	1	0	0	0	0
970	quick-closure	CV_TalentlessBardScript	199110	11	10	1	0	0	0	0
971	quick-closure	C3DAnimationSequenceData	199100	10	9	1	0	0	0	0
972	quick-closure	CCreatureAction_BalverineCorneredJumpIntoSky	199100	10	9	1	0	0	0	0
973	quick-closure	CEngineInternalAttachedPrimitive	199100	10	9	1	0	0	0	0
974	quick-closure	CExpressionSet	199100	10	9	1	1	0	0	0
975	quick-closure	CFontDataBank	199100	10	9	1	0	0	0	0
976	quick-closure	CKeyboardDX	199100	10	9	1	0	0	0	0
977	quick-closure	CPhysicsMeshInfo	199100	10	9	1	1	0	0	0
978	quick-closure	CPSCEmitterGeneric	199100	10	9	1	0	0	0	0
979	quick-closure	CText	199100	10	9	1	0	0	0	0
980	quick-closure	CTextureManager	199100	10	9	1	0	0	0	0
981	quick-closure	CThingSearchTools	199100	110	108	2	0	0	0	0
982	quick-closure	CV_BodyGuardScript	199100	10	9	1	0	0	0	0
983	quick-closure	CVillageTaskPatrol	199100	10	9	1	0	0	0	0
984	quick-closure	CVillageTaskSecuritySweep	199100	10	9	1	0	0	0	0
985	quick-closure	LHHttp2	199100	10	9	1	0	0	0	0
986	quick-closure	C2DBoxI	199090	9	8	1	0	0	0	0
987	quick-closure	CAIStateGroup_Gaze	199090	9	8	1	0	0	0	0
988	quick-closure	CCreatureActionHeroJump	199090	9	8	1	1	0	0	0
989	quick-closure	CDrawAbilityButtons	199090	9	8	1	0	0	0	0
990	quick-closure	CModeSitBase	199090	9	8	1	0	0	0	0
991	quick-closure	CModeStrafe	199090	9	8	1	0	0	0	0
992	quick-closure	CNavigatorBase	199090	9	8	1	0	0	0	0
993	quick-closure	CPhysicsFacesSegmentBranch	199090	9	8	1	0	0	0	0
994	quick-closure	CPSCLight	199090	9	8	1	0	0	0	0
995	quick-closure	CPSCSingleSprite	199090	9	8	1	0	0	0	0
996	quick-closure	CPSCSplineBase	199090	9	8	1	0	0	0	0
997	quick-closure	CQ_ArenaScript	199090	9	8	1	0	0	0	0
998	quick-closure	CRenderStateManager	199090	9	8	1	0	0	0	0
999	quick-closure	CScriptModuleFullTransition	199090	9	8	1	0	0	0	0
1000	quick-closure	CScrollableList	199090	9	8	1	1	0	0	0
1001	quick-closure	CSplinePosParamData	199090	9	8	1	0	0	0	0
1002	quick-closure	CSplineRandomOffsetData	199090	9	8	1	0	0	0	0
1003	quick-closure	CStopWatch	199090	9	8	1	0	0	0	0
1004	quick-closure	CThreadedFileManager	199090	9	8	1	0	0	0	0
1005	quick-closure	C3DAnimationTransitionState	199080	8	7	1	0	0	0	0
1006	quick-closure	C3DBoundingBox	199080	8	7	1	1	0	0	0
1007	quick-closure	CAIStateGroup_RecoverStealableItem	199080	8	7	1	0	0	0	0
1008	quick-closure	CCombatRing	199080	8	7	1	0	0	0	0
1009	quick-closure	CCreatureAction_GetUpFromSitting	199080	8	7	1	0	0	0	0
1010	quick-closure	CCreatureAction_HeroLoadRangedWeapon	199080	8	7	1	0	0	0	0
1011	quick-closure	CCreatureAction_NavToPos	199080	8	7	1	1	0	0	0
1012	quick-closure	CCreatureAction_ScorpionCharge	199080	8	7	1	0	0	0	0
1013	quick-closure	CCreatureAction_SitDown	199080	8	7	1	0	0	0	0
1014	quick-closure	CEditBox	199080	8	7	1	0	0	0	0
1015	quick-closure	CEnginePrimitiveManagerParticleDecalGroup	199080	8	7	1	0	0	0	0
1016	quick-closure	CEnginePrimitiveOcclusionManager	199080	8	7	1	0	0	0	0
1017	quick-closure	CEngineSceneGridCell	199080	8	7	1	0	0	0	0
1018	quick-closure	CFrontEndScreen	199080	8	7	1	0	0	0	0
1019	quick-closure	CInitBaseClass	199080	8	7	1	0	0	0	0
1020	quick-closure	CParticleEmitterDatabase	199080	8	7	1	0	0	0	0
1021	quick-closure	CStreamingFontBank	199080	8	7	1	0	0	0	0
1022	quick-closure	C3DClothPrimitive	199070	7	6	1	0	0	0	0
1023	quick-closure	C3DMeshFileEngineMaterialChunk	199070	7	6	1	0	0	0	0
1024	quick-closure	CBufferedFileDataOutputStream	199070	7	6	1	0	0	0	0
1025	quick-closure	CChunkedFile	199070	7	6	1	0	0	0	0
1026	quick-closure	CCombatSequence_KingScorpionTailPlunge	199070	7	6	1	0	0	0	0
1027	quick-closure	CCreatureAction_BeStunned	199070	7	6	1	0	0	0	0
1028	quick-closure	CCreatureAction_DragonSwoop	199070	7	6	1	0	0	0	0
1029	quick-closure	CCreatureAction_ReleaseTimeSpell	199070	7	6	1	0	0	0	0
1030	quick-closure	CCreatureAction_SpiritAttack	199070	7	6	1	0	0	0	0
1031	quick-closure	CEngineClothRenderer	199070	7	6	1	0	0	0	0
1032	quick-closure	CEnginePrimitiveManagerParticleMeshGroup	199070	7	6	1	0	0	0	0
1033	quick-closure	CFileDataInputStream	199070	7	6	1	0	0	0	0
1034	quick-closure	CGraphicInfo	199070	7	6	1	0	0	0	0
1035	quick-closure	CHeightMap	199070	7	6	1	0	0	0	0
1036	quick-closure	CIconText	199070	7	6	1	0	0	0	0
1037	quick-closure	CLightningBeam	199070	7	6	1	0	0	0	0
1038	quick-closure	CPhysicsForceModelBase	199070	7	6	1	0	0	0	0
1039	quick-closure	CPSCRenderSprite	199070	7	6	1	0	0	0	0
1040	quick-closure	CTCActivationReceptorBase	199070	7	6	1	0	0	0	0
1041	quick-closure	C3DAnimFileBoneMaskChunk	199060	6	5	1	0	0	0	0
1042	quick-closure	C3DMeshFileClothChunk	199060	6	5	1	0	0	0	0
1043	quick-closure	C3DMeshFileConvexVolumeChunk	199060	6	5	1	0	0	0	0
1044	quick-closure	C3DMeshFileHelperPointChunk	199060	6	5	1	0	0	0	0
1045	quick-closure	C3DMeshFileXBoundingBoxChunk	199060	6	5	1	1	0	0	0
1046	quick-closure	CCRCSymbolMap	199060	6	5	1	1	0	0	0
1047	quick-closure	CCreatureAction_BanditKingAttack	199060	6	5	1	0	0	0	0
1048	quick-closure	CCreatureAction_BlockBase	199060	6	5	1	0	0	0	0
1049	quick-closure	CCreatureAction_BriarRoseShotFarOutof	199060	6	5	1	0	0	0	0
1050	quick-closure	CCreatureAction_JackScream	199060	6	5	1	0	0	0	0
1051	quick-closure	CCreatureActionHero180RunningTurn	199060	6	5	1	0	0	0	0
1052	quick-closure	CDraw2DText	199060	6	5	1	1	0	0	0
1053	quick-closure	CDrawMouseCursor	199060	6	5	1	0	0	0	0
1054	quick-closure	CEnginePrimitiveChangerManager	199060	6	5	1	0	0	0	0
1055	quick-closure	CEnginePrimitiveManagerParticleSpriteTrailGroup	199060	6	5	1	0	0	0	0
1056	quick-closure	CEnvironmentThemeDef	199060	6	5	1	0	0	0	0
1057	quick-closure	CFlammableDef	199060	6	5	1	1	0	0	0
1058	quick-closure	CGameMap	199060	6	5	1	0	0	0	0
1059	quick-closure	CGameScriptThingManager	199060	6	5	1	0	0	0	0
1060	quick-closure	CHeroMarriageDef	199060	6	5	1	0	0	0	0
1061	quick-closure	CManagedTextureData	199060	6	5	1	0	0	0	0
1062	quick-closure	CModeBase	199060	6	5	1	0	0	0	0
1063	quick-closure	CModeThunderLightningStorm	199060	6	5	1	0	0	0	0
1064	quick-closure	COpinionPersonalityDef	199060	6	5	1	0	0	0	0
1065	quick-closure	CQ_RansomVictimScript	199060	6	5	1	0	0	0	0
1066	quick-closure	CReactionFrequencyTraits_ControlledCount	199060	6	5	1	0	0	0	0
1067	quick-closure	CStaticFontBank	199060	6	5	1	0	0	0	0
1068	quick-closure	CSurfaceCompositor	199060	6	5	1	0	0	0	0
1069	quick-closure	CTrack	199060	6	5	1	0	0	0	0
1070	quick-closure	CVirtualKeyboard	199060	6	5	1	0	0	0	0
1071	quick-closure	C3DAnimFileLoader	199050	5	4	1	0	0	0	0
1072	quick-closure	C3DMeshFileXAnimatedPrimitiveChunk	199050	5	4	1	0	0	0	0
1073	quick-closure	CAbilityButtonGuiDef	199050	5	4	1	0	0	0	0
1074	quick-closure	CActionFollowCreature	199050	5	4	1	0	0	0	0
1075	quick-closure	CChecksumCacheFile	199050	5	4	1	0	0	0	0
1076	quick-closure	CCreatureAction_BlowHorn	199050	5	4	1	0	0	0	0
1077	quick-closure	CCreatureAction_CastWillReclaimUndeadFollower	199050	5	4	1	0	0	0	0
1078	quick-closure	CCreatureAction_DragonRearUpFull	199050	5	4	1	0	0	0	0
1079	quick-closure	CCreatureAction_DragonRetreat	199050	5	4	1	0	0	0	0
1080	quick-closure	CCreatureAction_Drink	199050	5	4	1	0	0	0	0
1081	quick-closure	CCreatureAction_ScreamerDie	199050	5	4	1	0	0	0	0
1082	quick-closure	CCreatureAction_SpiritHitResponse	199050	5	4	1	0	0	0	0
1083	quick-closure	CCreatureAction_SummonerLightningOrbInto	199050	5	4	1	0	0	0	0
1084	quick-closure	CCreatureAction_SummonerLightningOrbOutOf	199050	5	4	1	0	0	0	0
1085	quick-closure	CCreatureAction_TeleportIn	199050	5	4	1	0	0	0	0
1086	quick-closure	CEngineLocalDetailObjectDef	199050	5	4	1	0	0	0	0
1087	quick-closure	CEnginePrimitiveSimulationInfo	199050	5	4	1	0	0	0	0
1088	quick-closure	CFileDataOutputStream	199050	5	4	1	0	0	0	0
1089	quick-closure	CGameCameraBase	199050	5	4	1	1	0	0	0
1090	quick-closure	CGuiWindowManager	199050	5	4	1	1	0	0	0
1091	quick-closure	CInputManagerDX	199050	5	4	1	0	0	0	0
1092	quick-closure	CModeJackOfBladesScream	199050	5	4	1	0	0	0	0
1093	quick-closure	CMorphingSprite	199050	5	4	1	1	0	0	0
1094	quick-closure	CPSCAttractor	199050	5	4	1	0	0	0	0
1095	quick-closure	CPSCRenderMesh	199050	5	4	1	0	0	0	0
1096	quick-closure	CQ_GuildTrainingSkillScript	199050	5	4	1	1	0	0	0
1097	quick-closure	CReactionMatch_Sphere	199050	5	4	1	0	0	0	0
1098	quick-closure	CScriptModuleSelfTerminateBase	199050	5	4	1	0	0	0	0
1099	quick-closure	CSpecialAbilitiesBerserkDef	199050	5	4	1	0	0	0	0
1100	quick-closure	CSpecialAbilitiesBulletTimeDef	199050	5	4	1	0	0	0	0
1101	quick-closure	CSpecialAbilitiesMultiStrikeDef	199050	5	4	1	0	0	0	0
1102	quick-closure	CSpecialAbilitiesPhysicalShieldDef	199050	5	4	1	0	0	0	0
1103	quick-closure	CTavernGameDef	199050	5	4	1	1	0	0	0
1104	quick-closure	CThingCreatureDef	199050	5	4	1	0	0	0	0
1105	quick-closure	CV_SingingStonesScript	199050	5	4	1	0	0	0	0
1106	quick-closure	CVillageDef	199050	5	4	1	0	0	0	0
1107	quick-closure	C3DAnimationSequence	199040	4	3	1	1	0	0	0
1108	quick-closure	CAIScratchpadDef	199040	4	3	1	0	0	0	0
1109	quick-closure	CAIStateGroup_GazeAtWork	199040	4	3	1	0	0	0	0
1110	quick-closure	CCardDef	199040	4	3	1	0	0	0	0
1111	quick-closure	CCombatAbilityBlockingData	199040	4	3	1	0	0	0	0
1112	quick-closure	CCombatAction_FallStunned	199040	4	3	1	0	0	0	0
1113	quick-closure	CCreatureAction_Ambush	199040	4	3	1	0	0	0	0
1114	quick-closure	CCreatureAction_BanditKingThrowWeapons	199040	4	3	1	0	0	0	0
1115	quick-closure	CCreatureAction_BriarRoseConcentrateInto	199040	4	3	1	0	0	0	0
1116	quick-closure	CCreatureAction_CastWillFireballSpell	199040	4	3	1	0	0	0	0
1117	quick-closure	CCreatureAction_FinishWillForceSpell	199040	4	3	1	0	0	0	0
1118	quick-closure	CCreatureAction_GeneralInterruptedAttack	199040	4	3	1	0	0	0	0
1119	quick-closure	CCreatureAction_GetItemOutOfPocket	199040	4	3	1	0	0	0	0
1120	quick-closure	CCreatureAction_PutGoodsDown	199040	4	3	1	0	0	0	0
1121	quick-closure	CCreatureAction_ReleaseWillLightningSpell	199040	4	3	1	0	0	0	0
1122	quick-closure	CCreatureAction_UnsheatheItemFromInventoryWithHasteAction	199040	4	3	1	0	0	0	0
1123	quick-closure	CCreatureDef	199040	4	3	1	0	0	0	0
1124	quick-closure	CCriticalSectionLock	199040	4	3	1	0	0	0	0
1125	quick-closure	CDeviceIndependent	199040	4	3	1	0	0	0	0
