rank	track	module	score	catalog_functions	prototype_complete	prototype_gaps	calling_convention_unknown	naming_review	agent_candidates	verified_lifts
80	candidate-cluster	NCameraModes::CProjectileWeapon	413993	7	0	7	7	0	7	0
81	candidate-cluster	NCameraModes::CSACCombat	413993	7	0	7	7	0	7	0
82	candidate-cluster	NCameraModes::CScriptModuleBase	413993	7	0	7	7	0	7	0
83	candidate-cluster	NParticleEngine::CPSCDecalRenderer	413993	7	0	7	7	0	7	0
84	candidate-cluster	NParticleEngine::CPSCRenderMesh	413993	7	0	7	7	0	7	0
85	candidate-cluster	NParticleEngine::CPSCRenderSprite	413993	7	0	7	7	0	7	0
86	candidate-cluster	CTCInventoryMagic	413992	12	4	8	7	0	7	0
87	candidate-cluster	CTCPhysicsControlled	413992	16	8	8	7	0	7	0
88	candidate-cluster	CTCTargetingPlayer	413992	18	10	8	7	0	7	0
89	candidate-cluster	CTCTavernGameCardPairs	413991	20	11	9	8	0	7	0
90	candidate-cluster	CTCSmokeGenerator	413990	12	2	10	8	0	7	0
91	candidate-cluster	CTCDParticleEmitter	413989	39	28	11	9	0	7	0
92	candidate-cluster	CTCActivationTrigger	413988	15	3	12	9	0	7	0
93	candidate-cluster	CMainGameComponent	411999	64	63	1	0	0	6	0
94	candidate-cluster	CWorldMap	411996	187	183	4	3	0	6	0
95	candidate-cluster	CLocalDetailPrimitiveBase	411994	7	1	6	6	0	6	0
96	candidate-cluster	CSoundBankLH	411994	6	0	6	6	0	6	0
97	candidate-cluster	CTCAnimatingObject	411994	13	7	6	6	0	6	0
98	candidate-cluster	CTCDNavigationSeed	411994	6	0	6	6	0	6	0
99	candidate-cluster	CTCDNone	411994	6	0	6	6	0	6	0
100	candidate-cluster	CTCDRegionEntrance	411994	6	0	6	6	0	6	0
101	candidate-cluster	CTCDRegionExit	411994	13	7	6	6	0	6	0
102	candidate-cluster	CTCDRumble	411994	6	0	6	6	0	6	0
103	candidate-cluster	CTCHeroAttachableAppearanceModifiers	411994	21	15	6	6	0	6	0
104	candidate-cluster	CTCPhysicsNavigator	411994	29	23	6	6	0	6	0
