target_address	category	calls	scripts	roles	helper_names
0x00DA2F90	lifecycle-cleanup	1	1	destructor	NScript::CV_FisticuffsClubScript::~CV_FisticuffsClubScript
0x00DBDE40	engine-or-script-helper	1	1	Main	CQ_NewOakValeIntroScript::DoMission
0x00DBEFC0	lifecycle-cleanup	1	1	destructor	CParticleEmitter_Dtor_7
0x00DD1F40	lifecycle-cleanup	1	1	destructor	CParticleEmitter_Dtor_8
0x00DEBCB0	lifecycle-cleanup	1	1	destructor	NScript::CQ_RansomVictimScript::~CQ_RansomVictimScript
0x00DFC320	engine-or-script-helper	1	1	Main	CScriptBase_ProcessNPCConversations
0x00DFDED0	engine-or-script-helper	1	1	Main	Main_InitializeFourierAnalysis_4
0x00E1DA40	lifecycle-cleanup	1	1	destructor	NScript::CQ_HangingTreeGoodScript::CHTG_Audience::~CHTG_Audience
0x00E37680	lifecycle-cleanup	1	1	destructor	NScript::CV_ArcheryCompetitionScript::~CV_ArcheryCompetitionScript
0x00E46A50	lifecycle-cleanup	1	1	destructor	CSystemManager::~CSystemManager
0x00E477F0	lifecycle-cleanup	1	1	destructor	NTCScriptedControl::CActionMoveTo::~CActionMoveTo
0x00E54AA0	runtime-support	1	1	Init	std_vector_CConversation_Assign
0x00E68EB0	lifecycle-cleanup	1	1	destructor	NScript::CV_SickChildScript::~CV_SickChildScript
0x00E76040	engine-or-script-helper	1	1	Main	CGameflowScript::DeclareGossipCategories
0x00E7B2E0	lifecycle-cleanup	1	1	destructor	NScript::CV_ExposeMayorScript::~CV_ExposeMayorScript
0x00E81F30	lifecycle-cleanup	1	1	destructor	CTCInventoryItem::OnDie
0x00E8B750	lifecycle-cleanup	1	1	destructor	NScript::CV_FisticuffsClubScript::~CV_FisticuffsClubScript
0x00ED7640	lifecycle-cleanup	1	1	destructor	NScript::CV_SwordInTheStoneScript::~CV_SwordInTheStoneScript
0x00EDAD10	lifecycle-cleanup	1	1	destructor	NScript::CV_TalentlessBardScript::~CV_TalentlessBardScript
0x00EE40F0	lifecycle-cleanup	1	1	destructor	CTCTavernGame::~CTCTavernGame
0x00EE6C50	lifecycle-cleanup	1	1	destructor	NTCScriptedControl::CActionTalkedTo::~CActionTalkedTo
0x00EE8390	engine-or-script-helper	1	1	Main	DoMission_OakValeRevisited
0x00EFF1C0	engine-or-script-helper	1	1	Main	NScript::CTonyTestScriptsScript::AddQuestsToGuild
0x00F1EED0	engine-or-script-helper	1	1	Main	NScript::CQ_ArenaScript::PlayWave
0x00F26C30	runtime-support	1	1	Init	std_vector_Conversation_Assign3
