address	name	module	checker_verdict	origin	snapshot	declaration_header	sha256	bytes	integrity	integrity_detail	host_cpp20_syntax	compiler_errors	first_blocker	missing_dependencies	vc71_incompatibilities	vc71_features	compile_ready
00405ba0	Std_Move_Backward	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00405BA0_global_Std_Move_Backward.cpp		d03cf41ab059e8167636be8411753f095dd89cfd4e8644d1e9e3b06bffb0c2df	431	PASS		PASS	0			4	auto:1;std-fixed-width:3	0
00406770	$E2	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00406770_global_E2.cpp		545a801f843e0f0bd4a735176adba734b9a1ba496238c4671791b0ba59483cbb	42	PASS		PASS	0			0		1
00409090	Engine_FindPrimitiveInArray	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00409090_global_Engine_FindPrimitiveInArray.cpp		dec9553ae390324de5f8ea086d49a58dbfd073b723e66ab2b647418554ca5d00	2191	PASS		PASS	0			10	nullptr:5;static_assert:1;std-fixed-width:4	0
0040bb90	CUserProfileManager_SaveAndCleanup	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040BB90_global_CUserProfileManager_SaveAndCleanup.cpp		c0c46c0ceff4612066ae871fbacdf0f16371b1d42e05476bf7538fc2dc2fb741	2109	PASS		PASS	0			22	auto:1;nullptr:1;static_assert:7;std-fixed-width:13	0
0040cec0	CUserProfileManager_Constructor	_global	FAIL	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040CEC0_global_CUserProfileManager_Constructor.cpp		6f9d462f635039a13a752e6fa2e9b73bb943d312ccc247e157b7b6d199a7b464	14968	PASS		PASS	0			99	auto:1;nullptr:18;static_assert:25;std-fixed-width:54;using-alias:1	0
0040e130	Vector_FreeElements	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040E130_global_Vector_FreeElements.cpp		c7b21f18b5541de663959b0bf1c65c678ea25a9b6941240c368daadc1bf0b123	208	PASS		PASS	0			1	nullptr:1	0
0040e170	Array_LinearSearchInt	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040E170_global_Array_LinearSearchInt.cpp		3178406a291e3c15f9180dbdef388697be9e6d0c411610011eac4b11ad3fd15e	1470	PASS		PASS	0			0		1
004fe7f0	CollectSoundThemeSwitchDefs	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x004FE7F0_global_CollectSoundThemeSwitchDefs.cpp		2e7828a40d3c64ad27e5535596ad661b9180913f9eb0f86fd76aedf6f5bfd5ab	10371	PASS		FAIL	35	static assertion failed	::LTextTreeWalkThrough;CCharString;CDefinitionManager;CDefPointer;CollectSoundThemeSwitchDefs_PostLookup;CollectSoundThemeSwitchDefs_PreLookup;COptimisedPrimitive;CThingPhysicalSwitchDef;definitionManager;LTextBinNode;LTextBinTree;LTextGroup;LTextTreeWalkThrough;self;soundThemeStorage;symbol	83	auto:8;nullptr:8;static_assert:23;std-fixed-width:43;using-alias:1	0
0050a650	GetMapNavigationAreaInit	CWorldMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0050A650_CWorldMap_GetMapNavigationAreaInit.cpp		81519a00f6a9d5a38856fe9c8d7ecfbb15dc4c5a578d68ce707b3a4f7b7f39c0	26227	PASS		FAIL	96	use of enum 'EHeroMorphType' without previous declaration	CFilter_Bind2;CFilter_Bind3;class CTCPhysicsBase;class CVertexBufferWin32;const class CThingSearchTools;CThingCompare_Nearest;CThingFilter_In2DRange;CThingFilter_IsAICreatureAwareOf;CThingFilter_IsAvailableForCreatureInteraction;CThingFilter_IsHuman;CThingFilter_IsIncapacitated;CThingFilter_IsNot;CThingFilter_IsPerceivingThing;CWorldMap;CWorldMap_GetMapNavigationAreaInit_Pair;EHeroMorphType;extraout_EDX;extraout_EDX_00;extraout_EDX_01;extraout_EDX_02;extraout_EDX_03;extraout_EDX_04;extraout_EDX_05;extraout_EDX_06;std;unaff_EDI	93	auto:32;nullptr:19;static_assert:20;std-fixed-width:20;using-alias:2	0
0063a970	SetThemeAtBlock	CWorldMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0063A970_CWorldMap_SetThemeAtBlock.cpp		402744448eb603383160796c56eed87a09725d7dc56883da4a9fba6f99055452	681	PASS		FAIL	8	'CWorldMap' has not been declared	C2DCoordI;CWorldMap;EThemePaintType;GetMap;GetMapNumberAt;IsPosChangeable;localCoord	0		0
0063a9e0	CWorldMap::SetThemeBlendAtBlock	CWorldMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0063A9E0_CWorldMap_SetThemeBlendAtBlock.cpp		f5f879a47094f90379e3914c8ca43a2ec95271a2ccb469e027bb89e986d46020	773	PASS		FAIL	8	'CWorldMap' has not been declared	C2DCoordI;CWorldMap;EThemePaintType;GetMap;GetMapNumberAt;IsPosChangeable;localCoord	0		0
0063aa50	GetThemeAtBlock	CWorldMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0063AA50_CWorldMap_GetThemeAtBlock.cpp		0a0558d9d6c0580f7660800066e366ecb4d2cdba009d1bd5dddae8a1d5a8628d	630	PASS		FAIL	8	'CWorldMap' has not been declared	C2DCoordI;CWorldMap;EThemePaintType;GetMapNumberAt;localCoord;PeekMap	0		0
0063aab0	GetThemeBlendAtBlock	CWorldMap	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0063AAB0_CWorldMap_GetThemeBlendAtBlock.cpp		81e6edba4581b29d79a3991e7086467ceee6f7b8cd404b8f059b8b0fece7baad	675	PASS		FAIL	8	'CWorldMap' has not been declared	C2DCoordI;CWorldMap;EThemePaintType;GetMapNumberAt;localCoord;PeekMap	0		0
00662020	Getter_FieldE0_FC	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00662020_global_Getter_FieldE0_FC.cpp		d4aeb9d05d61cbfbf1174fd1429c28ea207e569294f4fe593014b35e4d6ea302	581	PASS		PASS	0			6	static_assert:2;std-fixed-width:4	0
006b0730	CTCPhysicsBase	CTCPhysicsBase	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x006B0730_CTCPhysicsBase_CTCPhysicsBase.cpp		963bd047ac09673b403de51e491effde4a982be766f1141d23854fb55584cf9c	1971	PASS		FAIL	12	'C3DVector' does not name a type	C3DVector;CTCPhysicsBase	14	auto:1;static_assert:9;std-fixed-width:4	0
00713140	CActionDoCreatureAction	CActionDoCreatureAction	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00713140_NTCScriptedControl_CActionDoCreatureAction_CActionDoCreatureAction.cpp		3a89d95831d3e364cecb972106916c1d8a9e80da0f05e089e47c6b1d39f5547c	2734	PASS		FAIL	1	invalid use of incomplete type 'class NTCScriptedControl::CActionDoCreatureAction'	class NTCScriptedControl::CActionDoCreatureAction	24	auto:5;static_assert:8;std-fixed-width:10;using-alias:1	0
007266c0	CTCPhysicsBase	CTCPhysicsBase	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x007266C0_CTCPhysicsBase_CTCPhysicsBase.cpp		083a9446fbd6a0afffa353a3c9bc590be287c26e541d0b2122cd0021adfdf704	1401	PASS		FAIL	5	static assertion failed	CTCPhysicsBase	16	auto:1;static_assert:6;std-fixed-width:9	0
007602f0	Math_PolygonAngleSumClosureCheck	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x007602F0_global_Math_PolygonAngleSumClosureCheck.cpp		a5bfc6823a7d803b112da873043d3c94b2f0d3215a004b17be293e96275bfd47	5367	PASS		FAIL	4	expected '(' before '{' token	fld	16	auto:1;static_assert:6;std-fixed-width:9	0
