address	verdict	file	flag
0040b290	RELOC	CUserProfileManager_SetCameraResetting_0040b290.cpp	Oy
0040b310	RELOC	CUserProfileManager_SetAntialiasing_0040b310.cpp	Oy
0040b3d0	RELOC	CUserProfileManager_SetAntialiasing_0040b3d0.cpp	Oy
0040b410	RELOC	CUserProfileManager_SetCameraResetting_0040b410.cpp	Oy
0040b450	RELOC	CUserProfileManager_SetCameraResetting_0040b450.cpp	Oy
0040b490	RELOC	CUserProfileManager_SetCameraResetting_0040b490.cpp	Oy
0040b4d0	RELOC	CUserProfileManager_SetAntialiasing_0040b4d0.cpp	Oy
0040b510	RELOC	CUserProfileManager_SetCameraResetting_0040b510.cpp	Oy
0040b6d0	RELOC	CUserProfileManager_SetAntialiasing_0040b6d0.cpp	Oy
0040b710	RELOC	CUserProfileManager_SetAntialiasing_0040b710.cpp	Oy
0040b750	RELOC	CUserProfileManager_SetCameraResetting_0040b750.cpp	Oy
0040bb90	DIFFER(144v188)	Global_CUserProfileManagerSaveAndCleanup_0040bb90.cpp	Oy
0040bc50	RELOC	CEngine_GetEditorAnimation_0040bc50.cpp	Oy
0040bc80	RELOC	CUserProfileManager_Apply_0040bc80.cpp	Oy
0040d2a0	RELOC	CUserProfileManagerSingleton_Get_0040d2a0.cpp	Oy
0040d400	RELOC	CUserProfileManager_SetProfileName_0040d400.cpp	Oy
0040d8b0	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0040d8b0.cpp	Oy
0040d8d0	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3_CTriangleList_0040d8d0.cpp	Oy
0040d8f0	NO_ORACLE	global_sub0040d8f0_0040d8f0.cpp	
0040d900	NO_ORACLE	global_sub0040d900_0040d900.cpp	
0040d910	NO_ORACLE	global_sub0040d910_0040d910.cpp	
0040d950	NO_ORACLE	global_sub0040d950_0040d950.cpp	
0040db30	NO_ORACLE	global_sub0040db30_0040db30.cpp	
0040db40	NO_ORACLE	global_sub0040db40_0040db40.cpp	
0040db50	NO_ORACLE	global_sub0040db50_0040db50.cpp	
0040dbf0	NO_ORACLE	global_sub0040dbf0_0040dbf0.cpp	
0040dc00	NO_ORACLE	global_sub0040dc00_0040dc00.cpp	
0040dc10	NO_ORACLE	global_sub0040dc10_0040dc10.cpp	
0040dc20	NO_ORACLE	global_sub0040dc20_0040dc20.cpp	
0040dc60	NO_ORACLE	global_sub0040dc60_0040dc60.cpp	
0040dc70	NO_ORACLE	global_sub0040dc70_0040dc70.cpp	
0040dc90	NO_ORACLE	global_sub0040dc90_0040dc90.cpp	
0040dce0	EXACT	global_ISTHINGALIVECThingBuilding_0040dce0.cpp	Oy
0040ded0	EXACT	global_CopyimplCActionInputControlCActionIn_0040ded0.cpp	Oy
0040e130	RELOC	Global_Vector_FreeElements_0040e130.cpp	Oy
0040e160	EXACT	CEngineInternalPrimitiveBase_AddChildPrimitive_0040e160.cpp	Oy
0040e170	EXACT	Global_Array_LinearSearchInt_0040e170.cpp	Oy
0040e250	RELOC	CAIStateGroupEnemyCreatureBase_GetCombatMinDistance_0040e250.cpp	Oy
0040e9a0	EXACT	global_FillCHeroMarriageInfoCHeroMarriageIn_0040e9a0.cpp	Oy
0040ea50	EXACT	global_fillENavigatorTypeENavigatorType_0040ea50.cpp	Oy
0040f0e0	RELOC	global_ResetDimensions_0040f0e0.cpp	Oy
0040f220	EXACT	CSmallVectorCANavQuadTreeNodeconst_operator_0040f220.cpp	Oy
0040f270	EXACT	DestvalstdallocatorCIVCountedPointerN3DPrimitiveCTriangleListCIVCountedPointerN3DPrimitive_CTriangleList_0040f270.cpp	Oy
0040f2c0	RELOC	CActiveFile_OnReadFinished_0040f2c0.cpp	Oy
0040f470	RELOC	CBankFileAsyncData_FreeBuffer_0040f470.cpp	Oy
