"address"	"module"	"compiler"	"status"	"behavior_test"	"source"	"object"	"log"	"test_log"
"00ab5f20"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_SetRecentringOn_00ab5f20.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f20.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f20.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f20.test-run.log"
"00ab5f30"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_IsRecentringOn_00ab5f30.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f30.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f30.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f30.test-run.log"
"00ab5f40"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_SetDrawCursor_00ab5f40.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f40.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f40.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f40.test-run.log"
"00ab5f50"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_IsDrawingCursor_00ab5f50.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f50.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f50.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f50.test-run.log"
"00ab5f60"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_SetMouseFiltering_00ab5f60.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f60.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f60.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f60.test-run.log"
"00ab5f70"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_IsLMBDown_00ab5f70.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f70.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f70.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f70.test-run.log"
"00ab5f80"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_IsMMBDown_00ab5f80.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f80.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f80.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f80.test-run.log"
"00ab5f90"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_IsRMBDown_00ab5f90.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f90.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f90.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5f90.test-run.log"
"00a65d30"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_ConsolidateFreeAreas_00a65d30.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d30.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d30.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d30.test-run.log"
"00a65d40"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetAllocationSize_00a65d40.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d40.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d40.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d40.test-run.log"
"00a65d50"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetTotalMemoryControlledByAllocator_00a65d50.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d50.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d50.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d50.test-run.log"
"00a66550"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetFragmentation_00a66550.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a66550.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a66550.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a66550.test-run.log"
"00a65de0"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetAllocationSizeIncludingHeader_00a65de0.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65de0.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65de0.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65de0.test-run.log"
"00a65d70"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetHeaderOverhead_00a65d70.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d70.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d70.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65d70.test-run.log"
"00a65df0"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetLargestFreeAreaSize_00a65df0.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65df0.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65df0.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65df0.test-run.log"
"00a65e20"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetNoFreeAreas_00a65e20.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65e20.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65e20.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65e20.test-run.log"
"00a65e50"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetNoAllocatedAreas_00a65e50.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65e50.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65e50.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65e50.test-run.log"
"00a65da0"	"CMemoryAllocatorFixedSize"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMemoryAllocatorFixedSize_GetTotalMemoryAllocated_00a65da0.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65da0.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65da0.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00a65da0.test-run.log"
"00bdc130"	"CEngineLandscapeMap"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapeMap_RelocateData_00bdc130.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bdc130.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bdc130.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bdc130.test-run.log"
"00b6ca10"	"CEngineLandscapeRenderer"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapeRenderer_PeekSceneFilterFlags_00b6ca10.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b6ca10.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b6ca10.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b6ca10.test-run.log"
"00bf3840"	"CEngineLandscapePatch"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapePatch_CanRelocateData_00bf3840.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3840.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3840.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3840.test-run.log"
"00bf3980"	"CEngineLandscapePatch"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapePatch_RelocateData_00bf3980.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3980.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3980.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3980.test-run.log"
"00b676a0"	"CEngineLandscapeRenderer"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapeRenderer_OnReleaseDefaultPoolResources_00b676a0.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b676a0.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b676a0.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b676a0.test-run.log"
"00ab5390"	"CMouseDX"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CMouseDX_SetMouseCursor_00ab5390.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5390.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5390.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00ab5390.test-run.log"
"00bdc510"	"CEngineLandscapeMap"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapeMap_UpdateForeground_00bdc510.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bdc510.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bdc510.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bdc510.test-run.log"
"00bf7400"	"CLandscapeBackgroundTreeNode"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CLandscapeBackgroundTreeNode_LoadHeader_00bf7400.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf7400.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf7400.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf7400.test-run.log"
"00b687d0"	"CEngineLandscapeRenderer"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapeRenderer_BuildThemes_00b687d0.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b687d0.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b687d0.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00b687d0.test-run.log"
"00bf3b60"	"CEngineLandscapePatch"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapePatch_LoadForegroundPatch_00bf3b60.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3b60.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3b60.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf3b60.test-run.log"
"00bfe050"	"CLandscapeLayerMesh"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CLandscapeLayerMesh_LoadForeground_00bfe050.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bfe050.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bfe050.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bfe050.test-run.log"
"00be7d70"	"CLandscapeBackgroundPatch"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CLandscapeBackgroundPatch_Load_00be7d70.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00be7d70.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00be7d70.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00be7d70.test-run.log"
"00be6f70"	"CLandscapeBackgroundPatch"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CLandscapeBackgroundPatch_Render_00be6f70.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00be6f70.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00be6f70.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00be6f70.test-run.log"
"00bf4570"	"CEngineLandscapePatch"	"Microsoft Visual C++ 7.1"	"PASS"	"PASS"	"D:\Documents\FableTLC\rebuild\src\compiled\CEngineLandscapePatch_RenderForeground_00bf4570.cpp"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf4570.obj"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf4570.compile.log"	"D:\Documents\FableTLC\rebuild\build\candidates-Release\00bf4570.test-run.log"
