address	module	status	retail_bytes	object_text_bytes	object_symbol	first_difference	matching_prefix_bytes	relocation_count	relocation_offsets	retail_sha256	object_sha256
00ab5f00	CMouseDX	MATCH	7	7	?PeekPos@CMouseDX@@QBEABVC2DVector@@XZ		7	0		428104a22da6c8076d44fda27683386cdf6c61713e6c3f63042a560a01f7f1df	428104a22da6c8076d44fda27683386cdf6c61713e6c3f63042a560a01f7f1df
00ab5f10	CMouseDX	MATCH	13	13	?SetInputOn@CMouseDX@@QAEX_N@Z		13	0		5f13d4a1630e9b46eaa085af7a303561a088ee45c6064a15e14ff7314842eb35	5f13d4a1630e9b46eaa085af7a303561a088ee45c6064a15e14ff7314842eb35
00ab5f20	CMouseDX	MATCH	13	13	?SetRecentringOn@CMouseDX@@QAEX_N@Z		13	0		64bd7d486bc3cca7637411cf98bca78c16e5710033d7a3bc131922e3e95a13f8	64bd7d486bc3cca7637411cf98bca78c16e5710033d7a3bc131922e3e95a13f8
00ab5f30	CMouseDX	MATCH	7	7	?IsRecentringOn@CMouseDX@@QBE_NXZ		7	0		761e50a75d3df2d81688e7a17e96eff70838b6ecc9578a5570f74782bd0a4fee	761e50a75d3df2d81688e7a17e96eff70838b6ecc9578a5570f74782bd0a4fee
00ab5f40	CMouseDX	MATCH	13	13	?SetDrawCursor@CMouseDX@@QAEX_N@Z		13	0		0d7db03e4117221316fe2d6587b44bdb2db85670772b90f492182b570306ada9	0d7db03e4117221316fe2d6587b44bdb2db85670772b90f492182b570306ada9
00ab5f50	CMouseDX	MATCH	7	7	?IsDrawingCursor@CMouseDX@@QBE_NXZ		7	0		079271f1d53465fc9129d19657557f2e4fb12af06cd063645120cb78f90578c5	079271f1d53465fc9129d19657557f2e4fb12af06cd063645120cb78f90578c5
00ab5f60	CMouseDX	MATCH	13	13	?SetMouseFiltering@CMouseDX@@QAEX_N@Z		13	0		99d171a5137288708d5f8159b659a9e84ad0c21e0d05fee4e18cf804a21c56b3	99d171a5137288708d5f8159b659a9e84ad0c21e0d05fee4e18cf804a21c56b3
00ab5f70	CMouseDX	MATCH	7	7	?IsLMBDown@CMouseDX@@QBE_NXZ		7	0		3a217b296fa4d265e6854760c56c16b62b9b221b5a6ad9a27b282a63100009c1	3a217b296fa4d265e6854760c56c16b62b9b221b5a6ad9a27b282a63100009c1
00ab5f80	CMouseDX	MATCH	7	7	?IsMMBDown@CMouseDX@@QBE_NXZ		7	0		a2526ffe9735f29913cdecf70b79fe1b1c18cc93998db589c47ba346459b80b9	a2526ffe9735f29913cdecf70b79fe1b1c18cc93998db589c47ba346459b80b9
00ab5f90	CMouseDX	MATCH	7	7	?IsRMBDown@CMouseDX@@QBE_NXZ		7	0		d7bc806a2fef183c8932e3b8bffe3444f95a91c82924afb32507f4b36bcfaac3	d7bc806a2fef183c8932e3b8bffe3444f95a91c82924afb32507f4b36bcfaac3
00a65d30	CMemoryAllocatorFixedSize	MATCH	1	1	?ConsolidateFreeAreas@CMemoryAllocatorFixedSize@@QAEXXZ		1	0		ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e	ae3f4619b0413d70d3004b9131c3752153074e45725be13b9a148978895e359e
00a65d40	CMemoryAllocatorFixedSize	MATCH	9	9	?GetAllocationSize@CMemoryAllocatorFixedSize@@QAEKPAX@Z		9	0		3d9937db43f82085a4c2842711a8f21d99d330850329b9b66117c04b687feba4	3d9937db43f82085a4c2842711a8f21d99d330850329b9b66117c04b687feba4
00a65d50	CMemoryAllocatorFixedSize	MATCH	32	32	?GetTotalMemoryControlledByAllocator@CMemoryAllocatorFixedSize@@QAEKXZ		32	0		3207d91baf55de97538d51d885a974072c69e03d5489f05b154d974b43a1d0f8	3207d91baf55de97538d51d885a974072c69e03d5489f05b154d974b43a1d0f8
00a66550	CMemoryAllocatorFixedSize	MATCH	7	7	?GetFragmentation@CMemoryAllocatorFixedSize@@QAEMXZ		7	0		f89167669f7f351ceaae2c2ce1ff060cf2f6eb80f7f7bed03cd3f3b446f1c276	f89167669f7f351ceaae2c2ce1ff060cf2f6eb80f7f7bed03cd3f3b446f1c276
00a65de0	CMemoryAllocatorFixedSize	MATCH	9	9	?GetAllocationSizeIncludingHeader@CMemoryAllocatorFixedSize@@QAEKPAX@Z		9	0		5b39cf361048a667091f49c48337865964ed76ba45103f3d01066c668f001880	5b39cf361048a667091f49c48337865964ed76ba45103f3d01066c668f001880
00a65d70	CMemoryAllocatorFixedSize	DIFFER	36	36	?GetHeaderOverhead@CMemoryAllocatorFixedSize@@QAEKXZ	12	12	0		1693c8394a579e98f2f23e8fb8ec43d68ff5589eb05453f3847931b871b50747	ada5027567132bfd92eea4ab8a4ee67e67590c17c101bb14eb1fa5e3e723b4d4
00a65df0	CMemoryAllocatorFixedSize	MATCH	48	48	?GetLargestFreeAreaSize@CMemoryAllocatorFixedSize@@QAEKXZ		48	0		efe7d0429f6b88e8e002f5854c02ed643b3ac018586c1d100ffe66608c9ee10a	efe7d0429f6b88e8e002f5854c02ed643b3ac018586c1d100ffe66608c9ee10a
00a65e20	CMemoryAllocatorFixedSize	DIFFER	39	39	?GetNoFreeAreas@CMemoryAllocatorFixedSize@@QAEKXZ	12	12	0		1fc3a3c48185ce28e9d5e9d2cde7aad70df4309769ed8421c155f9507f98b589	d8245c7c8dcebf7ea906df9cb30fffcf45a0c2e00d42017f8f1bbf02f5be81e3
00a65e50	CMemoryAllocatorFixedSize	MATCH	29	29	?GetNoAllocatedAreas@CMemoryAllocatorFixedSize@@QAEKXZ		29	0		35102193b61a397fe2cc53bdfed647b1be5572e4c7a35a9d2532210bd60adadf	35102193b61a397fe2cc53bdfed647b1be5572e4c7a35a9d2532210bd60adadf
00a65da0	CMemoryAllocatorFixedSize	DIFFER	52	55	?GetTotalMemoryAllocated@CMemoryAllocatorFixedSize@@QAEKXZ	11	11	0		abfd48a1dc01a741da760d53888ee248ad5dfe81d2b82cd639146eadf9321f06	81beb240dae52e49155a11170a582a21708ccff44c9fcb1d3b5e5df97bafbd0b
