#target_addr	target_old	donor_name	similarity	significance	applied
8a7090	?SetAllowedToFollow@CGameScriptInterface@@UAEXVCScriptThing@@_N@Z	?SetAllowedToFollow@CGameScriptInterface@@UAEXVCScriptThing@@_N@Z	0.7417824318363657	75.69192724428989	true
8a7350	?SetAllowedToFollow@CGameScriptInterface@@UAEXVCScriptThing@@_N@Z	?SetAllowedToFollow@CGameScriptInterface@@UAEXVCScriptThing@@_N@Z	0.7417824318363657	75.69192724428989	true
99dbe0	@SetDirtyExitFlag@0	@SetDirtyExitFlag@0	0.8576168107046979	14.845161967413901	true
99d4d0	?LocalizedDialogBoxByLanguage@@YIHPAUHINSTANCE__@@PBDPAUHWND__@@P6GH2IIJ@ZG@Z	?LocalizedDialogBoxByLanguage@@YIHPAUHINSTANCE__@@PBDPAUHWND__@@P6GH2IIJ@ZG@Z	1.0000000000000002	36.7557829540499	true
99f3b0	?ResizeGameMap@CThingMapManager@NThingMap@@QAEXJABVC2DBoxI@@@Z	?ResizeGameMap@CThingMapManager@NThingMap@@QAEXJABVC2DBoxI@@@Z	0.9999999999999999	11.763982275887837	true
9a05e0	??0?$CBasicString@D@@QAE@PBDK@Z	??0?$CBasicString@D@@QAE@PBDK@Z	0.7310508107126807	16.7985666241137	true
9ad3b0	?GetIDFromSymbol@LTextSystem@@QAEJPAD@Z	?GetIDFromSymbol@LTextSystem@@QAEJPAD@Z	0.7167927286172325	13.763245685886158	true
9b9570	?CalcInQuotes@CStringParser@@IBE_N_NPBD1@Z	?CalcInQuotes@CStringParser@@IBE_N_NPBD1@Z	1.0	37.51983278233004	true
9be2d0	?CalculateD3DPresentationInterval@CDisplayManager@@AAEIABVCPresentationIntervalDesc@1@@Z	?CalculateD3DPresentationInterval@CDisplayManager@@AAEIABVCPresentationIntervalDesc@1@@Z	0.9999999999999999	35.720357478104894	true
a0c950	?NextItemExists@CWStringParser@@QAE_NXZ	?NextItemExists@CWStringParser@@QAE_NXZ	1.0000000000000002	52.366408421584836	true
a0da70	?GetThousandsSeparator@CXBConfig@@SI_WXZ	?GetThousandsSeparator@CXBConfig@@SI_WXZ	0.892709020690533	35.81943805065411	true
a646e0	?RotateLeft@CMemoryAllocatorVariableSize@@IAEXPAVCMemoryArea@1@@Z	?RotateLeft@CMemoryAllocatorVariableSize@@IAEXPAVCMemoryArea@1@@Z	0.9999999999999999	55.03201677181355	true
a7dbf0	?push_back@?$CSmallVector@PBVCANavQuadTreeNode@@$07@@QAEXABQBVCANavQuadTreeNode@@@Z	?push_back@?$CSmallVector@PBVCANavQuadTreeNode@@$07@@QAEXABQBVCANavQuadTreeNode@@@Z	0.853648635750475	23.19584562308519	true
a9d480	?PostScale@CMatrix3x4@@QAEXABVC3DVector@@@Z	?PostScale@CMatrix3x4@@QAEXABVC3DVector@@@Z	0.7425121666369137	34.908140070636186	true
ac6ef0	??XCQuadric@QuadricOptimiserInternals@@QAEXN@Z	??XCQuadric@QuadricOptimiserInternals@@QAEXN@Z	1.0	34.17648469309304	true
ac6f50	?RemapIndex@COptimisedFace@QuadricOptimiserInternals@@QAEXKK@Z	?RemapIndex@COptimisedFace@QuadricOptimiserInternals@@QAEXKK@Z	1.0000000000000002	33.549419827629904	true
b05980	?GetParticleWorldTransform@CParticleSystem@NParticleEngine@@QBEXAAVCMatrix3x4@@@Z	?GetParticleWorldTransform@CParticleSystem@NParticleEngine@@QBEXAAVCMatrix3x4@@@Z	0.8807491537185543	27.997319494318393	true
b918b0	?MovePrimitivesTo@CEngineSceneGridCell@@AAEXAAV1@@Z	?MovePrimitivesTo@CEngineSceneGridCell@@AAEXAAV1@@Z	0.8034712064295357	48.3186057388481	true
