address	category	current	proposed
005db1f0	disagree	Clear	?SetDefaultValue@CAnimComponentTransitionInTime@@UAEXXZ
005db200	disagree	Clone	?Clone@CAnimComponentTransitionInTime@@UBEPAVCAnimComponentBase@@XZ
005db210	agree	?TransferBinaryOut@CAnimComponentTransitionInTime@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentTransitionInTime@@UBEXAAVCDataOutputStream@@@Z
005db220	disagree	Clear	?SetDefaultValue@CAnimComponentDelayTime@@UAEXXZ
005db230	disagree	Clone	?Clone@CAnimComponentDelayTime@@UBEPAVCAnimComponentBase@@XZ
005db240	agree	?TransferBinaryOut@CAnimComponentDelayTime@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentDelayTime@@UBEXAAVCDataOutputStream@@@Z
005db250	disagree	Close	?SetDefaultValue@CAnimComponentCombatHandedness@@UAEXXZ
005db260	disagree	Clone	?Clone@CAnimComponentCombatHandedness@@UBEPAVCAnimComponentBase@@XZ
005db280	disagree	ChangeScene	?TransferBinaryOut@CAnimComponentCombatHandedness@@UBEXAAVCDataOutputStream@@@Z
005db2b0	disagree	Close	?SetDefaultValue@CAnimComponentCombatComboChain@@UAEXXZ
005db2c0	disagree	Clone	?Clone@CAnimComponentCombatComboChain@@UBEPAVCAnimComponentBase@@XZ
005db2e0	disagree	ChangeScene	?TransferBinaryOut@CAnimComponentCombatComboChain@@UBEXAAVCDataOutputStream@@@Z
005db310	disagree	Clear	?SetDefaultValue@CAnimComponentCombatRecoil@@UAEXXZ
005db320	disagree	Clone	?Clone@CAnimComponentCombatRecoil@@UBEPAVCAnimComponentBase@@XZ
005db330	agree	?TransferBinaryOut@CAnimComponentCombatRecoil@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentCombatRecoil@@UBEXAAVCDataOutputStream@@@Z
005db340	disagree	Init	?SetDefaultValue@CAnimComponentCombatMisc@@UAEXXZ
005db350	disagree	Clone	?Clone@CAnimComponentCombatMisc@@UBEPAVCAnimComponentBase@@XZ
005db370	disagree	TransferBinaryOut	?TransferBinaryOut@CAnimComponentCombatMisc@@UBEXAAVCDataOutputStream@@@Z
005db3a0	disagree	CXMVPlaybackInfo	?SetDefaultValue@CAnimComponentCombatFlourishTargetOffset@@UAEXXZ
005db3b0	disagree	Clone	?Clone@CAnimComponentCombatFlourishTargetOffset@@UBEPAVCAnimComponentBase@@XZ
005db3d0	disagree	TransferBinaryOut	?TransferBinaryOut@CAnimComponentCombatFlourishTargetOffset@@UBEXAAVCDataOutputStream@@@Z
005db400	disagree	Clone	?Clone@CAnimComponentFollowingOnAnim@@UBEPAVCAnimComponentBase@@XZ
005db410	disagree	Clear	?SetDefaultValue@CAnimComponentStrikeSpeedMultiplier@@UAEXXZ
005db420	disagree	Clear	?SetDefaultValue@CAnimComponentSetCreatureMode@@UAEXXZ
005db430	disagree	Clone	?Clone@CAnimComponentSetCreatureMode@@UBEPAVCAnimComponentBase@@XZ
005db440	agree	?TransferBinaryOut@CAnimComponentSetCreatureMode@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentSetCreatureMode@@UBEXAAVCDataOutputStream@@@Z
005db450	disagree	$E2	?SetDefaultValue@CAnimComponentFollowingOnAnimFilter@@UAEXXZ
005db460	disagree	Clone	?Clone@CAnimComponentFollowingOnAnimFilter@@UBEPAVCAnimComponentBase@@XZ
005db470	disagree	Clone	?Clone@CAnimComponentStrikeSpeedMultiplier@@UBEPAVCAnimComponentBase@@XZ
005db480	agree	?TransferBinaryOut@CAnimComponentStrikeSpeedMultiplier@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentStrikeSpeedMultiplier@@UBEXAAVCDataOutputStream@@@Z
005db490	disagree	$E2	?SetDefaultValue@CAnimComponentStrikeResponseAnim@@UAEXXZ
005db4a0	disagree	Clone	?Clone@CAnimComponentStrikeResponseAnim@@UBEPAVCAnimComponentBase@@XZ
005db4c0	agree	?Initialise@CAnimComponentFollowingOnAnim@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z	?Initialise@CAnimComponentFollowingOnAnim@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005db520	agree	?TransferBinaryOut@CAnimComponentFollowingOnAnim@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentFollowingOnAnim@@UBEXAAVCDataOutputStream@@@Z
005db530	agree	?Initialise@CAnimComponentFollowingOnAnimFilter@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z	?Initialise@CAnimComponentFollowingOnAnimFilter@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005db590	agree	?TransferBinaryOut@CAnimComponentFollowingOnAnimFilter@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentFollowingOnAnimFilter@@UBEXAAVCDataOutputStream@@@Z
005db5a0	disagree	Initialise	?Initialise@CAnimComponentStrikeResponseAnim@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005db5f0	agree	?TransferBinaryOut@CAnimComponentStrikeResponseAnim@@UBEXAAVCDataOutputStream@@@Z	?TransferBinaryOut@CAnimComponentStrikeResponseAnim@@UBEXAAVCDataOutputStream@@@Z
005db8d0	disagree	ReadFromFile	?TransferBinaryIn@CAnimComponentFlags@@UAEXAAVCMemoryDataInputStream@@@Z
005db960	disagree	ReadFromFile	?TransferBinaryIn@CAnimComponentTransitionInTime@@UAEXAAVCMemoryDataInputStream@@@Z
005db9f0	disagree	ReadFromFile	?TransferBinaryIn@CAnimComponentDelayTime@@UAEXAAVCMemoryDataInputStream@@@Z
005dba80	agree	?TransferBinaryIn@CAnimComponentCombatHandedness@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentCombatHandedness@@UAEXAAVCMemoryDataInputStream@@@Z
005dbb60	agree	?TransferBinaryIn@CAnimComponentCombatComboChain@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentCombatComboChain@@UAEXAAVCMemoryDataInputStream@@@Z
005dbc40	disagree	ReadFromFile	?TransferBinaryIn@CAnimComponentCombatRecoil@@UAEXAAVCMemoryDataInputStream@@@Z
005dbcd0	agree	?TransferBinaryIn@CAnimComponentCombatMisc@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentCombatMisc@@UAEXAAVCMemoryDataInputStream@@@Z
005dbda0	disagree	TransferBinaryIn	?TransferBinaryIn@CAnimComponentCombatFlourishTargetOffset@@UAEXAAVCMemoryDataInputStream@@@Z
005dbe30	agree	?TransferBinaryIn@CAnimComponentFollowingOnAnim@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentFollowingOnAnim@@UAEXAAVCMemoryDataInputStream@@@Z
005dbe40	disagree	ReadFromFile	?TransferBinaryIn@CAnimComponentSetCreatureMode@@UAEXAAVCMemoryDataInputStream@@@Z
005dbed0	agree	?TransferBinaryIn@CAnimComponentFollowingOnAnimFilter@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentFollowingOnAnimFilter@@UAEXAAVCMemoryDataInputStream@@@Z
005dbee0	agree	?TransferBinaryIn@CAnimComponentStrikeSpeedMultiplier@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentStrikeSpeedMultiplier@@UAEXAAVCMemoryDataInputStream@@@Z
005dbf50	agree	?TransferBinaryIn@CAnimComponentStrikeResponseAnim@@UAEXAAVCMemoryDataInputStream@@@Z	?TransferBinaryIn@CAnimComponentStrikeResponseAnim@@UAEXAAVCMemoryDataInputStream@@@Z
005dc3c0	disagree	Initialise	?Initialise@CAnimComponentFlags@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc450	disagree	Initialise	?Initialise@CAnimComponentTransitionInTime@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc4d0	disagree	Initialise	?Initialise@CAnimComponentDelayTime@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc550	disagree	Initialise	?Initialise@CAnimComponentCombatHandedness@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc650	disagree	Initialise	?Initialise@CAnimComponentCombatComboChain@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc730	disagree	Initialise	?Initialise@CAnimComponentCombatRecoil@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc7b0	disagree	Initialise	?Initialise@CAnimComponentCombatMisc@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc8b0	disagree	Initialise	?Initialise@CAnimComponentCombatFlourishTargetOffset@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dc9b0	disagree	Initialise	?Initialise@CAnimComponentSetCreatureMode@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005dca60	disagree	Initialise	?Initialise@CAnimComponentStrikeSpeedMultiplier@@UAE_NAAVCPersistContext@@ABVCCharString@@@Z
005df600	disagree	AddChildPrimitive	?GetType@CAnimComponentTransitionInTime@@UBE?AW4EAnimComponent@@XZ
005df610	agree	?Alloc@CAnimComponentTransitionInTime@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentTransitionInTime@@UBEPAVCAnimComponentBase@@XZ
005df640	disagree	AddChildPrimitive	?GetType@CAnimComponentDelayTime@@UBE?AW4EAnimComponent@@XZ
005df650	agree	?Alloc@CAnimComponentDelayTime@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentDelayTime@@UBEPAVCAnimComponentBase@@XZ
005df680	disagree	AddChildPrimitive	?GetType@CAnimComponentCombatHandedness@@UBE?AW4EAnimComponent@@XZ
005df690	agree	?Alloc@CAnimComponentCombatHandedness@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentCombatHandedness@@UBEPAVCAnimComponentBase@@XZ
005df6c0	disagree	AddChildPrimitive	?GetType@CAnimComponentCombatComboChain@@UBE?AW4EAnimComponent@@XZ
005df6d0	agree	?Alloc@CAnimComponentCombatComboChain@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentCombatComboChain@@UBEPAVCAnimComponentBase@@XZ
005df700	disagree	AddChildPrimitive	?GetType@CAnimComponentCombatRecoil@@UBE?AW4EAnimComponent@@XZ
005df710	agree	?Alloc@CAnimComponentCombatRecoil@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentCombatRecoil@@UBEPAVCAnimComponentBase@@XZ
005df740	disagree	AddChildPrimitive	?GetType@CAnimComponentCombatMisc@@UBE?AW4EAnimComponent@@XZ
005df750	agree	?Alloc@CAnimComponentCombatMisc@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentCombatMisc@@UBEPAVCAnimComponentBase@@XZ
005df780	disagree	AddChildPrimitive	?GetType@CAnimComponentCombatFlourishTargetOffset@@UBE?AW4EAnimComponent@@XZ
005df790	agree	?Alloc@CAnimComponentCombatFlourishTargetOffset@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentCombatFlourishTargetOffset@@UBEPAVCAnimComponentBase@@XZ
005df7d0	disagree	AddChildPrimitive	?GetType@CAnimComponentFollowingOnAnim@@UBE?AW4EAnimComponent@@XZ
005df7e0	disagree	$E2	?SetDefaultValue@CAnimComponentFollowingOnAnim@@UAEXXZ
005df7f0	agree	?Alloc@CAnimComponentFollowingOnAnim@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentFollowingOnAnim@@UBEPAVCAnimComponentBase@@XZ
005df830	disagree	AddChildPrimitive	?GetType@CAnimComponentSetCreatureMode@@UBE?AW4EAnimComponent@@XZ
005df840	agree	?Alloc@CAnimComponentSetCreatureMode@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentSetCreatureMode@@UBEPAVCAnimComponentBase@@XZ
005df880	disagree	AddChildPrimitive	?GetType@CAnimComponentFollowingOnAnimFilter@@UBE?AW4EAnimComponent@@XZ
005df890	agree	?Alloc@CAnimComponentFollowingOnAnimFilter@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentFollowingOnAnimFilter@@UBEPAVCAnimComponentBase@@XZ
005df8d0	disagree	AddChildPrimitive	?GetType@CAnimComponentStrikeSpeedMultiplier@@UBE?AW4EAnimComponent@@XZ
005df8e0	agree	?Alloc@CAnimComponentStrikeSpeedMultiplier@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentStrikeSpeedMultiplier@@UBEPAVCAnimComponentBase@@XZ
005df920	disagree	AddChildPrimitive	?GetType@CAnimComponentStrikeResponseAnim@@UBE?AW4EAnimComponent@@XZ
005df930	agree	?Alloc@CAnimComponentStrikeResponseAnim@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentStrikeResponseAnim@@UBEPAVCAnimComponentBase@@XZ
005dfe80	disagree	AddChildPrimitive	?GetType@CAnimComponentFlags@@UBE?AW4EAnimComponent@@XZ
005dfe90	agree	?Alloc@CAnimComponentFlags@@UBEPAVCAnimComponentBase@@XZ	?Alloc@CAnimComponentFlags@@UBEPAVCAnimComponentBase@@XZ
0062d7b0	agree	?PerformAction@CCreatureAction_StartSneaking@@UAEXXZ	?PerformAction@CCreatureAction_StartSneaking@@UAEXXZ
0062d7c0	agree	?IsPreventingNormalMovement@CCreatureAction_StartSneaking@@UBE_NXZ	?IsPreventingNormalMovement@CCreatureAction_StartSneaking@@UBE_NXZ
0062d860	agree	?IsPreventingNormalMovement@CCreatureAction_StopSneaking@@UBE_NXZ	?IsPreventingNormalMovement@CCreatureAction_StopSneaking@@UBE_NXZ
0062db60	agree	?IsPreventingLookTurning@CCreatureAction_PlayerInteractionGreet@@UBE_NXZ	?IsPreventingLookTurning@CCreatureAction_PlayerInteractionGreet@@UBE_NXZ
0062db70	agree	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionGreet@@UBE_NXZ	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionGreet@@UBE_NXZ
0062db80	agree	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionGreet@@UBE_NXZ	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionGreet@@UBE_NXZ
0062dc50	agree	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionInsult@@UBE_NXZ	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionInsult@@UBE_NXZ
0062dc60	agree	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionInsult@@UBE_NXZ	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionInsult@@UBE_NXZ
0062dd30	agree	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionThreaten@@UBE_NXZ	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionThreaten@@UBE_NXZ
0062dd40	agree	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionThreaten@@UBE_NXZ	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionThreaten@@UBE_NXZ
0062de10	agree	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionBribe@@UBE_NXZ	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionBribe@@UBE_NXZ
0062de20	agree	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionBribe@@UBE_NXZ	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionBribe@@UBE_NXZ
0062def0	agree	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionFlirt@@UBE_NXZ	?IsToHaveEmptyHands@CCreatureAction_PlayerInteractionFlirt@@UBE_NXZ
0062df00	agree	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionFlirt@@UBE_NXZ	?IsToReplaceItemIfRemoved@CCreatureAction_PlayerInteractionFlirt@@UBE_NXZ
0062dfd0	agree	?PerformAction@CCreatureAction_TavernGameMasterInteraction@@UAEXXZ	?PerformAction@CCreatureAction_TavernGameMasterInteraction@@UAEXXZ
0062dfe0	agree	?IsToHaveEmptyHands@CCreatureAction_TavernGameMasterInteraction@@UBE_NXZ	?IsToHaveEmptyHands@CCreatureAction_TavernGameMasterInteraction@@UBE_NXZ
0062e9f0	agree	?PerformAction@CCombatActionBase@@UAEXXZ	?PerformAction@CCombatActionBase@@UAEXXZ
0062ea00	agree	?GetAnimDelayTime@CCombatActionBase@@UBEJXZ	?GetAnimDelayTime@CCombatActionBase@@UBEJXZ
0062ea10	agree	?AllowsCombinationAnims@CCombatActionBase@@UBE_NXZ	?AllowsCombinationAnims@CCombatActionBase@@UBE_NXZ
0062ea20	agree	?GetAnimExtraFlags@CCombatActionBase@@UBEKXZ	?GetAnimExtraFlags@CCombatActionBase@@UBEKXZ
0062ea30	agree	?IsStrikeAction@CCombatActionBase@@UBE_NXZ	?IsStrikeAction@CCombatActionBase@@UBE_NXZ
0062ea40	agree	?IsToUseRotationInAnimation@CCombatActionBase@@UBE_NXZ	?IsToUseRotationInAnimation@CCombatActionBase@@UBE_NXZ
0062ea50	agree	?IsToAlignWithGroundNormal@CCombatActionBase@@UBE_NXZ	?IsToAlignWithGroundNormal@CCombatActionBase@@UBE_NXZ
0062ea60	agree	?IsToFaceTarget@CCombatActionBase@@UBE_NXZ	?IsToFaceTarget@CCombatActionBase@@UBE_NXZ
0062ea70	agree	?IsToFaceTargetAtStart@CCombatActionBase@@UBE_NXZ	?IsToFaceTargetAtStart@CCombatActionBase@@UBE_NXZ
0062ea80	agree	?GetActionMovementVector@CCombatActionBase@@UBE?AVC3DVector@@XZ	?GetActionMovementVector@CCombatActionBase@@UBE?AVC3DVector@@XZ
0062eaa0	agree	?IsToPerformActionOnStrike@CCombatActionBase@@UBE_NXZ	?IsToPerformActionOnStrike@CCombatActionBase@@UBE_NXZ
0062eab0	agree	?IsToHitProneThings@CCombatActionBase@@UBE_NXZ	?IsToHitProneThings@CCombatActionBase@@UBE_NXZ
0062eac0	agree	?GetIsToFaceTargetCone@CCombatActionBase@@UBEMXZ	?GetIsToFaceTargetCone@CCombatActionBase@@UBEMXZ
0062ead0	agree	?GetIsToFaceTargetMinDist@CCombatActionBase@@UBEMXZ	?GetIsToFaceTargetMinDist@CCombatActionBase@@UBEMXZ
0062eb20	agree	?Clone@CCreatureAction_GiveItemToThing@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_GiveItemToThing@@UBEPAVCCreatureActionBase@@XZ
0062ef30	agree	?Clone@CCreatureAction_PlayerInteractionGreet@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_PlayerInteractionGreet@@UBEPAVCCreatureActionBase@@XZ
0062efb0	agree	?Clone@CCreatureAction_PlayerInteractionInsult@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_PlayerInteractionInsult@@UBEPAVCCreatureActionBase@@XZ
0062f030	agree	?Clone@CCreatureAction_PlayerInteractionThreaten@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_PlayerInteractionThreaten@@UBEPAVCCreatureActionBase@@XZ
0062f0b0	agree	?Clone@CCreatureAction_PlayerInteractionBribe@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_PlayerInteractionBribe@@UBEPAVCCreatureActionBase@@XZ
0062f130	agree	?Clone@CCreatureAction_PlayerInteractionFlirt@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_PlayerInteractionFlirt@@UBEPAVCCreatureActionBase@@XZ
0062f1b0	agree	?Clone@CCreatureAction_TavernGameMasterInteraction@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_TavernGameMasterInteraction@@UBEPAVCCreatureActionBase@@XZ
0062f230	agree	?Clone@CCreatureAction_StartSneaking@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_StartSneaking@@UBEPAVCCreatureActionBase@@XZ
0062f260	agree	?Clone@CCreatureAction_StopSneaking@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_StopSneaking@@UBEPAVCCreatureActionBase@@XZ
0062f290	agree	?Clone@CCreatureAction_ThrowGameObject@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_ThrowGameObject@@UBEPAVCCreatureActionBase@@XZ
0062f300	agree	?Clone@CCreatureAction_Talk@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCreatureAction_Talk@@UBEPAVCCreatureActionBase@@XZ
0062f710	agree	?Clone@CCombatActionBase@@MBEPAVCCreatureActionBase@@XZ	?Clone@CCombatActionBase@@MBEPAVCCreatureActionBase@@XZ
00641210	disagree	EditSetThingForEditorSetThing	?OnAppearanceClear@CTCLight@@UAEXXZ
00641c30	disagree	OnAppearanceDraw	?OnAppearanceDraw@CTCLight@@UAE_NAAVCTCGraphicAppearance@NGraphicAppearance@@ABVCGraphicAppearanceDrawInfo@3@@Z
0065ed3a	agree	?GetTaskType@CVillageTaskTorch@@UBE?AW4EVillageTaskType@@XZ	?GetTaskType@CVillageTaskTorch@@UBE?AW4EVillageTaskType@@XZ
0065ed7a	agree	?IsCreatureAssignedToTask@CVillageTaskTorch@@UBE_NABVCThing@@@Z	?IsCreatureAssignedToTask@CVillageTaskTorch@@UBE_NABVCThing@@@Z
0065ed8e	agree	?IsAnyCreatureAssignedToTask@CVillageTaskTorch@@UBE_NXZ	?IsAnyCreatureAssignedToTask@CVillageTaskTorch@@UBE_NXZ
0065ed9d	agree	?IsValid@CVillageTaskTorch@@UBE_NXZ	?IsValid@CVillageTaskTorch@@UBE_NXZ
0065edac	agree	?IsTaskAvailable@CVillageTaskTorch@@UBE_NXZ	?IsTaskAvailable@CVillageTaskTorch@@UBE_NXZ
0065edec	agree	?GetTaskType@CVillageTaskHorn@@UBE?AW4EVillageTaskType@@XZ	?GetTaskType@CVillageTaskHorn@@UBE?AW4EVillageTaskType@@XZ
0065ee2d	agree	?IsCreatureAssignedToTask@CVillageTaskHorn@@UBE_NABVCThing@@@Z	?IsCreatureAssignedToTask@CVillageTaskHorn@@UBE_NABVCThing@@@Z
0065ee41	agree	?IsValid@CVillageTaskHorn@@UBE_NXZ	?IsValid@CVillageTaskHorn@@UBE_NXZ
0065ee50	agree	?IsTaskAvailable@CVillageTaskHorn@@UBE_NXZ	?IsTaskAvailable@CVillageTaskHorn@@UBE_NXZ
0065ee9c	agree	?GetTaskType@CVillageTaskPatrol@@UBE?AW4EVillageTaskType@@XZ	?GetTaskType@CVillageTaskPatrol@@UBE?AW4EVillageTaskType@@XZ
0065eedd	agree	?IsCreatureAssignedToTask@CVillageTaskPatrol@@UBE_NABVCThing@@@Z	?IsCreatureAssignedToTask@CVillageTaskPatrol@@UBE_NABVCThing@@@Z
0065eef1	agree	?IsTaskAvailable@CVillageTaskPatrol@@UBE_NXZ	?IsTaskAvailable@CVillageTaskPatrol@@UBE_NXZ
0065ef31	agree	?GetTaskType@CVillageTaskPickCrops@@UBE?AW4EVillageTaskType@@XZ	?GetTaskType@CVillageTaskPickCrops@@UBE?AW4EVillageTaskType@@XZ
0065ef72	agree	?IsCreatureAssignedToTask@CVillageTaskPickCrops@@UBE_NABVCThing@@@Z	?IsCreatureAssignedToTask@CVillageTaskPickCrops@@UBE_NABVCThing@@@Z
0065ef86	agree	?IsTaskAvailable@CVillageTaskPickCrops@@UBE_NXZ	?IsTaskAvailable@CVillageTaskPickCrops@@UBE_NXZ
0065efd4	agree	?GetTaskType@CVillageTaskCarryCrate@@UBE?AW4EVillageTaskType@@XZ	?GetTaskType@CVillageTaskCarryCrate@@UBE?AW4EVillageTaskType@@XZ
0066a650	agree	?IsUsingAnimationMovement@CCombatAction_GenericResponseToExplosion@@UBE_NXZ	?IsUsingAnimationMovement@CCombatAction_GenericResponseToExplosion@@UBE_NXZ
0066a660	agree	?IsOverrideableByActionOfSamePriority@CCombatAction_GenericResponseToExplosion@@UBE_NXZ	?IsOverrideableByActionOfSamePriority@CCombatAction_GenericResponseToExplosion@@UBE_NXZ
0066a6d0	agree	?IsAbleToBeAttacked@CCombatAction_GenericResponseToDrain@@UBE_NXZ	?IsAbleToBeAttacked@CCombatAction_GenericResponseToDrain@@UBE_NXZ
0066a780	agree	?Clone@CCombatAction_GenericResponseToDecapitation@@EBEPAVCCreatureActionBase@@XZ	?Clone@CCombatAction_GenericResponseToDecapitation@@EBEPAVCCreatureActionBase@@XZ
0066a7b0	agree	?Clone@CCombatAction_GenericResponseToExplosion@@EBEPAVCCreatureActionBase@@XZ	?Clone@CCombatAction_GenericResponseToExplosion@@EBEPAVCCreatureActionBase@@XZ
0066a880	agree	?Clone@CCombatAction_GenericResponseToDrain@@UBEPAVCCreatureActionBase@@XZ	?Clone@CCombatAction_GenericResponseToDrain@@UBEPAVCCreatureActionBase@@XZ
0066ee20	disagree	IsEventOfThisType	?IsEventOfThisType@CInputTypeKeyboardKeyEvent@@UBE_NABVCInputEvent@@@Z
0066f250	disagree	IsEventOfThisType	?IsEventOfThisType@CInputTypeXboxPadButtonEvent@@UBE_NABVCInputEvent@@@Z
0066f300	agree	?IsEventOfThisType@CInputTypeXboxPadLeftStickEvent@@UBE_NABVCInputEvent@@@Z	?IsEventOfThisType@CInputTypeXboxPadLeftStickEvent@@UBE_NABVCInputEvent@@@Z
0066f320	disagree	IsEventOfThisTypeInQueue	?IsEventOfThisTypeInQueue@CInputTypeXboxPadLeftStickEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
0066f390	agree	?IsEventOfThisType@CInputTypeXboxPadRightStickEvent@@UBE_NABVCInputEvent@@@Z	?IsEventOfThisType@CInputTypeXboxPadRightStickEvent@@UBE_NABVCInputEvent@@@Z
0066f3b0	disagree	IsEventOfThisTypeInQueue	?IsEventOfThisTypeInQueue@CInputTypeXboxPadRightStickEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
0066f420	agree	?IsEventOfThisType@CInputTypeMouseMovementEvent@@UBE_NABVCInputEvent@@@Z	?IsEventOfThisType@CInputTypeMouseMovementEvent@@UBE_NABVCInputEvent@@@Z
0066f440	disagree	IsEventOfThisTypeInQueue	?IsEventOfThisTypeInQueue@CInputTypeMouseMovementEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
0066f4b0	agree	?IsEventOfThisType@CInputTypeMouseWheelMovementEvent@@UBE_NABVCInputEvent@@@Z	?IsEventOfThisType@CInputTypeMouseWheelMovementEvent@@UBE_NABVCInputEvent@@@Z
0066f4d0	disagree	IsEventOfThisTypeInQueue	?IsEventOfThisTypeInQueue@CInputTypeMouseWheelMovementEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
0066f540	disagree	IsFinished	?IsEventOfThisType@CInputTypeMouseWheelMovementUpEvent@@UBE_NABVCInputEvent@@@Z
0066f580	agree	?IsEventOfThisTypeInQueue@CInputTypeMouseWheelMovementUpEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z	?IsEventOfThisTypeInQueue@CInputTypeMouseWheelMovementUpEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
0066f5c0	disagree	IsEventOfThisType	?IsEventOfThisType@CInputTypeMouseWheelMovementDownEvent@@UBE_NABVCInputEvent@@@Z
0066f600	agree	?IsEventOfThisTypeInQueue@CInputTypeMouseWheelMovementDownEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z	?IsEventOfThisTypeInQueue@CInputTypeMouseWheelMovementDownEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
0066f610	agree	?GetControlDirection@CInputTypeKeyboardKeyEvent@@UBE?AVC2DVector@@ABVCInputEvent@@@Z	?GetControlDirection@CInputTypeKeyboardKeyEvent@@UBE?AVC2DVector@@ABVCInputEvent@@@Z
0066f630	disagree	IsEventOfThisTypeInQueue	?IsEventOfThisTypeInQueue@CInputTypeKeyboardKeyEvent@@UBE_NW4EInputButtonEventType@@JAAM@Z
