0	0133fbb8	<nonfunc>
1	006e7c90	`vector_deleting_destructor'
2	0099a400	?Validate@CBaseObject@@UBEXXZ
3	0133fc08	<nonfunc>
4	006e7d50	`vector_deleting_destructor'
5	0088de00	?Error@CGameScriptInterface@@UBEXABVCCharString@@00K@Z
6	006e7d20	?TraceMessage@CGameScriptInterface@@UBEXABVCCharString@@@Z
7	006e72a0	?Validate@CGameScriptInterface@@UBEXXZ
8	0088e0f0	?SetDebugCameraType@CGameScriptInterface@@UBEXJ@Z
9	008a0c60	?DeactivateBoastUi@CGameScriptInterface@@UBEXXZ
10	0088e100	?IsXbox@CGameScriptInterface@@UBE_NXZ
11	006e7410	?NewScriptFrame@CGameScriptInterface@@UBEXXZ
12	0089b5b0	?StartScriptingEntity@CGameScriptInterface@@UAE_NABVCScriptThing@@AAVCScriptGameResourceObjectScriptedThingBase@@W4EScriptAIPriority@@@Z
13	008960c0	?IsEntityUnderScriptedControl@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
14	006e71b0	?IsActiveThreadTerminating@CGameScriptInterface@@UBE_NXZ
15	0088e2a0	?IsLevelLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
16	0088e300	?IsRegionLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
17	00890550	?IsRegionLoadedAndPreloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
18	00891db0	?IsRegionDefLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
19	0088e340	?GetRegionName@CGameScriptInterface@@UBEABVCCharString@@XZ
20	008931b0	?MsgIsLevelLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
21	00893240	?MsgIsLevelUnloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
22	0089ac10	?MsgOnLevelLoaded@CGameScriptInterface@@UBE_NAAV?$list@VCCharString@@V?$allocator@VCCharString@@@std@@@std@@@Z
23	0089ac80	?MsgOnLevelUnloaded@CGameScriptInterface@@UBE_NAAV?$list@VCCharString@@V?$allocator@VCCharString@@@std@@@std@@@Z
24	008932d0	?MsgIsRegionLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
25	00893360	?MsgIsRegionUnloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
26	008933f0	?MsgOnRegionLoaded@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
27	00893470	?MsgOnRegionUnloaded@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
28	008934f0	?MsgOnRegionPreunload@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
29	00893570	?MsgOnQuestCompleted@CGameScriptInterface@@UBE_NABVCCharString@@@Z
30	00893610	?MsgOnAnyQuestCompleted@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
31	00893690	?MsgOnQuestFailed@CGameScriptInterface@@UBE_NABVCCharString@@@Z
32	00893730	?MsgOnQuestCompletedBeforeScreenShown@CGameScriptInterface@@UBE_NABVCCharString@@@Z
33	008937d0	?MsgOnQuestFailedBeforeScreenShown@CGameScriptInterface@@UBE_NABVCCharString@@@Z
34	00893870	?MsgOnQuestAccepted@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
35	008938f0	?MsgOnFeatAccepted@CGameScriptInterface@@UBE_NAAJ@Z
36	00893960	?MsgIsBoastMade@CGameScriptInterface@@UBE_NJ@Z
37	008939d0	?MsgOnBoastMade@CGameScriptInterface@@UBE_NAAJAAVCCharString@@@Z
38	008a9ae0	?MsgOnBoastsMade@CGameScriptInterface@@UBE_NAAV?$vector@U?$pair@JVCCharString@@@std@@V?$allocator@U?$pair@JVCCharString@@@std@@@2@@std@@@Z
39	00893a50	?RemoveBoastMessage@CGameScriptInterface@@UBEXXZ
40	0089ad90	?IsQuestStartScreenActive@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
41	0089ae30	?MsgOnLeavingQuestStartScreen@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
42	00893ab0	?MsgOnLeavingExperienceSpendingScreen@CGameScriptInterface@@UBE_NXZ
43	00894300	?MsgIsQuestionAnsweredYesOrNo@CGameScriptInterface@@UBEJXZ
44	00894370	?MsgIsGameInfoClickedPast@CGameScriptInterface@@UBE_NXZ
45	008943c0	?MsgIsTutorialClickedPast@CGameScriptInterface@@UBE_NXZ
46	00894440	?MsgIsActionModeButtonPressed@CGameScriptInterface@@UBE_NXZ
47	00893b00	?MsgOnExpressionPerformed@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
48	00893ba0	?MsgIsCutSceneSkipped@CGameScriptInterface@@UBE_NXZ
49	0089af30	?RemoveAllCutSceneSkippedMessages@CGameScriptInterface@@UBEXXZ
50	00893c00	?MsgOnHeroHairTypeChanged@CGameScriptInterface@@UBE_NW4EClothingCoversArea@@AAVCCharString@@@Z
51	00893d80	?MsgOnHeroUsedTeleporter@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
52	00893e20	?MsgOnHeroUsedGuildSeal@CGameScriptInterface@@UBE_NXZ
53	00893e70	?MsgOnGameSavedManually@CGameScriptInterface@@UBE_NXZ
54	00893ec0	?MsgOnHeroSlept@CGameScriptInterface@@UBE_NAA_N@Z
55	00893f30	?MsgOnHeroFiredRangedWeapon@CGameScriptInterface@@UBE_NXZ
56	00893f80	?MsgOnHeroCastSpell@CGameScriptInterface@@UBE_NAAW4EHeroAbility@@@Z
57	00893ff0	?MsgOnHeroPickedPocket@CGameScriptInterface@@UBE_NAAVCScriptThing@@@Z
58	00894080	?MsgOnHeroPickedLock@CGameScriptInterface@@UBE_NAAVCScriptThing@@@Z
59	00894110	?MsgOnFishingGameFinished@CGameScriptInterface@@UBE_NAAVCScriptThing@@@Z
60	008941a0	?MsgOnTavernGameFinished@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
61	00894250	?MsgOnHeroRewardedWithItemsFrom@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
62	008942c0	?MsgOnChestOpeningCancelled@CGameScriptInterface@@UBE_NXZ
63	0088e380	?DontPopulateNextLoadedRegion@CGameScriptInterface@@UBEXXZ
64	0088e390	?GetWanderingPopulationScriptDefNameInCurrentRegion@CGameScriptInterface@@UBEXAAVCCharString@@@Z
65	00891e30	?GetWanderingPopulationScriptDefNameInRegion@CGameScriptInterface@@UBEXABVCCharString@@AAV2@@Z
66	00891ea0	?IsHeroAllowedHenchmenInCurrentRegion@CGameScriptInterface@@UBE_NXZ
67	00891ef0	?IsHeroAllowedHenchmenInRegion@CGameScriptInterface@@UBE_NABVCCharString@@@Z
68	006e7460	?PostAddScriptedEntities@CGameScriptInterface@@UBEXXZ
69	008905b0	?IsPlayerHoldingUnsheatheRangedWeaponButton@CGameScriptInterface@@UBE_NXZ
70	008905e0	?IsPlayerHoldingLockTargetButton@CGameScriptInterface@@UBE_NXZ
71	00890610	?IsPlayerHoldingFireRangedWeaponButton@CGameScriptInterface@@UBE_NXZ
72	00890640	?IsPlayerHoldingFirstPersonTargetingButton@CGameScriptInterface@@UBE_NXZ
73	00890670	?IsHeroInProjectileWeaponMode@CGameScriptInterface@@UBE_NXZ
74	00891ca0	?GetHero@CGameScriptInterface@@UAEAAVCScriptThing@@XZ
75	0089a490	?GetHeroTargetedThing@CGameScriptInterface@@UBE?AVCScriptThing@@XZ
76	008a7d60	?GetThingWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@@Z
77	008930f0	?GetThingWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@0@Z
78	008a7e00	?GetRandomThingWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@@Z
79	008a8570	?GetAllThingsWithScriptName@CGameScriptInterface@@UBEJABVCCharString@@AAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
80	008a86c0	?GetAllCreaturesInAreaWithScriptName@CGameScriptInterface@@UBEJABVCCharString@@ABVC3DVector@@MAAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
81	0089a510	?GetNearestWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z
82	0089a6e0	?GetFurthestWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z
83	008a9c40	?GetAllThingsWithDefNameByDistanceFrom@CGameScriptInterface@@UBEJABVCScriptThing@@ABVCCharString@@AAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
84	008a8890	?GetAllThingsWithDefName@CGameScriptInterface@@UBEJABVCCharString@@AAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
85	0089a880	?GetNearestWithDefName@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z
86	0089aa70	?GetFurthestWithDefName@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z
87	00891d50	?GetThingWithUID@CGameScriptInterface@@UBE?AVCScriptThing@@_K@Z
88	008a89d0	?GetAllCreaturesExcludingHero@CGameScriptInterface@@UBEJAAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
89	008a8af0	?GetAllThingsInLevel@CGameScriptInterface@@UBEJABVCCharString@@AAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z
90	0088e260	?IsThingWithThisUIDAlive@CGameScriptInterface@@UBE_N_K@Z
91	006e79e0	?RegisterTimer@CGameScriptInterface@@UAEJXZ
92	006e7690	?DeregisterTimer@CGameScriptInterface@@UAEXJ@Z
93	006e76e0	?SetTimer@CGameScriptInterface@@UAEXJJ@Z
94	006e7710	?GetTimer@CGameScriptInterface@@UBEJJ@Z
95	008a9100	?CreateCreature@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABVC3DVector@@0_N@Z
96	0089f300	?CreateCreatureNearby@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABVC3DVector@@M0_N@Z
97	00894500	?CreateCreatureOnEntity@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABV2@0@Z
98	0089f4a0	?TurnCreatureInto@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z
99	006e7d30	?SetCreatureCreationDelayFrames@CGameScriptInterface@@UAEXJ@Z
100	006e7d40	?ResetCreatureCreationDelayFrames@CGameScriptInterface@@UAEXXZ
101	00894950	?CreateObject@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABVC3DVector@@M0@Z
102	00894820	?CreateObject@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@ABVC3DVector@@0@Z
