#target_addr	target_old	donor_name	similarity	significance	applied
8a3d20	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	0.6954578038854529	69.60589440395377	true
8a4560	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a41b0	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	0.6773250700480323	67.54007353176344	true
8a4840	?GetAction@CGameScriptInterface@@UAE?AVCCharString@@VCScriptThing@@@Z	?GetAction@CGameScriptInterface@@UAE?AVCCharString@@VCScriptThing@@@Z	0.6975166614395716	61.66215052467983	true
8a3a60	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	0.6962787210821394	73.61040072222472	true
8a4730	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	0.6773250700480323	67.54007353176344	true
8a3fd0	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	0.6962787210821394	73.61040072222472	true
8a6390	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a4da0	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a5050	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	?SetActionFrequency@CGameScriptInterface@@UAEXVCScriptThing@@J@Z	0.6954578038854529	69.60589440395377	true
8a4ae0	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	0.6962787210821394	73.61040072222472	true
8a5890	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a5b50	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	?GetAllowedToFollow@CGameScriptInterface@@UAE_NVCScriptThing@@@Z	0.6877206566020455	70.54764431221854	true
8a55c0	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	?GetCombatNearbyBreakOffRange@CGameScriptInterface@@UAEMVCScriptThing@@@Z	0.6962787210821394	73.61040072222472	true
