# class(module)	fnCount
CTCCameraPointGeneralCase	5
CTCProjectileTrap	5
CTCMoneyReceiver	5
CTCWaterWader	5
CTCTavernJug	5
CTCDrunkenness	5
CTCShotDefinitionTearInGround	5
CTCAICreatureWillPowerIndicator	5
CTCAmbientBird	5
CTCFlashOnHit	5
CTCDeadShotInThingTracker	5
CTCObstacle	5
CTCSingleUserActionPoints	5
CTCLifeTimer	5
CAIStateGroup_MinionSitOnSeatBase	5
CTCActionUseTorch	5
CTCCarriedActionUseFish	5
CTCCarriedActionUseTrophy	5
CTCExpression	5
CTCCarriedActionUseFishingRod	5
CTCCarriedActionUseSpade	5
CTCResurrectionItem	5
CTCCarriedActionUseRead	5
CTCShotDefinitionNymphFun	5
CTCActivationReceptorDoor	5
CTCActivationReceptorRelay	5
CTCCreatureItemLevitationBase	5
CTCTargetingSpirit	5
CCreatureAction_ActivateQuest	5
CCreatureAction_PerformExpressionExtended	5
CReactionFrequencyTraits_LinearTime	5
CEngineTextureMorphSet	5
CWoundMorphs	5
CParticleEffect	5
CListArrow	5
CScrollBarOutside	5
CAnimComponentFollowingOnAnim	5
CInputTypeMouseButtonEvent	5
CDrawBase	5
CMultiStatBar	5
CAutoPickupBar	5
CDrawPerceivers	5
CInputProcessInventoryBase	5
CInputProcessInventoryQuestsScreen	5
CInputProcessCombat	5
CInputProcessJumpingAndRolling	5
CCreatureAction_GenericFireProjectileWeapon	5
CProng	5
CCreatureAction_NymphGetHit	5
CCreatureAction_SummonerFlameSlice	5
CGameScriptThingManager	5
CActionTalkToThing	5
CActionFollowCreature	5
CModeCreatureIsProjectile	5
CModeScorpionKingExhausted	5
CModeUnderground	5
CModeScreamerAggressive	5
CModeDrained	5
CModeDragonGetHit	5
CModeDragonHover	5
CModeIntangible	5
CModeDazed	5
CModeGuildmasterPowerUpSpeed	5
CModeGuildmasterPowerUpHeal	5
CModeDragonFlying	5
CCreatureAction_RiseUp	5
CScriptModuleTransitionBetweenPoints	5
CScriptModuleFOVZoom	5
CScriptModuleSpline	5
CThingScriptUIDReplacer	5
CCombatAction_GenericStrikeResponseKnockdown	5
CCombatAction_KickThingOnGround	5
CCreatureAction_StartBlocking	5
CCreatureActionHeroJump	5
CStringAndCage	5
CEditInputProcessTracks	5
CEditRiver	5
CBlendedEnvironmentTheme	5
CCombatSequence_ScorpionLungeAttack	5
CCombatSequence_TrollOpeningGroundPound	5
CCombatSequence_BattleCharge	5
CCombatSequence_WillLightning	5
CCombatSequence_WillEnflame	5
CCombatSequence_WillForcePush	5
CCombatSequence_WillForcePushLongRange	5
CCombatSequence_WillPhysicalShield	5
CCombatSequence_WillPhysicalShieldNonMelee	5
CCreatureAction_UnsheatheWeapons	5
CCreatureAction_LeapLong	5
CCreatureAction_DragonFlight	5
CCreatureAction_JackFloatUp	5
CCreatureAction_TrollThrowProjectile	5
CCreatureAction_BanditKingLunge	5
CAIStateGroup_BirdGroundWander	5
CAIStateGroup_GazeAtHome	5
CAIStateGroup_MinionWorkInInn	5
CAIStateGroup_BanditGossip	5
CAIStateGroup_MinionReactToAlert	5
CAIStateGroup_KidWanderNearKids	5
CAIStateGroup_ThrowLogsOnFire	5
CAIStateGroup_CleanHouse	5
CAIStateGroup_MinionHawkingFromStall	5
CAIStateGroup_WifeGiveYouGift	5
CAIStateGroup_OpenAndCloseShop	5
CAIStateGroup_MinionGuardReactToBribe	5
CAIStateGroup_MinionCuriosity	5
CAIStateGroup_MinionFaceHero	5
CAIStateGroup_MinionReactToCorpse	5
CAIStateGroup_MinionReactToUnconsciousPerson	5
CAIStateGroup_MinionSitOnSeat	5
CAIStateGroup_NonVillageGuardPatrol	5
CAIStateGroup_VillageTaskTorch	5
CAIStateGroup_VillageTaskHorn	5
CAIStateGroup_KidWatchHopscotch	5
CAIStateGroup_KidReactToBlockage	5
CAIStateGroup_BalverineCornered	5
CAIStateGroup_MazeTutorialBattle	5
CAIStateGroup_MazeTutorialBattleTeleport	5
CAIStateGroup_MazeTutorialBattleUseShield	5
CAIStateGroup_BriarRoseWillUse	5
CAIStateGroup_ReactToDeadLeader	5
CAIStateGroup_BoastingCrowdMember	5
CAIStateGroup_BanditKingLunge	5
CAIStateGroup_IceTrollPoundGroundAttack	5
CAIStateGroup_IceTrollIcicleAssault	5
CAIStateGroup_SleepOnFloor	5
CAIStateGroup_MinionSitOutside	5
CAIStateGroup_SummonerLightningAttack	5
CAIStateGroup_SummonerCharge	5
CAIStateGroup_CreatureFindCover	5
CCreatureAction_KrakenLowAttackInto	5
CAIStateGroup_MinionBehaviourCrowdBase	5
CEnginePrimitiveAttachmentManager	5
CEngineInternalPrimitiveRepeatedStaticMesh	5
CEnginePrimitiveManagerParticleSpriteTrailGroup	5
CEnginePrimitiveManagerParticleLineGroup	5
CEnginePrimitiveChangerManager	5
CEnginePrimitiveGroupManager	5
CEnginePrimitiveManagerGameMeshes	5
CEnginePrimitiveManagerText	5
CEnginePrimitiveManagerLines	5
CEnginePrimitiveManagerSpriteTrails	5
CEnginePrimitiveManagerWeaponTrails	5
CEnginePrimitive2DViewportManager	5
CLocalDetailPrimitiveMesh	5
CPSCBase	5
CBufferedFileDataOutputStream	5
CMemoryDataInputStream	5
CCompressedMemoryDataInputStream	5
CTextEntry	5
CBankFileEntryUpdateData	5
CFontManager	5
CData	5
CMeshData	5
CResourceBank	5
CXBConfig	5
CAStarState	5
NBBBMaths	5
CBBBClientUser	5
CWaveFile	5
CGuiWindowMenuPane	5
COptimisedMesh	5
CRuntimeScriptedEntityPersist	5
CSecretPassageGraveyardKeeper	5
CBCGameMaster	5
CQ_BowerstoneTownLifeIntroScript	5
CQ_HeroSoulsScript	5
CQ_GuildTrainingWillScript	5
CQ_GuildTrainingWoodsDepartureScript	5
CHTG_Guard	5
CFishermansWife	5
CGranny	5
CFadeinSummoner	5
CMinionEscort	5
CMagicBarrier	5
CQ_PrisonWardenGameScript	5
CVictim	5
CDarkwoodTrader	5
CQS_ScytheInfoScript	5
CQS_GuardianTrophyDealerInfoScript	5
CAS_Trickster	5
CAC_Owner	5
CBordelloLady	5
CBordelloClient	5
CV_BeggarAndChildScript	5
CDF_ThreeSuits	5
CV_GuildMasterScript	5
CPersonalScript_AardvarkScript	5
CM_HiddenBooty	5
CLostTraderBrother	5
CV_MazeResearchScript	5
CManInLove	5
CMansLover	5
CIngredientOwner	5
CV_TrophyDealerScript	5
CCS_OakValeRevisitedScript	5
CExpression_FishScript	5
CGlobal_ToggleTimeDisplayScript	5
CTestTheInventoryScript	5
CPersonalScript_EmptyScript	5
CDummy	5
CGame	4
CConsoleVariable	4
CConsoleCommandBase	4
CFixedDolly	4
CFadeInFadeOutBase	4
CDefString	4
CFontBank	4
CThingCreatureDef	4
CContextSensitiveItemDef	4
CThingSwitchDef	4
CMeleeCombatAbilityDef	4
CMessageEventManager	4
CGameJoystickManager	4
CActiveQuest	4
CConversationAttitude	4
CTCSimpleAppearanceMorph	4
CTCUndeadSoul	4
CTCJackShield	4
CTCJackPillar	4
CTCWeatherVane	4
CTCThingUIDDummyForSerialisation	4
CTCDNone	4
CTCTimeAppearanceFade	4
CTCHeroGuide	4
CTCTavern	4
CTCShotDefinitionThrow	4
CTCHitOnCollision	4
CTCGold	4
CClockDef	4
CTCElectrocuteOnTouch	4
CTCSleep	4
CTCExclusiveUse	4
CTCCarriedActionUseExpression	4
CTCInterestingToVillagers	4
CTCDiceGame	4
CTCShotDefinitionProjectile	4
CTCShotDefinitionProjectilePredictive	4
CTCShotDefinitionForcePushBall	4
CTCShotDefinitionFireballSpell	4
CTCSoundAtmosphereVillage	4
CVillageDef	4
CTCActivationReceptorChest	4
CTCCreatureItemLevitationNymph	4
CTCGatherPointBuilding	4
CFlammableDef	4
CActionEventTriggerParticle	4
CActionEventCameraShake	4
CActionEventSound	4
CActionEventShot	4
CActionEventExplosion	4
CActionEventAddObject	4
CActionEventRemoveObject	4
CCreatureAction_OpenChest	4
CCreatureAction_UseLamp	4
CCreatureAction_ShowTrophy	4
CCreatureAction_Drink	4
CReactionFrequencyTraits_PeriodicFrequency	4
CReactionFrequencyTraits_ControlledCount	4
CFirePoint	4
CAIStateGroup_Freeze	4
CScrollingComponent	4
CSwappingStateComponent	4
CFrontEndScreen	4
CDraggableInto	4
CSnapToPoint	4
CBaseIntelligentPointer	4
CInputTypeKeyboardKeyEvent	4
CViewBase	4
CDrawMeleeActionButtonEffects	4
CDrawNPCName	4
CCombatSequence_TrollDoubleSwipe	4
CCombatSequence_BanditBoast	4
CInputProcessMain	4
CInputProcessZTarget	4
CInputProcessQuickAccessItems	4
CInputProcessControlSpirit	4
CFactionManager	4
CLevelLoader	4
CObject	4
CCreatureAction_NymphGetHitDie	4
CActionSummonerLightningAttackTarget	4
CActionMoveTo	4
CGuiVarTransferFloat	4
CGuiVarTransferSLONG	4
CGuiVarTransferULONG	4
CGuiVarTransferBool	4
CGuiVarTransferString	4
CGuiVarTransferStringList	4
CGuiVarTransferDefIndex	4
CGuiVarTransferDefIndexList	4
CGuiVarTransferSymbolVal	4
CGuiVarTransferExclusiveOptions	4
CRegionConnectionGraph	4
CMarkerInfo	4
CModeSleepBed	4
CMoveOnCylinder	4
CModeJackOfBladesFloat	4
CModeDragonLanded	4
CModeCrouch	4
CModeJackOfBladesDeath	4
CModeChargeForcePush	4
CModeDragonRearUp	4
CModeHitByEpicSpell	4
CModeGuildmasterPowerUpShield	4
CModeDragonStrafe	4
CModeWalkInAllDirections	4
CModeHoverNormal	4
CSkeletalMorphs	4
CTextureMorphs	4
CParticleMorphs	4
CModeSitBase	4
CModeSummonerSummon	4
CCreatureAction_ScorpionTailPlunge	4
CCreatureAction_ScorpionSummon	4
CCreatureAction_ForcePushOutOf	4
CModeBriarRoseTeleportIntangible	4
CCreatureAction_GetUpFromSitting	4
CCreatureAction_StabbedToDeath	4
CCombatAction_StabThing	4
CCreatureAction_Die	4
CVirtualKeyboard	4
CCreatureAction_BlockRespond	4
CExpressionSet	4
CEditInputProcessRegion	4
CAttachingThingsDialog	4
CEditRiverWaypoint	4
CEditTransactionComposite	4
CInitialQuestsDialog	4
CResolveDialog	4
CMapVisDialog	4
CSceneDialog	4
CEditWorldBackup	4
CEditLevelBackup	4
CCombatSequence_GenericLeader	4
CCombatSequence_BanditUnblockableAttack	4
CCombatSequence_TrollRockPursue	4
CCombatSequence_TrollRockAdvance	4
CCombatSequenceWhisperAttackBigCombo	4
CCombatSequenceWhisperAttack360	4
CCreatureAction_GoUnderground	4
CCreatureAction_CastWillEnflameSpell	4
CCreatureAction_FinishFireballSpell	4
CCreatureAction_ScreamerDie	4
CCreatureAction_WhisperSommersaultForward	4
CCombatAction_StrikeResponseJackOfBladesIntoRush	4
CCreatureAction_WaspQueenDie	4
CCreatureAction_TrollProjectileAttack	4
CCreatureAction_TrollGroundPound	4
CCreatureAction_BanditKingStuck	4
CCreatureAction_SummonerLightningOrbInto	4
CCreatureAction_SummonerLightningOrbOutOf	4
CCreatureAction_SummonerLightningOrbOutOfGroundSmash	4
CCreatureAction_BalverineCorneredJumpIntoSky	4
CCreatureAction_BalverineDropInFromSky	4
CCreatureAction_CastSkillMultiArrow	4
CCreatureAction_TentacleStrikeLoop	4
CCreatureAction_CastStrengthMultiStrike	4
CCreatureAction_ReleaseStrengthBerserk	4
NPhysicsHelpers	4
NHitLocationCodelets	4
CAIStateGroup_GazeOutside	4
CAIStateGroup_GazeAtWork	4
CAIStateGroup_MinionKidCalledToMother	4
CAIStateGroup_MinionGuardHeardYellForHelp	4
CAIStateGroup_MinionGuardReactToBodyFoundMessage	4
CAIStateGroup_ChickenBeg	4
CAIStateGroup_BirdFlyToFood	4
CAIStateGroup_HandyMan	4
CAIStateGroup_NymphAttack	4
CAIStateGroup_CreatureIdleUnderground	4
CAIStateGroup_SetupWares	4
CAIStateGroup_BanditPlot	4
CAIStateGroup_SkillPractice	4
CAIStateGroup_MinionWander	4
CAIStateGroup_MinionFindPersonalSpace	4
CAIStateGroup_MinionMotherProtectFamily	4
CAIStateGroup_MeleeCombatNearbyAttackWhenVeryClose	4
CAIStateGroup_TellStory	4
CAIStateGroup_StayNearFoodHall	4
CAIStateGroup_FollowPlayer	4
CAIStateGroup_BalverineJumpAtFleeingEnemy	4
CAIStateGroup_NymphFloatAround	4
CAIStateGroup_MinionReactToBurglary	4
CAIStateGroup_HoverKeepInArea	4
CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets	4
CAIStateGroup_IceTrollIcicleAttack	4
CAIStateGroup_EatAtTavern	4
CAIStateGroup_MazeTeleport	4
CAIStateGroup_JackOfBladesStage3	4
CEditTransactionSetEngineBlend	4
CToolbar	4
CAIStateGroup_FlyingThingBase	4
CAIStateGroup_MoveGoodsBase	4
CCreatureAction_KrakenLowAttackLoop	4
CCreatureAction_KrakenHighAttackLoop	4
CLandscapePatchTesselator	4
CGraphicFrame	4
CEnginePrimitiveSimulationInfo	4
CSubPatchTreeLODLockElement	4
CEngineTexturePalette	4
CEnginePrimitiveManager	4
CEnginePrimitiveManager2DStaticMeshes	4
CEngineInternalPrimitiveRepeatedZSprite	4
CEnginePrimitiveManagerWeatherMask	4
CEngineInternalPrimitiveDecal	4
CEnginePrimitiveManagerParticleMeshGroup	4
CEnginePrimitiveManager2DAnimatedMeshes	4
CQuadTree	4
CEnginePrimitiveManager2DParticleGroup	4
CSeaQuadElement	4
CEngineInternalPrimitiveMorphInfo	4
CParticleEmitterInfo	4
CEmitterData	4
CFileDataInputStream	4
CFileDataOutputStream	4
CActiveFile	4
CDataBankTextEntry	4
CDataBankGroupEntry	4
CGroupEntry	4
CBankFileAsyncEntry	4
CGameEventPackage	4
CScratchBuffer	4
CVsyncCallbackTimer	4
CRoughFrameCounter	4
CLipSyncSampleData	4
CANavQuadTreeNode	4
CSteeringAgent	4
CNavBlockedQuadTreeNode	4
CPerlinNoise	4
CColourConverter	4
CVertexBufferBase	4
CTriangleInfo	4
CQuaternion	4
CStreamingFontDataBankEntry	4
CInkeyBuffer	4
CChecksumCacheFile	4
CFontDataBankEntry	4
CIPhysicsFacesSegmentBase	4
CVertexGroupBlockList	4
CIndexList	4
CScriptDefinitionManager	4
CTargetForKey	4
CEndGameBarrier	4
CQ_ArenaHoldingScriptScript	4
CSafeTrader	4
CEM_Sheriff	4
CLadyGreyWifeManagerScript	4
COracleTablet	4
CNecropolisGhost	4
CCampHostageDoor	4
CCampHostageGuard	4
CBanditForger	4
CQ_BanditCampHoldingScriptScript	4
CBH_GangLeader	4
CKG_Sheriff	4
CImprisonedBanditLeader	4
CDisplacedTrader	4
CDragon	4
CDBSummoner	4
CAppleGirl	4
CBirdKiller	4
CKillBird	4
CQ_GuildTrainingDepartureScript	4
CQ_GuildTrainingPreMeleeScript	4
CQ_GuildTrainingMeleeScript	4
CQ_GuildTrainingSkillScript	4
CHTE_FreedomFighter	4
CHTG_Prisoner	4
CHTG_Executioner	4
CHS_Screamer	4
CGuardInWoods	4
CGhostFisherman	4
CHobbeTorrent	4
CJames	4
CBanditSacrifice	4
CMC_Minion	4
CMapKeeper	4
CBalverineFightingGuard	4
CMinionFieldGenerator	4
CNOVI_Villager	4
CNOVI_Bully	4
CNOVI_TeddyGirl	4
COakValeBanditRaidBandit	4
CArtefact	4
CPrisoner	4
CTortureDoorCourtyard	4
CVictimsFather	4
CRansommer	4
CQ_RansomVictimChiefsHouseScript	4
CSummonerAttacker	4
COracleGamesmaster	4
CTraderToRescue	4
CDarkwoodRockTroll	4
CEndTrader	4
CUndeadRisingZombieAttacker	4
CUndeadRisingZombieAttackerBoss	4
CWaspHelper	4
CKG_Chief	4
CSickChildsSister	4
CTraderToEscort	4
CQS_GuardianSisterInfoScript	4
CAS_Buddy	4
CMagicman	4
CV_BanditCampPathScript	4
CBanditLeader	4
CBB_BeardyBaldyMan	4
CV_DemonDoorsScript	4
CFisherman	4
CFishermanWasp	4
CBountyHuntActivationChecker	4
CFisticuffsClubRing	4
CFisticuffsMember	4
CV_HiddenBootyScript	4
CHHUndead	4
CKGG_VillagerOutside	4
CMurderTwistBrother	4
CMurderTwistBrotherFriend	4
CLadyGrey	4
CVO_OracleMarker	4
CSecretWhisperingMan	4
CSecretWhisperingFriend	4
CRandomPopulationCreature	4
CWitch	4
CV_StatueMasterScript	4
CTB_Bard	4
CGlobal_WatchForHeroDeathScript	4
CExpression_FollowScript	4
CBurningPerson	4
CEmptyScript	4
CTestPos	4
CVillager	4
CHeroTurningDebuggerScript	4
CBenTestScriptsScript	4
CTonyTestScriptsScript	4
CShowTargetedThingHealthScript	4
CAT_ConvoySpy	4
CAT_Sentry	4
CSpawnedFuncBase	4
CCRC	3
CYesNo	3
COk	3
CControlsDef	3
CUIIconsDef	3
CUIMiscThingsDef	3
CFrontEndDef	3
CUIDef	3
CConfigOptionsDefaultsDef	3
CCreatureAction_GetInBed	3
CScreenMessage	3
CHeroMarriageDef	3
COpinionReactionManagerDef	3
CBonusItemDef	3
CHeroTitleDef	3
CKrakenTentacleDef	3
CActionUseDef	3
CSmashableDef	3
CVillagePeopleDef	3
CTavernDef	3
CThingNoiseDef	3
CThingHolySiteDef	3
CSpecialAbilitiesMultiArrowDef	3
CTavernGameSpotTheAdditionDef	3
CCameraModeDef	3
CTargetingDef	3
CSpecialAbilitiesTurncoatSpellDef	3
CVillagerInteractionsDef	3
COpinionSourceDef	3
CSpecialAbilitiesBattleChargeDef	3
CSpecialAbilitiesBerserkDef	3
CSpecialAbilitiesBulletTimeDef	3
CSpecialAbilitiesEnflameDef	3
CBrainDef	3
CSpecialAbilitiesLightningSpellDef	3
CSpecialAbilitiesDrunkennessDef	3
CSoundThemeDef	3
CSpecialAbilitiesUnholyPowerDef	3
CSoundDef	3
CHeroCombatDef	3
CObjectAugmentationsDef	3
CThingObjectDef	3
CCreatureAbilityDef	3
CEngineThemeGroupDef	3
CInventoryDef	3
CCombatTypeDef	3
CCreatureGenerationFamilyDef	3
CHeroAbilityDef	3
CHeroStatsDef	3
CObjectFamilyDef	3
CArmourDef	3
CGlobalDef	3
CPlayerGuiDef	3
CUILocaleGraphicsDef	3
CSpecialEffectsDef	3
CParticleEnvironmentInteraction	3
CMapInfo	3
CSpotLightDef	3
CTCDiscovery	3
CTCCameraPointFixedDolly	3
CTCCameraPointDead	3
CTCBandit	3
CTCBlacksmiths	3
CHeroCentreDef	3
CAIScratchpadDef	3
CTCCombatLeader	3
COverheadDisplayDef	3
CTavernTableDef	3
CTCTrespassable	3
CTCShotDefinitionThrowPredictive	3
CTCShotDefinitionDragonFireball	3
CTCGeneratesExperienceOnKilling	3
CExpressionSubDef	3
CTCTavernGameMaster	3
CTCFish	3
CTCFishingRod	3
CTCDestroyThingOnActionFinish	3
CTCDestroyThingOnSpecialAbilityFinish	3
CTCAbsorbHits	3
CVillageMemberDef	3
CBuyHouseDef	3
CTCCreatedEntity	3
CTCGeneratedCreature	3
CTCGossip	3
CHeroSpecialMovementDef	3
CTCActionUseSign	3
CTCActionUsePickUp	3
CTCActionUsePickUpGenericBox	3
CTCActionUsePutInInventory	3
CTCActionUseMapTable	3
CTCActionUseSearch	3
CTCActionUseBlowHorn	3
CTCActionUseWindow	3
CTCActionUseAcceptBoast	3
CTCActionUseStartExtrapolationMorph	3
CTCActionUseKickChicken	3
CTCCarriedActionUseLamp	3
CTCCarriedActionUseDrop	3
CTCCarriedActionUseDropGenericBox	3
CTCCarriedActionUseGive	3
CTCCarriedActionUseGiveBeer	3
CTCCarriedActionUseGoldBag	3
CTCCarriedActionUseShow	3
CTCCarriedActionUseFood	3
CTCCarriedActionUsePotion	3
CTCCarriedActionUseWallMount	3
CTCActionUseSwitch	3
CTCActionUseChest	3
CTCSmashableBarrier	3
CTCCarriedActionUseActivateQuest	3
CTCActionUseActivateQuest	3
CTCActionUseWallMount	3
CTCPlot	3
CTCCarriedActionUseAbility	3
CTCSmashableWindow	3
CTCShotDefinitionSpreadShotProjectile	3
CTCSoundAtmosphere	3
CTCCreatureItemLevitationHero	3
CTavernGameDef	3
CTavernGameShoveHaPennyDef	3
CShopDef	3
CModeBerserk	3
CCreatureAction_GetOutOfBed	3
CCreatureAction_GiveItemToThing	3
CCreatureAction_PlayIntoLoopOutOfAnimation	3
CCreatureAction_PickUpGenericBox	3
CCreatureAction_DropWeapon	3
CCreatureAction_AlertAllNearbyToThing	3
CCombatAction_GenericResponseToDecapitation	3
CCombatAction_GenericResponseToExplosion	3
CReactionMatch_SecondaryAxisMRShifted	3
CReactionMatch_SecondaryAxisCentredMRShifted	3
CReactionMatch_AsymmetricPyramid	3
CReactionMatch_MRPyramid	3
CReactionMatch_Sphere	3
CComponentContainer	3
CTextContainer	3
SExpSpendUndo	3
CInputTypeXboxPadLeftStickEvent	3
CInputTypeXboxPadRightStickEvent	3
CInputTypeMouseMovementEvent	3
CInputTypeMouseWheelMovementEvent	3
CInputTypeMouseWheelMovementUpEvent	3
CInputTypeMouseWheelMovementDownEvent	3
CDisplayViewManager	3
CDrawAutoPickups	3
CCrimeStatBar	3
CDrawStatUpdates	3
CDrawDamage	3
CQuestInfoElementMiniGameBar	3
CDraw2DText	3
CPhysicalPrimitiveInit	3
CInputProcessTargetLockCycleTargets	3
CInputProcessTargetLockRightStickTargetSelect	3
CInputProcessInventory	3
CInputProcessInventoryClothing	3
CInputProcessInventoryWeapons	3
CInputProcessHeroAbilitiesScreen	3
CInputProcessInventoryMapScreen	3
CInputProcessInventoryExperienceScreen	3
CInputProcessInventoryTradeScreen	3
CInputProcessInventoryStatsScreen	3
CInputProcessControlFreeCamera	3
CInputProcessControlCreatureRightStick	3
CInputProcessInGameMenu	3
CInputProcessPhotojournalCapture	3
CCreatureAction_DragonStrafeOutOf	3
CView3DBase	3
CCreatureAction_SheatheItemToInventory_ForEnflame	3
CCreatureAction_SheatheItemToInventory_ForDivineWrath	3
CCreatureAction_SheatheItemToInventory_ForUnholyPower	3
CUndoBufferBase	3
CSkeletalMorphResourceManager	3
CCreatureAction_LeapBack	3
CCreatureAction_GenericAimProjectileWeapon	3
CCreatureAction_CastWillDrainLifeSpell	3
CCreatureAction_ScreamerDrainAttack	3
CCreatureAction_ScorpionKingDeath	3
CCreatureAction_WaspQueenDeath	3
CCreatureAction_RockTrollFallToDeath	3
CCreatureAction_InterruptableMidAttack	3
CCreatureAction_HobbeSpellcasterAim	3
CCreatureAction_SummonerDie	3
CActionLeadCreature	3
CActionPlayAnimation	3
CActionPlayCombatAnimation	3
CActionDoCreatureAction	3
CActionOverheadTalkToThing	3
CActionFireProjectileWeapon	3
CCreatureAction_ReloadMissileWeapon	3
CRegionConnectionNode	3
CModeCarryingWeaponStand	3
CModeWading	3
CModeKnockedDown	3
CModeForcePushed	3
CModeSummonerDie	3
COpenCloseHelper	3
CModeOutOfActionBase	3
CModeExplosiveForcePushed	3
CModeScreamerSuperAttack	3
CModeSummonerLightningOrb	3
CCreatureAction_ScorpionRecover	3
CCombatAction_Guildmaster_HealFollowersRelease	3
CCombatAction_Guildmaster_ShieldFollowersRelease	3
CCombatAction_Guildmaster_SpeedUpFollowersRelease	3
CModeBriarRoseTeleportInvulnerable	3
CCreatureAction_BeStunned	3
CCreatureAction_SpiritReturnToHero	3
CCreatureActionHero180RunningTurn	3
CSACCombat	3
CSimplePointBase	3
CFirstPerson	3
CEditInputProcessEditShapes	3
CEditTransactionBase	3
CScriptBrushDialog	3
CEditMapBrush	3
CBrushLibraryDialog	3
CScreenFilterProcess	3
CCombatSequence_GenericRangedAttack	3
CCombatSequence_NonInterruptableBoxStrafe	3
CCombatSequence_BanditAdvanceFar	3
CCombatSequence_BanditAttackFar	3
CCombatSequence_BanditAttackMiddle	3
CCombatSequence_BanditAttackSide	3
CCombatSequence_BanditAttackNear	3
CCombatSequence_BanditIdleNear	3
CCombatSequence_BanditIdleMiddle	3
CCombatSequence_BanditKingAttack	3
CCombatSequence_BanditKingAdvance	3
CCombatSequence_BanditKingBackOff	3
CCombatSequence_BanditKingSpinAround	3
CCombatSequence_FodderMainAttack	3
CCombatSequence_FodderUnblockableMainAttack	3
CCombatSequence_FodderSecondaryAttack	3
CCombatSequence_FodderCombatIdle	3
CCombatSequence_KingScorpionTailPlunge	3
CCombatSequence_TrollDoubleSwipeNonMelee	3
CCombatSequence_TrollProjectileAttack	3
CCombatSequence_TrollBurrowPursue	3
CCombatSequence_TrollBurrowPursueNoZone	3
CCombatSequence_TrollRockPursueNoZone	3
CCombatSequence_TrollRockThrowRock	3
CCombatSequence_TrollRockIdle	3
CCombatSequence_TrollRockShuffleBack	3
CCombatSequence_VillagerAttack	3
CCombatSequence_VillagerBackOff	3
CCombatSequence_VillagerStepIn	3
CCombatSequence_VillagerAdvance	3
CCombatSequence_VillagerCombo	3
CCombatSequence_VillagerComboUnblockable	3
CCombatSequence_VillagerNearAttack	3
CCombatSequenceWhisperLunge	3
CCombatSequenceWhisperAdvance	3
CCombatSequenceWhisperStrikeStrafeBack	3
CCombatSequenceWhisperTooCloseLeapBack	3
CCombatSequenceWhisperBoast	3
CCombatSequenceWhisperSortYourselfOut	3
CCombatSequenceWhisperStrafeAround	3
CCombatSequenceWhisperIdles	3
CCombatSequenceJacksCombo	3
CCombatSequence2StrikeCombo	3
CCombatSequenceUnblockableFacing	3
CCombatSequenceNonInterruptable2StrikeCombo	3
CCreatureAction_SheatheWeapons	3
CCreatureAction_PlayCombatAnimation	3
CCreatureAction_FinishGhostSwordSpell	3
CCreatureAction_CastPhysicalShieldSpell	3
CCreatureAction_TeleportOut	3
CCreatureAction_GenericLoadProjectileWeapon	3
CCombatAction_WillForcePushInto	3
CCombatAction_WillShieldInto	3
CCombatAction_WillEnflameInto	3
CCombatAction_WillHealInto	3
CCreatureAction_WhisperSommersaultBackward	3
CCreatureAction_BriarRoseForcePush	3
CCreatureAction_JackScream	3
CCreatureAction_JackFall	3
CCreatureAction_WaspQueenPrimaryAttack	3
CCreatureAction_WaspQueenLashOutAttack	3
CCreatureAction_WaspQueenDiveAttack	3
CCreatureAction_ScorpionUnblockableLeftTurnAttack	3
CCreatureAction_ScorpionUnblockableRightTurnAttack	3
CCreatureAction_ScorpionChargeInto	3
CCreatureAction_ScorpionCharge	3
CCreatureAction_TrollWhackGroundBase	3
CCreatureAction_RockTrollShakeAndExplode	3
CCreatureAction_IceTrollIcicleAttack	3
CCreatureAction_TrollAngryGroundPound	3
CCreatureAction_BanditKingUnstuck	3
CCreatureAction_BanditKingStuckGetHit	3
CCreatureAction_SummonerUnsheatheStrike	3
CCreatureAction_BalverineLungeAttack	3
CDarkwoodAssassinSpawn	3
CCreatureAction_TentacleRise	3
CCreatureAction_TentacleStrikeInto	3
CCreatureAction_CastStrengthMultiStrikeProper	3
CCreatureAction_UndeadReturnToEarth	3
CCard	3
CCreatureAction_DragonRearUpFull	3
CCreatureAction_SnapDragon	3
CCreatureAction_SnapDragonFast	3
CCreatureAction_SnapDragonInto	3
CCreatureAction_DragonRoar	3
CCreatureAction_DragonSwoop	3
CCreatureAction_DragonHoverOutOf	3
CCreatureAction_DragonLand	3
CCreatureAction_DragonTakeOffIntoFlying	3
CAIStateGroup_WanderAroundInitialPos	3
CAIStateGroup_ChickenPanic	3
CAIStateGroup_BirdStartled	3
CAIStateGroup_StayNearSchool	3
CAIStateGroup_CleanWork	3
CAIStateGroup_MinionReactToApology	3
CAIStateGroup_MinionLeaveRegion	3
CAIStateGroup_MinionMotherConsoleChild	3
CAIStateGroup_CreatureRangedCombatUseWillShield	3
CAIStateGroup_TestTestTest	3
CAIStateGroup_CreatureGoUnderground	3
CAIStateGroup_BeetleToggleHover	3
CAIStateGroup_MinionWalkToMarker	3
CAIStateGroup_ServeFoodAtTavern	3
CAIStateGroup_KrakenTentacleRise	3
