# class(module)	fnCount
CRedefinerList	18
CHitParameters	18
CEditEngine2DWorldMap	18
CAIStateGroup_CreatureUseCoverBase	18
CEngineScreenEffectDisplacementRenderer	18
CPixelFormat	18
CSymbolMap	18
CProfileManager	18
CCamera	18
CWStringParser	18
CGuiControlComboBox	18
CNavQuadTreeNode	18
CQ_FireHeartScript	18
CQ_HangingTreeEvilScript	18
CV_BeardyBaldyScript	18
CV_FisticuffsClubScript	18
CMemoryFile	17
CTCPhysicsControlled	17
CTCQuestCard	17
CTCCreatureModeManager	17
CTCEnemy	17
CTCGuard	17
CTCTavernGameShoveHaPenny	17
CTCQuickAccessMenu	17
CTCKrakenTentacle	17
CEntityRuntimePersistence	17
COpinionReactionManager	17
CMusicManager	17
CCombatSequenceBase	17
CXMVPlayer	17
CNavNavigableLeafNode	17
CGuiControlScrollBar	17
CV_ExposeMayorScript	17
CAnimationSet	16
CTCCarryable	16
CTCSummonSpell	16
CTCTavernTable	16
CTCFollowed	16
CTCTavernGameCardSorting	16
CTCQuestCompletionUI	16
CTCPhotojournalCapture	16
CThingPhysicalSwitch	16
CEditBox	16
CIconText	16
CKeyRedefiner	16
CEditWorld	16
CMapsAndRegionsDialog	16
CEditInputProcessCopyPaste	16
CAIStateGroup_ApprenticeHero	16
CEngineCamera	16
CBankFileAsync	16
CEngineInternalPrimitiveAnimatedMesh	16
CEngineOcclusionManager	16
CEngineInternalPrimitiveChanger	16
CObjectCacheGroupCollection	16
CParticleEmitterManager	16
CPSCLight	16
CLipSyncDataBank	16
CGuiControlListBox	16
CBriarRose	16
CQ_MinionCampScript	16
CV_ArcheryCompetitionScript	16
CV_BordelloScript	16
CEngineInternalPrimitiveBase	15
CProgressDisplay	15
CTCPhysicsNavigator	15
CTCActionUseScriptedHook	15
CTCDummyVillager	15
CTCGhostSword	15
CTCFireballSpell	15
CTCTargetingBase	15
CTCCreatureGroup	15
CTCHitLocations	15
CRegion	15
CSpellContainerList	15
CHoverable	15
CCombatRing	15
CActionTalkBase	15
CAnimationEventsDialog	15
CThingDialog	15
CAIStateGroup_MeleeCombatNearby2	15
CAIStateGroup_JackOfBladesBase	15
CEngineTreeFilerBase	15
CBankFileAsyncData	15
CGPUScratchBufferTextureManager	15
CResourceList	15
CTextureManager	15
CWADFile	15
CCRCSymbolMap	15
CVideoSys	15
CStreamingFontDataBank	15
CGuiControlListBoxPane	15
CQ_GuildTrainingScript	15
CV_TempleOfLightScript	15
CNetworkClient	14
CTCRandomAppearanceMorph	14
CTCContainerRewardHero	14
CTCChest	14
CTCCameraPointScripted	14
CTCEmoteIcon	14
CTCCreatureGroupBoastingCrowd	14
CTCMultiStrike	14
CTCCreatureFlyOnSpline	14
CTCCreatureFlyInCircles	14
CTCWallMountEffects	14
CTCTargeted	14
CObstacleNavigatorExternalInterface	14
CTCAnimatingObject	14
CTCThingOwner	14
CThingDeadCreature	14
CThingSoundEmitter	14
CSlider	14
CDraggable	14
CDrawMiniMap	14
CJoystickDX	14
CCombatWheel	14
CTCDegradableBase	14
NCreatureAI	14
CLandscapeLayerMesh	14
CEnginePrimitiveManagerRepeatedStaticMeshes	14
CLocalDetailCacheMap	14
CPSCRenderSprite	14
CPSCRenderMesh	14
CSplinePosParamData	14
CGuiControlNumber	14
CTriangleStripifier2	14
CRangeCompressor	14
CShaderDataBank	14
