address	name	named	size	thunk	ok	error
00405900	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
00405940	TransferBinaryIn	1	144	0	1	
00405a60	Transfer<signed_char>	1	27	0	1	
00405ba0	FUN_00405ba0	0	30	0	1	
00405bc0	make_heap<CThing**,CThingCompare_BestForTargeting2>	1	26	0	1	
00405c10	CFourierAnalysis	1	5	0	1	
00405d30	?IsOpen@CMemoryFile@@UBE_NXZ	1	4	0	1	
00405d60	WriteToFile	1	78	0	1	
00405f00	SetSLongValue	1	62	0	1	
00405f40	operator+=	1	37	0	1	
00405fa0	?GetPosition@CDataInputStream@@UBEKXZ	1	4	0	1	
00406070	list<CMessageEvent_const*,std::allocator<CMessageEvent_const*>_>	1	12	0	1	
004060e0	list<CMessageEvent_const*,std::allocator<CMessageEvent_const*>_>	1	12	0	1	
00406350	GetValidProfileName	1	629	0	1	
004065d0	GetAutoSaveFileName	1	23	0	1	
00406610	GetManualSaveFileName	1	120	0	1	
00406690	GetAutoSaveFileName	1	23	0	1	
004066b0	GetAutoSaveCheckPointFileName	1	52	0	1	
004066f0	GetAutoSaveCheckPointFileName	1	52	0	1	
00406730	GetAutoSaveCheckPointFileName	1	52	0	1	
00406770	$E2	1	3	0	1	
00406780	ConvertPathToFullPath	1	44	0	1	
004067b0	AddChildPrimitive	1	6	0	1	
004067c0	IsEnoughSpaceForProfile	1	39	0	1	
004067f0	?OnPreDeviceReset@CUserProfileManager@@MAEXXZ	1	11	0	1	
00406800	?OnPostDeviceReset@CUserProfileManager@@MAE_NXZ	1	3	0	1	
00406820	ConvertFloatToVideoOptionQuality	1	90	0	1	
00406880	GetAnimFilter	1	7	0	1	
00406890	GetMaxRefreshRate	1	51	0	1	
004068d0	ClampVideoOption	1	202	0	1	
004069e0	GetAutoSaveDisplayName	1	149	0	1	
00406a80	GetEmptySlotName	1	88	0	1	
00406ae0	GetManualSaveDisplayName	1	314	0	1	
00406c20	GetAutoSaveDisplayName	1	149	0	1	
00406cc0	CaptureBackBufferForUIBackground	1	204	0	1	
00406d90	ClampResolution	1	84	0	1	
00406df0	Release	1	57	0	1	
00406e30	CreateSaveGame	1	307	0	1	
00406f70	GetAutoSavePathName	1	177	0	1	
00407030	operator()	1	3	0	1	
00407040	DeleteProfile	1	382	0	1	
004071c0	GetDirectoryNameFromProfileName	1	353	0	1	
00407330	IsDivineWrathStrike	1	43	0	1	
00407360	GetCategoryWithIndex	1	16	0	1	
00407370	ApplyValues	1	569	0	1	
004075b0	CaptureBackBufferForUIBackgroundIfNonExistant	1	16	0	1	
004075c0	RenderUIBackground	1	1194	0	1	
00407cd0	RedefineControlPassive	1	310	0	1	
00407e10	GetSaveDisplayNameFromFileName	1	439	0	1	
