# revert map: restores default names if needed
00a0c380	FUN_00a0c380
00ab3810	FUN_00ab3810
00c13620	FUN_00c13620
00451583	FUN_00451583
004b8e40	FUN_004b8e40
004bbf00	FUN_004bbf00
004bd390	FUN_004bd390
00567d60	FUN_00567d60
00618100	FUN_00618100
006b93d0	FUN_006b93d0
0070e8b0	FUN_0070e8b0
007ea2f0	FUN_007ea2f0
0084e810	FUN_0084e810
009bee00	FUN_009bee00
009d5f80	FUN_009d5f80
009d6490	FUN_009d6490
009e51c0	FUN_009e51c0
00bda0d0	FUN_00bda0d0
00c21620	FUN_00c21620
00414e30	FUN_00414e30
004416e0	FUN_004416e0
00492973	FUN_00492973
005003e0	FUN_005003e0
00566ea0	FUN_00566ea0
00616580	FUN_00616580
0065fba4	FUN_0065fba4
006dab90	FUN_006dab90
0076c000	FUN_0076c000
0076c1a0	FUN_0076c1a0
0076fd40	FUN_0076fd40
007e4680	FUN_007e4680
0082a500	FUN_0082a500
008ac200	FUN_008ac200
0098db20	FUN_0098db20
009ab5d0	FUN_009ab5d0
00a141d0	FUN_00a141d0
00a38420	FUN_00a38420
00a61270	FUN_00a61270
00a87090	FUN_00a87090
00c0be20	FUN_00c0be20
00cacaf0	FUN_00cacaf0
00419f50	FUN_00419f50
004316cf	FUN_004316cf
004676ef	FUN_004676ef
0046eabd	FUN_0046eabd
0047c500	FUN_0047c500
0047c6a0	FUN_0047c6a0
004ba7a0	FUN_004ba7a0
004c4890	FUN_004c4890
004c4f70	FUN_004c4f70
004c6960	FUN_004c6960
0051aa00	FUN_0051aa00
005293d0	FUN_005293d0
005348e0	FUN_005348e0
00553a00	FUN_00553a00
00567af0	FUN_00567af0
00568500	FUN_00568500
0056a0a0	FUN_0056a0a0
005e3110	FUN_005e3110
005e9100	FUN_005e9100
00616e10	FUN_00616e10
00616f90	FUN_00616f90
006182f0	FUN_006182f0
006741e0	FUN_006741e0
006bd140	FUN_006bd140
007203a0	FUN_007203a0
00739b00	FUN_00739b00
00756150	FUN_00756150
0076a110	FUN_0076a110
0076b120	FUN_0076b120
00777790	FUN_00777790
00788ffc	FUN_00788ffc
007929a0	FUN_007929a0
00797ca0	FUN_00797ca0
0079e580	FUN_0079e580
007acea0	FUN_007acea0
007acf70	FUN_007acf70
007ae1d0	FUN_007ae1d0
007e9b40	FUN_007e9b40
00801730	FUN_00801730
0082f7b0	FUN_0082f7b0
008843f0	FUN_008843f0
008b2dd0	FUN_008b2dd0
00990830	FUN_00990830
00990a10	FUN_00990a10
009a80b0	FUN_009a80b0
009aaf70	FUN_009aaf70
