address	name	length	bytes
008b4a50	CCombatSequenceWhisperAttackCombo::IsMeleeSequence	3	b001c3
008b4ad0	CCombatSequenceWhisperAttackBigCombo::IsMeleeSequence	3	b001c3
008b4b50	CCombatSequenceWhisperAttack360::IsMeleeSequence	3	b001c3
008b4bd0	CCombatSequenceWhisperStrikeStrafeBack::IsMeleeSequence	3	b001c3
008b4c50	CCombatSequenceWhisperTooCloseLeapBack::IsMeleeSequence	3	b001c3
008b4cd0	CCombatSequenceWhisperBoast::IsBoastSequence	3	b001c3
008b4dc0	CCombatSequenceWhisperStrafeAround::IsInterruptableDueToZoneChange	3	32c0c3
008b4e40	CCombatSequenceWhisperIdles::IsInterruptableDueToZoneChange	3	b001c3
008b4ec0	CCombatSequenceJacksCombo::IsInterruptableDueToZoneChange	3	32c0c3
008b4f40	CCombatSequence2StrikeCombo::IsInterruptableDueToZoneChange	3	32c0c3
008b4fc0	CCombatSequenceUnblockableFacing::IsInterruptableDueToZoneChange	3	32c0c3
008b5040	CCombatSequenceNonInterruptable2StrikeCombo::IsInterruptableDueToZoneChange	3	32c0c3
008b50b0	CCombatSequence_BattleCharge::IsToPreferSequenceWhenValid	3	b001c3
008b50d0	CCombatSequence_BattleCharge::IsInterruptableDueToZoneChange	3	32c0c3
008b5140	CCombatSequence_WillLightning::IsToPreferSequenceWhenValid	3	b001c3
008b5160	CCombatSequence_WillLightning::IsInterruptableDueToZoneChange	3	32c0c3
008b5170	CCombatSequence_WillLightning::IsInterruptable	3	32c0c3
008b5180	CCombatSequence_WillLightning::IsMeleeSequence	3	b001c3
008b51f0	CCombatSequence_WillEnflame::IsToPreferSequenceWhenValid	3	b001c3
008b5210	CCombatSequence_WillEnflame::IsInterruptableDueToZoneChange	3	32c0c3
008b5220	CCombatSequence_WillEnflame::IsInterruptable	3	32c0c3
008b5230	CCombatSequence_WillEnflame::IsToEvadeAllHits	3	b001c3
008b5240	CCombatSequence_WillEnflame::IsMeleeSequence	3	b001c3
008b52b0	CCombatSequence_WillForcePush::IsToPreferSequenceWhenValid	3	b001c3
008b52d0	CCombatSequence_WillForcePush::IsInterruptableDueToZoneChange	3	32c0c3
008b52e0	CCombatSequence_WillForcePush::IsInterruptable	3	32c0c3
008b52f0	CCombatSequence_WillForcePush::IsToEvadeAllHits	3	b001c3
008b5300	CCombatSequence_WillForcePush::IsMeleeSequence	3	b001c3
008b5370	CCombatSequence_WillForcePushLongRange::IsToPreferSequenceWhenValid	3	b001c3
008b5390	CCombatSequence_WillForcePushLongRange::IsInterruptableDueToZoneChange	3	32c0c3
008b53a0	CCombatSequence_WillForcePushLongRange::IsInterruptable	3	32c0c3
008b53b0	CCombatSequence_WillForcePushLongRange::IsToEvadeAllHits	3	b001c3
008b53c0	CCombatSequence_WillForcePushLongRange::IsMeleeSequence	3	b001c3
008b5430	CCombatSequence_WillPhysicalShield::IsToPreferSequenceWhenValid	3	b001c3
008b5450	CCombatSequence_WillPhysicalShield::IsInterruptableDueToZoneChange	3	32c0c3
008b5460	CCombatSequence_WillPhysicalShield::IsInterruptable	3	32c0c3
008b5470	CCombatSequence_WillPhysicalShield::IsMeleeSequence	3	b001c3
008b54e0	CCombatSequence_WillPhysicalShieldNonMelee::IsToPreferSequenceWhenValid	3	b001c3
008b5500	CCombatSequence_WillPhysicalShieldNonMelee::IsInterruptableDueToZoneChange	3	32c0c3
008b5510	CCombatSequence_WillPhysicalShieldNonMelee::IsInterruptable	3	32c0c3
008b5520	CCombatSequence_WillPhysicalShieldNonMelee::IsMeleeSequence	3	32c0c3
008b8690	CCreatureAction_PlayCombatAnimationWithLooking::IsPreventingLookTurning	3	32c0c3
008b86a0	CCreatureAction_GoUnderground::IsToEvadeAllHits	3	b001c3
008b86b0	CCreatureAction_LeapLong::IsToFaceTargetAtStart	3	b001c3
008b86d0	CCreatureAction_LeapLong::IsToRetainSafeDistance	3	32c0c3
008b86e0	CCreatureAction_LeapLong::IsPhysicsPushableByHero	3	32c0c3
008b86f0	CCreatureAction_Charge::IsToFaceTargetAtStart	3	b001c3
008bd930	CCreatureAction_CastWillEnflameSpell::IsToEvadeAllHits	3	b001c3
008bd940	CCreatureAction_CastWillEnflameSpell::IsAbleToBeAttacked	3	32c0c3
008bd970	CCreatureAction_ReleaseWillEnflameSpell::IsToCauseRecoil	3	b001c3
008bd980	CCreatureAction_ReleaseWillEnflameSpell::IsAbleToBeAttacked	3	32c0c3
008bd9c0	CCreatureAction_ReleasePhysicalShieldSpell::IsToCauseRecoil	3	b001c3
008bd9d0	CCreatureAction_ReleasePhysicalShieldSpell::IsAbleToBeAttacked	3	32c0c3
008bd9e0	CCreatureAction_RemovePhysicalShieldSpell::IsToCauseRecoil	3	b001c3
008bd9f0	CCreatureAction_RemovePhysicalShieldSpell::IsAbleToBeAttacked	3	32c0c3
008bdaf0	CCreatureAction_FinishFireballSpell::IsToFaceTargetAtStart	3	b001c3
008bdb00	CCreatureAction_TeleportOut::IsToEvadeAllHits	3	b001c3
008bdb10	CCreatureAction_TeleportIn::IsToEvadeAllHits	3	b001c3
008bdb30	CCreatureAction_BeingForcePushed::IsUsingAnimationMovement	3	32c0c3
008bdb50	CCreatureAction_CastDivineWrathSpell::IsPlayHitResponse	3	32c0c3
008bdb70	CCreatureAction_BuildUpDivineWrathSpell::IsPlayHitResponse	3	32c0c3
008bdb90	CCreatureAction_ReleaseDivineWrathSpell::IsToEvadeAllHits	3	b001c3
008bdba0	CCreatureAction_ReleaseDivineWrathSpell::IsToCauseRecoil	3	b001c3
008bdbb0	CCreatureAction_ReleaseDivineWrathSpell::IsAbleToBeAttacked	3	32c0c3
008bdbc0	CCreatureAction_ReleaseDivineWrathSpell::IsPlayHitResponse	3	32c0c3
008bdbe0	CCreatureAction_ReleaseAndLoopDivineWrathSpell::IsToEvadeAllHits	3	b001c3
008bdbf0	CCreatureAction_ReleaseAndLoopDivineWrathSpell::IsToCauseRecoil	3	b001c3
008bdc00	CCreatureAction_ReleaseAndLoopDivineWrathSpell::IsAbleToBeAttacked	3	32c0c3
008bdc10	CCreatureAction_ReleaseAndLoopDivineWrathSpell::IsPlayHitResponse	3	32c0c3
008bdc30	CCreatureAction_CastUnholyPowerSpell::IsPlayHitResponse	3	32c0c3
008bdc50	CCreatureAction_BuildUpUnholyPowerSpell::IsPlayHitResponse	3	32c0c3
008bdc70	CCreatureAction_ReleaseUnholyPowerSpell::IsToEvadeAllHits	3	b001c3
008bdc80	CCreatureAction_ReleaseUnholyPowerSpell::IsToCauseRecoil	3	b001c3
008bdc90	CCreatureAction_ReleaseUnholyPowerSpell::IsAbleToBeAttacked	3	32c0c3
008bdca0	CCreatureAction_ReleaseUnholyPowerSpell::IsPlayHitResponse	3	32c0c3
008bdcc0	CCreatureAction_ReleaseAndLoopUnholyPowerSpell::IsToEvadeAllHits	3	b001c3
008bdcd0	CCreatureAction_ReleaseAndLoopUnholyPowerSpell::IsToCauseRecoil	3	b001c3
008bdce0	CCreatureAction_ReleaseAndLoopUnholyPowerSpell::IsAbleToBeAttacked	3	32c0c3
008bdcf0	CCreatureAction_ReleaseAndLoopUnholyPowerSpell::IsPlayHitResponse	3	32c0c3
008bff00	CCreatureAction_GenericLoadProjectileWeapon::IsToFaceTargetAtStart	3	b001c3
008bff10	CCreatureAction_GenericLeaderCommand::IsToFaceTargetAtStart	3	b001c3
008bff20	CCreatureAction_UnblockableMidAttack::IsBlockable	3	32c0c3
008bff30	CCreatureAction_UnblockableMidAttack::IsKnockdownStrike	3	b001c3
008bff40	CCreatureAction_UnblockableMidAttack::IsToFaceMovementDirection	3	32c0c3
008bff50	CCreatureAction_DiagonalStrafeBL::IsToFaceTarget	3	b001c3
008bff60	CCreatureAction_DiagonalStrafeBR::IsToFaceTarget	3	b001c3
008bff70	CCreatureAction_StrafeForward::IsToFaceTarget	3	b001c3
008bff80	CCreatureAction_StrafeBackward::IsToFaceTarget	3	b001c3
008bff90	CCreatureAction_Ambush::IsMovementUsingPhysics	3	32c0c3
008bffa0	CCreatureAction_BodgeSideStrike::IsToFaceTargetAtStart	3	b001c3
008c3a30	CCreatureAction_BriarRoseShotFarOutof::IsToFaceTarget	3	b001c3
008c3a40	CCreatureAction_BriarRoseShotFarOutof::IsToFaceTargetAtStart	3	b001c3
008c3a70	CCombatAction_StrikeResponseJackOfBladesIntoRush::IsToEvadeAllHits	3	b001c3
008c3a80	CCombatAction_StrikeResponseJackOfBladesIntoRush::IsToUseRotationInAnimation	3	32c0c3
008c3a90	CCombatAction_StrikeResponseJackOfBladesIntoRush::IsToCauseRecoil	3	32c0c3
008c3aa0	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend::IsBlockable	3	32c0c3
008c3ab0	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend::IsKnockdownStrike	3	b001c3
008c3ac0	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend::IsToFaceMovementDirection	3	32c0c3
008c3ad0	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend::GetAnimationTransitionInTime	3	33c0c3
008c3ae0	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend::GetAnimDelayTime	3	33c0c3
008c5b90	CCreatureAction_ScorpionChargeInto::IsBlockable	3	32c0c3
008c5ba0	CCreatureAction_ScorpionChargeInto::IsToFaceMovementDirection	3	32c0c3
008c5bb0	CCreatureAction_ScorpionChargeInto::IsToRetainSafeDistance	3	32c0c3
008c5bc0	CCreatureAction_ScorpionCharge::IsBlockable	3	32c0c3
008c5bd0	CCreatureAction_ScorpionCharge::IsToFaceMovementDirection	3	32c0c3
008c5be0	CCreatureAction_ScorpionCharge::IsToRetainSafeDistance	3	32c0c3
008c5bf0	CCreatureAction_ScorpionChargeStrike::IsBlockable	3	32c0c3
008c5c00	CCreatureAction_ScorpionChargeStrike::IsStrikeAction	3	b001c3
008c5c10	CCreatureAction_ScorpionChargeStrike::IsKnockdownStrike	3	b001c3
008c5c20	CCreatureAction_ScorpionChargeStrike::IsToFaceMovementDirection	3	32c0c3
008c5c30	CCreatureAction_ScorpionChargeStrike::IsToRetainSafeDistance	3	32c0c3
008c5c40	CCreatureAction_WaspQueenDiveAttack::IsToFaceTargetAtStart	3	b001c3
008c5c50	CCreatureAction_WaspQueenDiveAttack::IsToRetainSafeDistance	3	32c0c3
008c7cc0	CCreatureAction_TrollThrowProjectile::HasFrameUpdate	3	b001c3
008c7cd0	CCreatureAction_TrollThrowProjectile::IsToFaceTarget	3	b001c3
008c7cf0	CCreatureAction_TrollThrowProjectile::GetAnimationTransitionInTime	3	33c0c3
008c93d0	CCreatureAction_BanditKingThrowWeapons::IsToPerformActionOnStrike	3	b001c3
008c9490	CCreatureAction_BanditKingAttack::IsKnockdownStrike	3	b001c3
008c94a0	CCreatureAction_BanditKingAttack::IsBlockable	3	32c0c3
008c9560	CCreatureAction_BanditKingStuck::GetAnimationTransitionInTime	3	33c0c3
008b0600	DecrementScriptCounter	4	ff410cc3
008b6520	?Initialise@CCreatureAction_ProjectileCrouch@@UAEXXZ	5	e9fb0ffaff
008b76a0	?PerformAction@CCreatureAction_RiseUp@@UAEXXZ	5	e99bffffff
008b9460	?Initialise@CCreatureAction_CastWillFireballSpell@@UAEXXZ	5	e9bbe0f9ff
008b9470	?FinishAction@CCreatureAction_TeleportIn@@UAEXXZ	5	e9ab05faff
008b9480	?FinishAction@CCreatureAction_BuildUpDivineWrathSpell@@UAEXXZ	5	e99b05faff
008b9490	?FinishAction@CCreatureAction_BuildUpUnholyPowerSpell@@UAEXXZ	5	e98b05faff
008c0440	?FinishAction@CCreatureAction_ThunderLightningStorm@@UAEXXZ	5	e9db95f9ff
008c0450	?FinishAction@CCreatureAction_JackScream@@UAEXXZ	5	e9cb95f9ff
008c3e10	?FrameUpdate@CCreatureAction_ScorpionCharge@@UAEXXZ	5	e96b5ff9ff
008c3e20	?Initialise@CCreatureAction_ScorpionChargeStrike@@UAEXXZ	5	e9fb36f9ff
008c3e30	?FinishAction@CCreatureAction_ScorpionChargeStrike@@UAEXXZ	5	e9eb5bf9ff
008c3e40	?Initialise@CCreatureAction_ScorpionTailWithdraw@@UAEXXZ	5	e9db36f9ff
008c5ff0	?FinishAction@CCreatureAction_TrollAngryGroundPound@@UAEXXZ	5	e92b3af9ff
008c6060	?FinishAction@CCreatureAction_WalkInto@@UAEXXZ	5	e9bb39f9ff
008c6390	?PerformAction@CCreatureAction_TrollWhackGroundBase@@UAEXXZ	5	e92bfeffff
008aba50	CCreatureAction_SitDown::GetAnimExtraFlags	6	b808000000c3
008b34f0	CCombatSequence_GenericRangedAttack::GetZone	6	b880000000c3
008b3560	CCombatSequence_GenericLeader::GetZone	6	b880000000c3
008b35d0	CCombatSequence_BanditUnblockableAttack::GetZone	6	b807000000c3
008b3650	CCombatSequence_NonInterruptableBoxStrafe::GetZone	6	b802000000c3
008b36c0	CCombatSequence_BanditAdvanceFar::GetZone	6	b801000000c3
008b3730	CCombatSequence_BanditAttackFar::GetZone	6	b801000000c3
008b37b0	CCombatSequence_BanditAttackMiddle::GetZone	6	b802000000c3
008b3830	CCombatSequence_BanditAttackSide::GetZone	6	b838000000c3
008b38b0	CCombatSequence_BanditAttackNear::GetZone	6	b804000000c3
008b3930	CCombatSequence_BanditIdleNear::GetZone	6	b804000000c3
008b39a0	CCombatSequence_BanditIdleMiddle::GetZone	6	b802000000c3
008b3a10	CCombatSequence_BanditBoast::GetZone	6	b807000000c3
008b3a90	CCombatSequence_BanditKingAttack::GetZone	6	b802000000c3
008b3b30	CCombatSequence_BanditKingAdvance::GetZone	6	b801000000c3
008b3ba0	CCombatSequence_BanditKingBackOff::GetZone	6	b804000000c3
008b3c20	CCombatSequence_BanditKingSpinAround::GetZone	6	b820000000c3
008b3ca0	CCombatSequence_FodderMainAttack::GetZone	6	b803000000c3
008b3d20	CCombatSequence_FodderUnblockableMainAttack::GetZone	6	b803000000c3
