address	current_name	reason	category
005f82ea	RBTree_Iterator_SetToMaxNode_005f82ea	ambiguous-or-no-donor-match	container-template
005f8944	StdList_Construct_005f8944	ambiguous-or-no-donor-match	initializer-destructor
005f8f6f	Lua_PushCClosure_005f8f6f	ambiguous-or-no-donor-match	thunk-stub-wrapper
006152c0	StdList_InitEmpty_006152c0	ambiguous-or-no-donor-match	initializer-destructor
00615340	StdList_InitEmpty_00615340	ambiguous-or-no-donor-match	initializer-destructor
006153a0	StdList_InitEmpty_006153a0	ambiguous-or-no-donor-match	initializer-destructor
00615400	StdList_InitEmpty_00615400	ambiguous-or-no-donor-match	initializer-destructor
00615460	StdList_InitEmpty_00615460	ambiguous-or-no-donor-match	initializer-destructor
006154c0	StdList_InitEmpty_006154c0	ambiguous-or-no-donor-match	initializer-destructor
00615580	Ptr_AllocStore_00615580	ambiguous-or-no-donor-match	allocator-wrapper
006155b0	Ptr_AllocStore_006155b0	ambiguous-or-no-donor-match	allocator-wrapper
00615650	Ptr_AllocStore_00615650	ambiguous-or-no-donor-match	allocator-wrapper
00616790	StdList_InitEmpty_00616790	ambiguous-or-no-donor-match	initializer-destructor
006167f0	StdList_InitEmpty_006167f0	ambiguous-or-no-donor-match	initializer-destructor
00616820	StdList_InitEmpty_00616820	ambiguous-or-no-donor-match	initializer-destructor
00616850	StdList_InitEmpty_00616850	ambiguous-or-no-donor-match	initializer-destructor
00616880	StdList_InitEmpty_00616880	ambiguous-or-no-donor-match	initializer-destructor
006168b0	StdList_InitEmpty_006168b0	ambiguous-or-no-donor-match	initializer-destructor
006168e0	StdList_InitEmpty_006168e0	ambiguous-or-no-donor-match	initializer-destructor
00616930	StdList_CtorWithCount_00616930	ambiguous-or-no-donor-match	initializer-destructor
006169c0	StdList_CtorWithCount_006169c0	ambiguous-or-no-donor-match	initializer-destructor
00616a40	StdList_CtorWithCount_00616a40	ambiguous-or-no-donor-match	initializer-destructor
00617140	StdList_CtorWithCount_00617140	ambiguous-or-no-donor-match	initializer-destructor
00617270	StdList_CtorWithCount_00617270	ambiguous-or-no-donor-match	initializer-destructor
00619e30	StdList_CtorWithCount_00619e30	ambiguous-or-no-donor-match	initializer-destructor
00623a80	Ptr_AllocStore_00623a80	ambiguous-or-no-donor-match	allocator-wrapper
00624160	StdList_CtorWithCount_00624160	ambiguous-or-no-donor-match	initializer-destructor
00624520	StdList_CtorWithCount_00624520	ambiguous-or-no-donor-match	initializer-destructor
00630b60	Ptr_AllocStore_00630b60	ambiguous-or-no-donor-match	allocator-wrapper
00630b90	Ptr_AllocStore_00630b90	ambiguous-or-no-donor-match	allocator-wrapper
00630cc0	StdList_CtorWithCount_00630cc0	ambiguous-or-no-donor-match	initializer-destructor
00630d50	StdList_CtorWithCount_00630d50	ambiguous-or-no-donor-match	initializer-destructor
00630f50	StdList_CtorWithCount_00630f50	ambiguous-or-no-donor-match	initializer-destructor
006313e0	StdList_CtorWithCount_006313e0	ambiguous-or-no-donor-match	initializer-destructor
0063ec80	Return_Identity_0063ec80	ambiguous-or-no-donor-match	thunk-stub-wrapper
0063f340	StdList_InitEmpty_0063f340	ambiguous-or-no-donor-match	initializer-destructor
0063f450	StdList_InitEmpty_0063f450	ambiguous-or-no-donor-match	initializer-destructor
006579e0	Vector_PushBackInts_1_2_neg1_006579e0	ambiguous-or-no-donor-match	initializer-destructor
00657ac0	Vector_PushBackInts_2_3_1_00657ac0	ambiguous-or-no-donor-match	initializer-destructor
00662020	Getter_FieldE0_FC	ambiguous-or-no-donor-match	field-accessor
00669510	StdList_InitEmpty_00669510	ambiguous-or-no-donor-match	initializer-destructor
0066a1a0	StdList_InitEmpty_0066a1a0	ambiguous-or-no-donor-match	initializer-destructor
00674e50	Object_FreeInnerAndDelete_00674e50	ambiguous-or-no-donor-match	initializer-destructor
