vtable_base	offset	slot_address	target_address	name	mangled	manifest_name	forge_scope
01238c8c	0x90	01238d1c	004aac80	MsgReceivedInventoryItem	?MsgReceivedInventoryItem@CScriptThing@@UBE_NXZ	CScriptThing::MsgReceivedInventoryItem	Entity
01238c8c	0x94	01238d20	004aaca0	MsgPerformedSpecialAbility	?MsgPerformedSpecialAbility@CScriptThing@@UBE_NW4EHeroAbility@@@Z	CScriptThing::MsgPerformedSpecialAbility	Entity
01238c8c	0x98	01238d24	004aacc0	MsgPerformedAnySpecialAbility	?MsgPerformedAnySpecialAbility@CScriptThing@@UBE_NXZ	CScriptThing::MsgPerformedAnySpecialAbility	Entity
01238c8c	0x9c	01238d28	004aace0	MsgPerformedAnyAggressiveSpecialAbility	?MsgPerformedAnyAggressiveSpecialAbility@CScriptThing@@UBE_NXZ	CScriptThing::MsgPerformedAnyAggressiveSpecialAbility	Entity
01238c8c	0xa0	01238d2c	004aad00	MsgPerformedAnyNonAggressiveSpecialAbility	?MsgPerformedAnyNonAggressiveSpecialAbility@CScriptThing@@UBE_NXZ	CScriptThing::MsgPerformedAnyNonAggressiveSpecialAbility	Entity
01238c8c	0xa4	01238d30	004aad20	MsgIsHitBySpecialAbilityFrom	?MsgIsHitBySpecialAbilityFrom@CScriptThing@@UBE_NW4EHeroAbility@@ABVCCharString@@@Z	CScriptThing::MsgIsHitBySpecialAbilityFrom	
01238c8c	0xa8	01238d34	004aad40	MsgIsHitByAnySpecialAbilityFrom	?MsgIsHitByAnySpecialAbilityFrom@CScriptThing@@UBE_NABVCCharString@@@Z	CScriptThing::MsgIsHitByAnySpecialAbilityFrom	
01238c8c	0xac	01238d38	004aad60	MsgIsHitByAnyAggressiveSpecialAbilityFrom	?MsgIsHitByAnyAggressiveSpecialAbilityFrom@CScriptThing@@UBE_NABVCCharString@@@Z	CScriptThing::MsgIsHitByAnyAggressiveSpecialAbilityFrom	
01238c8c	0xb0	01238d3c	004aad80	MsgIsHitByAnyNonAggressiveSpecialAbilityFrom	?MsgIsHitByAnyNonAggressiveSpecialAbilityFrom@CScriptThing@@UBE_NABVCCharString@@@Z	CScriptThing::MsgIsHitByAnyNonAggressiveSpecialAbilityFrom	
01238c8c	0xb4	01238d40	004aada0	MsgOpenedChest	?MsgOpenedChest@CScriptThing@@UBE_NXZ	CScriptThing::MsgOpenedChest	Entity
